"Date VDH Notified","Facility Type Group","Number of Outbreaks"
04/23/2020,"Educational Setting",1
03/10/2020,"Educational Setting",1
07/26/2020,"Congregate Setting",3
08/31/2020,"Congregate Setting",3
09/09/2020,"Long Term Care Facilities",1
08/27/2020,"Healthcare Setting",1
05/28/2020,"Healthcare Setting",1
08/27/2020,"Long Term Care Facilities",3
06/29/2020,"Congregate Setting",1
09/14/2020,"Educational Setting",4
08/24/2020,"Educational Setting",1
08/04/2020,"Congregate Setting",5
05/30/2020,"Congregate Setting",1
05/07/2020,"Healthcare Setting",1
04/14/2020,"Congregate Setting",5
09/07/2020,"Educational Setting",3
05/11/2020,"Congregate Setting",1
08/17/2020,"Correctional Facility",2
08/05/2020,"Congregate Setting",1
04/03/2020,"Correctional Facility",2
03/10/2020,"Congregate Setting",1
08/13/2020,"Educational Setting",1
07/03/2020,"Congregate Setting",1
08/31/2020,"Educational Setting",1
04/11/2020,"Long Term Care Facilities",3
03/25/2020,"Congregate Setting",1
08/19/2020,"Long Term Care Facilities",1
09/11/2020,"Correctional Facility",1
07/17/2020,"Long Term Care Facilities",4
04/07/2020,"Long Term Care Facilities",4
06/23/2020,"Long Term Care Facilities",2
06/05/2020,"Congregate Setting",1
07/26/2020,"Healthcare Setting",1
09/01/2020,"Long Term Care Facilities",3
07/22/2020,"Educational Setting",1
08/18/2020,"Correctional Facility",1
07/23/2020,"Healthcare Setting",1
07/29/2020,"Educational Setting",1
06/18/2020,"Healthcare Setting",1
09/03/2020,"Congregate Setting",2
04/17/2020,"Congregate Setting",5
07/09/2020,"Congregate Setting",3
04/19/2020,"Long Term Care Facilities",2
09/15/2020,"Correctional Facility",3
04/01/2020,"Long Term Care Facilities",2
08/18/2020,"Educational Setting",1
05/06/2020,"Congregate Setting",2
07/06/2020,"Long Term Care Facilities",3
03/16/2020,"Congregate Setting",1
08/10/2020,"Congregate Setting",4
05/27/2020,"Long Term Care Facilities",6
07/27/2020,"Congregate Setting",1
08/21/2020,"Educational Setting",2
08/09/2020,"Congregate Setting",1
06/01/2020,"Congregate Setting",1
05/11/2020,"Long Term Care Facilities",3
08/28/2020,"Congregate Setting",3
06/21/2020,"Long Term Care Facilities",1
06/02/2020,"Long Term Care Facilities",4
07/28/2020,"Educational Setting",1
06/29/2020,"Correctional Facility",2
04/17/2020,"Long Term Care Facilities",11
06/09/2020,"Long Term Care Facilities",1
08/13/2020,"Correctional Facility",1
05/12/2020,"Congregate Setting",3
08/07/2020,"Educational Setting",1
08/25/2020,"Educational Setting",1
04/02/2020,"Long Term Care Facilities",1
05/03/2020,"Long Term Care Facilities",2
05/18/2020,"Correctional Facility",1
09/09/2020,"Congregate Setting",1
07/20/2020,"Congregate Setting",3
06/30/2020,"Long Term Care Facilities",3
05/06/2020,"Long Term Care Facilities",4
05/23/2020,"Correctional Facility",1
06/29/2020,"Educational Setting",1
05/25/2020,"Congregate Setting",3
09/05/2020,"Congregate Setting",1
05/03/2020,"Congregate Setting",3
07/11/2020,"Correctional Facility",1
06/08/2020,"Long Term Care Facilities",1
06/28/2020,"Congregate Setting",1
04/03/2020,"Long Term Care Facilities",4
09/04/2020,"Long Term Care Facilities",6
03/31/2020,"Congregate Setting",1
07/25/2020,"Correctional Facility",1
05/15/2020,"Congregate Setting",1
04/27/2020,"Long Term Care Facilities",1
07/09/2020,"Correctional Facility",1
04/21/2020,"Long Term Care Facilities",4
07/19/2020,"Long Term Care Facilities",1
06/24/2020,"Educational Setting",1
07/22/2020,"Long Term Care Facilities",8
07/13/2020,"Long Term Care Facilities",3
08/26/2020,"Educational Setting",3
08/22/2020,"Healthcare Setting",1
08/19/2020,"Educational Setting",2
08/06/2020,"Healthcare Setting",1
05/27/2020,"Educational Setting",1
05/19/2020,"Correctional Facility",1
04/01/2020,"Correctional Facility",1
08/25/2020,"Congregate Setting",2
09/13/2020,"Congregate Setting",3
04/04/2020,"Correctional Facility",1
07/20/2020,"Long Term Care Facilities",1
05/14/2020,"Congregate Setting",3
04/26/2020,"Correctional Facility",1
05/10/2020,"Long Term Care Facilities",3
05/13/2020,"Correctional Facility",1
09/02/2020,"Congregate Setting",9
04/18/2020,"Correctional Facility",1
05/29/2020,"Long Term Care Facilities",3
08/21/2020,"Congregate Setting",1
08/11/2020,"Long Term Care Facilities",3
08/16/2020,"Educational Setting",1
09/15/2020,"Long Term Care Facilities",3
05/28/2020,"Long Term Care Facilities",5
04/16/2020,"Long Term Care Facilities",4
04/20/2020,"Healthcare Setting",1
05/01/2020,"Congregate Setting",2
07/16/2020,"Long Term Care Facilities",4
04/11/2020,"Educational Setting",1
08/13/2020,"Healthcare Setting",1
09/08/2020,"Long Term Care Facilities",1
07/23/2020,"Long Term Care Facilities",1
08/03/2020,"Congregate Setting",4
03/16/2020,"Educational Setting",1
07/06/2020,"Healthcare Setting",1
