"Date VDH Notified","Facility Type Group","Number of Outbreaks"
03/10/2020,"Congregate Setting",1
03/10/2020,"Educational Setting",1
03/13/2020,"Congregate Setting",1
03/16/2020,"Congregate Setting",1
03/16/2020,"Educational Setting",1
03/17/2020,"Congregate Setting",1
03/17/2020,"Long Term Care Facilities",2
03/20/2020,"Congregate Setting",1
03/20/2020,"Long Term Care Facilities",1
03/23/2020,"Congregate Setting",1
03/23/2020,"Educational Setting",1
03/25/2020,"Congregate Setting",1
03/26/2020,"Congregate Setting",1
03/26/2020,"Healthcare Setting",1
03/27/2020,"Congregate Setting",1
03/27/2020,"Long Term Care Facilities",1
03/28/2020,"Healthcare Setting",3
03/28/2020,"Long Term Care Facilities",6
03/29/2020,"Healthcare Setting",1
03/29/2020,"Long Term Care Facilities",1
03/30/2020,"Correctional Facility",1
03/30/2020,"Long Term Care Facilities",2
03/31/2020,"Congregate Setting",1
03/31/2020,"Healthcare Setting",1
03/31/2020,"Long Term Care Facilities",4
04/01/2020,"Correctional Facility",1
04/01/2020,"Healthcare Setting",2
04/01/2020,"Long Term Care Facilities",2
04/02/2020,"Healthcare Setting",3
04/02/2020,"Long Term Care Facilities",1
04/03/2020,"Congregate Setting",3
04/03/2020,"Correctional Facility",2
04/03/2020,"Long Term Care Facilities",4
04/04/2020,"Correctional Facility",1
04/04/2020,"Long Term Care Facilities",2
04/05/2020,"Long Term Care Facilities",4
04/06/2020,"Correctional Facility",3
04/06/2020,"Long Term Care Facilities",3
04/07/2020,"Congregate Setting",1
04/07/2020,"Long Term Care Facilities",4
04/08/2020,"Congregate Setting",1
04/08/2020,"Healthcare Setting",1
04/08/2020,"Long Term Care Facilities",8
04/09/2020,"Long Term Care Facilities",11
04/10/2020,"Congregate Setting",2
04/10/2020,"Correctional Facility",2
04/10/2020,"Educational Setting",1
04/10/2020,"Healthcare Setting",3
04/10/2020,"Long Term Care Facilities",3
04/11/2020,"Educational Setting",1
04/11/2020,"Long Term Care Facilities",3
04/12/2020,"Congregate Setting",1
04/12/2020,"Long Term Care Facilities",1
04/13/2020,"Congregate Setting",2
04/13/2020,"Long Term Care Facilities",2
04/14/2020,"Congregate Setting",5
04/14/2020,"Healthcare Setting",1
04/14/2020,"Long Term Care Facilities",3
04/15/2020,"Long Term Care Facilities",4
04/16/2020,"Congregate Setting",2
04/16/2020,"Correctional Facility",2
04/16/2020,"Healthcare Setting",1
04/16/2020,"Long Term Care Facilities",4
04/17/2020,"Congregate Setting",5
04/17/2020,"Healthcare Setting",1
04/17/2020,"Long Term Care Facilities",11
04/18/2020,"Congregate Setting",8
04/18/2020,"Correctional Facility",1
