"Date VDH Notified","Facility Type Group","Number of Outbreaks"
2020-03-10,"College / University",1
2020-03-10,"Congregate Setting",1
2020-03-13,"Congregate Setting",1
2020-03-16,"College / University",1
2020-03-16,"Congregate Setting",1
2020-03-17,"Congregate Setting",1
2020-03-17,"Long Term Care Facilities",2
2020-03-20,"Congregate Setting",1
2020-03-20,"Long Term Care Facilities",1
2020-03-23,"College / University",1
2020-03-23,"Congregate Setting",1
2020-03-25,"Congregate Setting",1
2020-03-26,"Congregate Setting",1
2020-03-26,"Healthcare Setting",1
2020-03-27,"Congregate Setting",1
2020-03-27,"Long Term Care Facilities",1
2020-03-28,"Healthcare Setting",3
2020-03-28,"Long Term Care Facilities",6
2020-03-29,"Healthcare Setting",1
2020-03-29,"Long Term Care Facilities",1
2020-03-30,"Correctional Facility",1
2020-03-30,"Long Term Care Facilities",2
2020-03-31,"Congregate Setting",1
2020-03-31,"Healthcare Setting",1
2020-03-31,"Long Term Care Facilities",4
2020-04-01,"Correctional Facility",1
2020-04-01,"Healthcare Setting",2
2020-04-01,"Long Term Care Facilities",2
2020-04-02,"Healthcare Setting",3
2020-04-02,"Long Term Care Facilities",1
2020-04-03,"Congregate Setting",3
2020-04-03,"Correctional Facility",2
2020-04-03,"Long Term Care Facilities",4
2020-04-04,"Correctional Facility",1
2020-04-04,"Long Term Care Facilities",2
2020-04-05,"Long Term Care Facilities",4
2020-04-06,"Correctional Facility",3
2020-04-06,"Long Term Care Facilities",3
2020-04-07,"Congregate Setting",1
2020-04-07,"Long Term Care Facilities",4
2020-04-08,"Congregate Setting",1
2020-04-08,"Healthcare Setting",1
2020-04-08,"Long Term Care Facilities",8
2020-04-09,"Long Term Care Facilities",11
2020-04-10,"Congregate Setting",2
2020-04-10,"Correctional Facility",2
2020-04-10,"Healthcare Setting",3
2020-04-10,K-12,1
2020-04-10,"Long Term Care Facilities",3
2020-04-11,"Child Care",1
2020-04-11,"Long Term Care Facilities",3
2020-04-12,"Congregate Setting",1
2020-04-12,"Long Term Care Facilities",1
2020-04-13,"Congregate Setting",2
2020-04-13,"Long Term Care Facilities",2
2020-04-14,"Congregate Setting",5
2020-04-14,"Healthcare Setting",1
2020-04-14,"Long Term Care Facilities",3
2020-04-15,"Long Term Care Facilities",4
2020-04-16,"Congregate Setting",2
2020-04-16,"Correctional Facility",2
2020-04-16,"Healthcare Setting",1
2020-04-16,"Long Term Care Facilities",4
2020-04-17,"Congregate Setting",5
2020-04-17,"Healthcare Setting",1
2020-04-17,"Long Term Care Facilities",11
2020-04-18,"College / University",1
2020-04-18,"Congregate Setting",8
2020-04-18,"Correctional Facility",1
2020-04-18,"Long Term Care Facilities",4
2020-04-19,"Correctional Facility",1
2020-04-19,"Long Term Care Facilities",2
2020-04-20,"Congregate Setting",2
2020-04-20,"Healthcare Setting",1
2020-04-20,"Long Term Care Facilities",2
2020-04-21,"Congregate Setting",1
2020-04-21,"Long Term Care Facilities",4
2020-04-22,"Correctional Facility",1
2020-04-22,"Long Term Care Facilities",4
