"Date VDH Notified","Facility Type Group","Number of Outbreaks"
7/8/2020,"Educational Setting",1
7/8/2020,"Healthcare Setting",1
7/8/2020,"Long Term Care Facilities",3
7/7/2020,"Congregate Setting",2
7/7/2020,"Correctional Facility",1
7/7/2020,"Educational Setting",1
7/7/2020,"Long Term Care Facilities",5
7/6/2020,"Congregate Setting",7
7/6/2020,"Correctional Facility",1
7/6/2020,"Healthcare Setting",1
7/6/2020,"Long Term Care Facilities",3
7/5/2020,"Long Term Care Facilities",1
7/4/2020,"Congregate Setting",5
7/4/2020,"Educational Setting",1
7/4/2020,"Long Term Care Facilities",2
7/3/2020,"Congregate Setting",1
7/3/2020,"Educational Setting",1
7/3/2020,"Long Term Care Facilities",1
7/2/2020,"Congregate Setting",3
7/2/2020,"Long Term Care Facilities",3
7/1/2020,"Congregate Setting",1
6/30/2020,"Long Term Care Facilities",2
6/29/2020,"Congregate Setting",1
6/29/2020,"Correctional Facility",2
6/29/2020,"Educational Setting",1
6/29/2020,"Long Term Care Facilities",1
6/28/2020,"Congregate Setting",1
6/27/2020,"Congregate Setting",1
6/27/2020,"Long Term Care Facilities",1
6/26/2020,"Congregate Setting",1
6/25/2020,"Congregate Setting",3
6/25/2020,"Long Term Care Facilities",2
6/24/2020,"Educational Setting",1
6/24/2020,"Long Term Care Facilities",3
6/23/2020,"Congregate Setting",2
6/23/2020,"Healthcare Setting",1
6/23/2020,"Long Term Care Facilities",1
6/22/2020,"Congregate Setting",5
6/21/2020,"Congregate Setting",1
6/21/2020,"Long Term Care Facilities",1
6/20/2020,"Long Term Care Facilities",1
6/19/2020,"Healthcare Setting",1
6/18/2020,"Congregate Setting",3
6/18/2020,"Healthcare Setting",1
6/18/2020,"Long Term Care Facilities",1
6/17/2020,"Congregate Setting",1
6/17/2020,"Correctional Facility",1
6/16/2020,"Congregate Setting",1
6/16/2020,"Healthcare Setting",1
6/15/2020,"Congregate Setting",2
6/15/2020,"Long Term Care Facilities",4
6/11/2020,"Congregate Setting",2
6/10/2020,"Congregate Setting",2
6/10/2020,"Correctional Facility",1
6/10/2020,"Educational Setting",1
6/9/2020,"Congregate Setting",2
6/9/2020,"Healthcare Setting",1
6/9/2020,"Long Term Care Facilities",1
