Date,Cases,Confirmed Positive,Results Pending,Confirmed Positive/Recovered,Facilities Reporting Difficulty Obtaining N95 Masks,Facilities Reporting Difficulty Obtaining Surgical Masks,Facilities Reporting Difficulty Obtaining Gloves,Facilities Reporting Difficulty Obtaining Face Shields,Facilities Reporting Difficulty Obtaining Isolation Gowns,Licensed Nursing Facilities reporting in the last 72 hrs
2020-05-18,1427,1292,135,520,11,4,3,7,18,190/287
2020-05-19,1461,1312,149,533,9,2,3,5,17,248/287
2020-05-20,1442,1307,135,549,10,4,4,7,21,262/287
2020-05-21,1503,1357,146,607,12,4,3,8,21,257/287
2020-05-22,1676,1376,300,627,17,8,7,11,23,264/287
2020-05-23,1886,1415,471,675,19,8,8,11,24,262/287
2020-05-24,1779,1389,390,682,18,8,8,10,22,244/287
2020-05-25,1730,1396,334,682,17,7,8,9,21,190/287
2020-05-26,1667,1412,255,690,13,6,6,7,16,210/287
2020-05-27,1683,1389,294,781,14,7,6,8,19,250/286
2020-05-28,1587,1354,233,822,14,5,5,8,18,262/286
2020-05-29,1699,1290,409,871,13,6,6,7,14,255/286
2020-05-30,1718,1230,488,951,13,7,6,8,13,251/286
2020-05-31,1662,1333,329,956,14,7,6,9,14,230/286
2020-06-01,1618,1334,284,965,14,7,6,8,13,180/286
2020-06-02,1751,1339,412,1008,14,7,5,8,12,236/286
2020-06-03,1676,1280,396,1073,11,7,5,6,12,250/286
2020-06-04,1637,1264,373,1101,11,8,6,8,13,253/286
2020-06-05,1730,1286,444,1137,11,8,5,9,13,247/286
2020-06-06,1360,1159,201,1349,7,5,4,4,9,268/286
2020-06-07,1450,1147,303,1377,7,5,4,5,9,246/286
2020-06-08,1437,1137,300,1390,7,5,3,5,7,185/286
2020-06-09,1236,1057,179,1491,9,6,4,5,9,242/286
2020-06-10,1211,1027,184,1531,6,4,4,4,7,267/286
2020-06-11,1233,1006,227,1563,6,4,4,4,7,265/286
2020-06-12,1105,991,114,1609,6,3,2,4,5,256/286
2020-06-13,1025,871,154,1695,6,3,2,4,4,
2020-06-14,1055,899,156,1726,6,3,2,4,4,254/286
2020-06-15,1009,890,119,1736,4,1,2,2,2,156/286
2020-06-16,1025,853,172,1819,6,3,2,4,4,246/286
2020-06-17,1090,727,363,1910,5,2,2,3,3,256/286
2020-06-18,1041,680,361,1967,6,2,3,3,4,263/286
2020-06-19,1383,662,721,2005,4,2,3,3,4,264/286
2020-06-20,1580,662,918,2039,3,1,3,2,3,248/286
2020-06-21,1584,666,918,2040,2,0,1,2,1,235/286
2020-06-22,1574,662,912,2047,2,0,1,2,1,187/286
2020-06-23,1676,653,1023,2061,2,1,1,1,1,236/285
2020-06-24,2021,648,1373,2076,1,1,0,1,0,241/285
2020-06-25,2597,617,1980,2104,1,1,0,1,0,243/285
2020-06-26,2216,646,1570,2143,3,1,0,1,0,247/285
2020-06-27,2351,670,1681,2168,0,0,0,1,0,239/285
2020-06-28,2471,655,1816,2185,0,0,0,0,0,233/285
2020-06-29,2388,653,1735,2189,0,0,0,0,0,178/285
2020-06-30,2291,644,1647,2218,1,1,0,0,0,237/285
2020-07-01,1561,637,924,2255,1,1,0,0,0,252/285
2020-07-02,1644,609,1035,2289,1,1,1,0,0,247/285
2020-07-03,1793,596,1197,2300,0,0,0,0,0,254/285
2020-07-04,1723,565,1158,2305,1,0,0,0,0,235/285
2020-07-05,1854,537,1317,2334,1,0,0,0,0,209/285
2020-07-06,1829,545,1284,2338,1,0,0,0,0,174/285
2020-07-07,2021,531,1490,2374,2,0,0,0,0,231/285
2020-07-08,1905,532,1373,2381,2,1,0,0,0,236/285
2020-07-09,1679,544,1135,2393,2,0,0,0,0,236/285
2020-07-10,2223,532,1691,2421,1,0,0,0,0,247/285
2020-07-11,2038,532,1506,2475,1,0,0,0,1,249/285
2020-07-12,1883,564,1319,2483,1,0,0,0,1,228/285
2020-07-13,1861,580,1281,2483,0,0,0,0,1,172/285
2020-07-14,2215,557,1658,2507,0,0,0,0,1,245/285
2020-07-15,1812,552,1260,2531,0,0,0,0,1,247/285
2020-07-16,2191,554,1637,2544,0,1,0,0,0,244/285
2020-07-17,2461,562,1899,2556,0,0,0,0,0,245/285
2020-07-18,2639,511,2128,2579,0,0,0,0,0,244/285
2020-07-19,1890,478,1412,2664,0,0,0,0,0,233/285
