one_week_supply_of_eye,laboratory_type_is_other,residents_total_admissions,staff_weekly_suspected_covid,shortage_of_nursing_staff,total_resident_covid_19_deaths_per_1_000_residents,total_number_of_occupied,residents_weekly_all_deaths,any_current_supply_of_n95,submitted_data,ventilator_dependent_unit,number_of_ventilators_in,laboratory_type_is_state,shortage_of_other_staff,any_current_supply_of_gowns,residents_weekly_confirmed,any_current_supply_of,staff_total_covid_19_deaths,residents_weekly_covid_19,staff_total_suspected_covid,one_week_supply_of_surgical,one_week_supply_of_gowns,any_current_supply_of_hand,total_resident_confirmed_covid_19_cases_per_1_000_residents,provider_name,laboratory_type_is_private,initial_confirmed_covid_19_case_this_week,resident_access_to_testing,any_current_supply_of_surgical,county,passed_quality_assurance,staff_weekly_confirmed_covid,one_week_supply_of_hand,residents_total_covid_19,staff_weekly_covid_19_deaths,provider_address,three_or_more_confirmed_and_suspected_covid_19_cases_this_week,provider_zip_code,any_current_supply_of_gloves,federal_provider_number,number_of_all_beds,residents_total_suspected,residents_weekly_suspected,residents_weekly_admissions,staff_total_confirmed_covid,one_week_supply_of_gloves,residents_total_all_deaths,provider_state,shortage_of_clinical_staff,number_of_ventilators_in_1,any_current_supply_of_eye,shortage_of_aides,one_week_supply_of_ventilator,residents_total_confirmed,one_week_supply_of_n95_masks,week_ending,total_residents_covid_19_deaths_as_a_percentage_of_confirmed_covid_19_cases,provider_city
Y,N,1,6,N,0.0,87,0,Y,Y,N,,Y,N,Y,0,,0,0,16,Y,Y,Y,0.0,MANORCARE HEALTH SERVICES-IMPERIAL,N,N,Y,Y,Henrico,Y,0,Y,0,0,1719 BELLEVUE AVENUE,N,23227,Y,495283,128,6,0,0,0,Y,4,VA,N,,Y,N,,0,Y,2020/06/21 00:00:00,,RICHMOND
,,,,,,,,,Y,,,,,,,,,,,,,,,CONSULATE HEALTH CARE OF WOODSTOCK,,,,,Shenandoah,N,,,,,803 SOUTH MAIN ST,,22664,,495315,,,,,,,,VA,,,,,,,,2020/05/31 00:00:00,,WOODSTOCK
Y,N,2,0,N,0.0,101,0,Y,Y,N,,N,N,Y,1,,0,0,0,Y,Y,Y,9.9,AUTUMN CARE OF PORTSMOUTH,Y,Y,Y,Y,Portsmouth City,Y,1,Y,0,0,3610 WINCHESTER DR,N,23707,Y,495194,108,0,0,0,2,Y,3,VA,N,,Y,N,,1,Y,2020/07/19 00:00:00,0.0,PORTSMOUTH
Y,N,2,0,N,153.8,26,0,Y,Y,,,Y,N,Y,0,,0,0,0,Y,Y,Y,153.8,OUR LADY OF PEACE INC,N,N,Y,Y,Albermarle,Y,0,Y,4,0,751 HILLSDALE DRIVE,N,22901,Y,49A007,30,0,0,0,3,Y,4,VA,N,,Y,N,,4,Y,2020/06/28 00:00:00,100.0,CHARLOTTESVILLE
Y,Y,0,0,N,0.0,74,0,Y,Y,N,,Y,N,Y,0,,0,0,0,Y,Y,Y,0.0,GRETNA HEALTH AND REHABILITATION CENTER,Y,N,Y,Y,Pittsylvania,Y,0,Y,0,0,595 VADEN DRIVE,N,24557,Y,495202,0,0,0,0,0,Y,3,VA,N,,Y,N,,0,Y,2020/05/31 00:00:00,,GRETNA
Y,N,0,0,N,0.0,78,0,Y,Y,N,,N,N,Y,0,,0,0,0,Y,Y,Y,0.0,ST FRANCIS NURSING CTR,Y,N,Y,Y,Newport News City,Y,0,Y,0,0,4 RIDGEWOOD PARKWAY,N,23602,Y,495204,115,0,0,0,0,Y,1,VA,N,,Y,N,,0,Y,2020/07/05 00:00:00,,NEWPORT NEWS
Y,N,3,0,N,0.0,169,19,Y,Y,N,,N,N,Y,3,,0,0,0,Y,Y,Y,17.8,RICHFIELD RECOVERY &  CARE CENTER,Y,,Y,Y,Salem City,Y,2,Y,0,0,3615 WEST MAIN STREET,,24153,Y,495013,280,0,0,3,2,Y,19,VA,N,,Y,N,,3,Y,2020/05/24 00:00:00,0.0,SALEM
Y,N,0,0,N,0.0,92,0,Y,Y,N,,N,N,Y,0,,0,0,0,Y,Y,Y,0.0,PHEASANT RIDGE NURSING & REHAB CENTER,Y,N,Y,Y,Roanoke City,Y,0,Y,0,0,"4355 PHEASANT RIDGE ROAD, SW",N,24014,Y,495325,101,0,0,0,0,Y,0,VA,N,,Y,N,,0,Y,2020/07/05 00:00:00,,ROANOKE
Y,Y,0,0,Y,203.4,118,0,Y,Y,N,,N,N,Y,0,,0,0,0,Y,Y,Y,169.5,"REGENCY CARE OF ARLINGTON, LLC",Y,N,Y,Y,Arlington,Y,0,Y,24,0,1785 SOUTH HAYES STREET,N,22202,Y,495114,240,0,0,0,21,Y,24,VA,N,,Y,Y,,20,N,2020/06/21 00:00:00,120.0,ARLINGTON
Y,N,0,0,N,0.0,71,2,Y,Y,N,,N,N,Y,0,,0,0,0,Y,Y,Y,0.0,SUNNYSIDE PRESBYTERIAN RETIREMENT COMMUNITY,Y,N,Y,Y,Harrisonburg City,Y,0,Y,0,0,"3935 SUNNYSIDE DRIVE, SUITE A",N,22801,Y,495387,84,0,0,0,0,Y,4,VA,N,,Y,Y,,0,Y,2020/05/31 00:00:00,,HARRISONBURG
Y,Y,0,0,N,0.0,66,0,Y,Y,N,,Y,N,Y,0,,0,0,8,Y,Y,Y,0.0,LOUISA HEALTH & REHABILITATION CENTER,Y,N,Y,Y,Louisa,Y,0,Y,0,0,210 ELM STREET,N,23093,Y,495282,90,0,0,0,1,Y,1,VA,N,,Y,N,,0,Y,2020/07/19 00:00:00,,LOUISA
