Date,Locality,Health District,Vaccine Phase,Website
2021-02-26,King George,Rappahannock,1b,https://www.vdh.virginia.gov/rappahannock/
2021-02-26,Lancaster,Three Rivers,1b,https://www.vdh.virginia.gov/three-rivers/
2021-02-26,Lynchburg,Central Virginia,1b,https://www.vdh.virginia.gov/central-virginia/
2021-02-26,Patrick,West Piedmont,1b,https://www.vdh.virginia.gov/west-piedmont/
2021-02-26,Goochland,Chickahominy,1b,https://www.vdh.virginia.gov/chickahominy/
2021-02-26,Norton,Lenowisco,1b,https://www.vdh.virginia.gov/lenowisco/
2021-02-26,Rappahannock,Rappahannock Rapidan,1b,https://www.vdh.virginia.gov/rappahannock-rapidan/
2021-02-26,Botetourt,Alleghany,1b,https://www.vdh.virginia.gov/alleghany/
2021-02-26,Bath,Central Shenandoah,1b,https://www.vdh.virginia.gov/central-shenandoah/
2021-02-26,Orange,Rappahannock Rapidan,1b,https://www.vdh.virginia.gov/rappahannock-rapidan/
2021-02-26,Radford,New River,1b,https://www.nrvroadtowellness.com/
2021-02-26,Wythe,Mount Rogers,1b,https://www.vdh.virginia.gov/mount-rogers/
2021-02-26,Culpeper,Rappahannock Rapidan,1b,https://www.vdh.virginia.gov/rappahannock-rapidan/
2021-02-26,Accomack,Eastern Shore,1b,https://www.vdh.virginia.gov/eastern-shore/
2021-02-26,Emporia,Crater,1b,https://www.vdh.virginia.gov/crater/
2021-02-26,Waynesboro,Central Shenandoah,1b,https://www.vdh.virginia.gov/central-shenandoah/
2021-02-26,Madison,Rappahannock Rapidan,1b,https://www.vdh.virginia.gov/rappahannock-rapidan/
2021-02-26,Spotsylvania,Rappahannock,1b,https://www.vdh.virginia.gov/rappahannock/
2021-02-26,Rockbridge,Central Shenandoah,1b,https://www.vdh.virginia.gov/central-shenandoah/
2021-02-26,Williamsburg,Peninsula,1b,https://www.vdh.virginia.gov/peninsula/
2021-02-26,Surry,Crater,1b,https://www.vdh.virginia.gov/crater/
2021-02-26,Winchester,Lord Fairfax,1b,https://www.vdh.virginia.gov/lord-fairfax/
2021-02-26,Northampton,Eastern Shore,1b,https://www.vdh.virginia.gov/eastern-shore/
2021-02-26,James City,Peninsula,1b,https://www.vdh.virginia.gov/peninsula/
2021-02-26,Fairfax,Fairfax,1b,https://www.fairfaxcounty.gov/health/
2021-02-26,Tazewell,Cumberland Plateau,1b,https://www.vdh.virginia.gov/cumberland-plateau/
2021-02-26,Suffolk,Western Tidewater,1b,https://www.vdh.virginia.gov/western-tidewater/
2021-02-26,Wise,Lenowisco,1b,https://www.vdh.virginia.gov/lenowisco/
2021-02-26,Brunswick,Southside,1b,https://www.vdh.virginia.gov/southside/
2021-02-26,Craig,Alleghany,1b,https://www.vdh.virginia.gov/alleghany/
2021-02-26,Galax,Mount Rogers,1b,https://www.vdh.virginia.gov/mount-rogers/
2021-02-26,Hampton,Hampton,1b,https://www.vdh.virginia.gov/hampton/
2021-02-26,Richmond County,Three Rivers,1b,https://www.vdh.virginia.gov/three-rivers/
2021-02-26,Augusta,Central Shenandoah,1b,https://www.vdh.virginia.gov/central-shenandoah/
2021-02-26,Charlotte,Piedmont,1b,https://www.vdh.virginia.gov/piedmont/
2021-02-26,Falls Church,Fairfax,1b,https://www.fairfaxcounty.gov/health/
2021-02-26,Lee,Lenowisco,1b,https://www.vdh.virginia.gov/lenowisco/
2021-02-26,Amelia,Piedmont,1b,https://www.vdh.virginia.gov/piedmont/
2021-02-26,Manassas Park,Prince William,1b,https://www.vdh.virginia.gov/prince-william/
2021-02-26,Buena Vista City,Central Shenandoah,1b,https://www.vdh.virginia.gov/central-shenandoah/
2021-02-26,Frederick,Lord Fairfax,1b,https://www.vdh.virginia.gov/lord-fairfax/
2021-02-26,Dickenson,Cumberland Plateau,1b,https://www.vdh.virginia.gov/cumberland-plateau/
2021-02-26,King and Queen,Three Rivers,1b,https://www.vdh.virginia.gov/three-rivers/
2021-02-26,Appomattox,Central Virginia,1b,https://www.vdh.virginia.gov/central-virginia/
2021-02-26,Isle of Wight,Western Tidewater,1b,https://www.vdh.virginia.gov/western-tidewater/
