Date,Locality,Health District,Vaccine Phase,Website
2021-01-14,King George,Rappahannock,1a,https://www.vdh.virginia.gov/rappahannock/
2021-01-14,Lancaster,Three Rivers,1a,https://www.vdh.virginia.gov/three-rivers/
2021-01-14,Lynchburg,Central Virginia,1a,https://www.vdh.virginia.gov/central-virginia/
2021-01-14,Patrick,West Piedmont,1a,https://www.vdh.virginia.gov/west-piedmont/
2021-01-14,Goochland,Chickahominy,1a,https://www.vdh.virginia.gov/chickahominy/
2021-01-14,Norton,Lenowisco,1b,https://www.vdh.virginia.gov/lenowisco/
2021-01-14,Rappahannock,Rappahannock Rapidan,1a,https://www.vdh.virginia.gov/rappahannock-rapidan/
2021-01-14,Botetourt,Alleghany,1b,https://www.vdh.virginia.gov/alleghany/
2021-01-14,Bath,Central Shenandoah,1a,https://www.vdh.virginia.gov/central-shenandoah/
2021-01-14,Orange,Rappahannock Rapidan,1a,https://www.vdh.virginia.gov/rappahannock-rapidan/
2021-01-14,Radford,New River,1b,https://www.nrvroadtowellness.com/
2021-01-14,Wythe,Mount Rogers,1b,https://www.vdh.virginia.gov/mount-rogers/
2021-01-14,Culpeper,Rappahannock Rapidan,1a,https://www.vdh.virginia.gov/rappahannock-rapidan/
2021-01-14,Accomack,Eastern Shore,1b,https://www.vdh.virginia.gov/eastern-shore/
2021-01-14,Emporia,Crater,1a,https://www.vdh.virginia.gov/crater/
2021-01-14,Waynesboro,Central Shenandoah,1a,https://www.vdh.virginia.gov/central-shenandoah/
2021-01-14,Madison,Rappahannock Rapidan,1a,https://www.vdh.virginia.gov/rappahannock-rapidan/
2021-01-14,Spotsylvania,Rappahannock,1a,https://www.vdh.virginia.gov/rappahannock/
2021-01-14,Rockbridge,Central Shenandoah,1a,https://www.vdh.virginia.gov/central-shenandoah/
2021-01-14,Williamsburg,Peninsula,1a,https://www.vdh.virginia.gov/peninsula/
2021-01-14,Surry,Crater,1a,https://www.vdh.virginia.gov/crater/
2021-01-14,Winchester,Lord Fairfax,1b,https://www.vdh.virginia.gov/lord-fairfax/
2021-01-14,Northampton,Eastern Shore,1b,https://www.vdh.virginia.gov/eastern-shore/
2021-01-14,James City,Peninsula,1a,https://www.vdh.virginia.gov/peninsula/
2021-01-14,Fairfax,Fairfax,1b,https://www.fairfaxcounty.gov/health/
2021-01-14,Tazewell,Cumberland Plateau,1b,https://www.vdh.virginia.gov/cumberland-plateau/
2021-01-14,Suffolk,Western Tidewater,1a,https://www.vdh.virginia.gov/western-tidewater/
2021-01-14,Wise,Lenowisco,1b,https://www.vdh.virginia.gov/lenowisco/
2021-01-14,Brunswick,Southside,1a,https://www.vdh.virginia.gov/southside/
2021-01-14,Craig,Alleghany,1b,https://www.vdh.virginia.gov/alleghany/
2021-01-14,Galax,Mount Rogers,1b,https://www.vdh.virginia.gov/mount-rogers/
2021-01-14,Hampton,Hampton,1a,https://www.vdh.virginia.gov/hampton/
2021-01-14,Richmond County,Three Rivers,1a,https://www.vdh.virginia.gov/three-rivers/
2021-01-14,Augusta,Central Shenandoah,1a,https://www.vdh.virginia.gov/central-shenandoah/
2021-01-14,Charlotte,Piedmont,1a,https://www.vdh.virginia.gov/piedmont/
2021-01-14,Falls Church,Fairfax,1b,https://www.fairfaxcounty.gov/health/
2021-01-14,Lee,Lenowisco,1b,https://www.vdh.virginia.gov/lenowisco/
2021-01-14,Amelia,Piedmont,1a,https://www.vdh.virginia.gov/piedmont/
2021-01-14,Manassas Park,Prince William,1b,https://www.vdh.virginia.gov/prince-william/
2021-01-14,Buena Vista City,Central Shenandoah,1a,https://www.vdh.virginia.gov/central-shenandoah/
2021-01-14,Frederick,Lord Fairfax,1b,https://www.vdh.virginia.gov/lord-fairfax/
2021-01-14,Dickenson,Cumberland Plateau,1b,https://www.vdh.virginia.gov/cumberland-plateau/
2021-01-14,King and Queen,Three Rivers,1a,https://www.vdh.virginia.gov/three-rivers/
2021-01-14,Appomattox,Central Virginia,1a,https://www.vdh.virginia.gov/central-virginia/
2021-01-14,Isle of Wight,Western Tidewater,1a,https://www.vdh.virginia.gov/western-tidewater/
2021-01-14,Buckingham,Piedmont,1a,https://www.vdh.virginia.gov/piedmont/
2021-01-14,Louisa,Blue Ridge,1a,https://www.vdh.virginia.gov/blue-ridge/
2021-01-14,Mecklenburg,Southside,1a,https://www.vdh.virginia.gov/southside/
2021-01-14,Lexington,Central Shenandoah,1a,https://www.vdh.virginia.gov/central-shenandoah/
2021-01-14,Franklin City,Western Tidewater,1a,https://www.vdh.virginia.gov/western-tidewater/
2021-01-14,Dinwiddie,Crater,1a,https://www.vdh.virginia.gov/crater/
2021-01-14,Prince George,Crater,1a,https://www.vdh.virginia.gov/crater/
2021-01-14,Petersburg,Crater,1a,https://www.vdh.virginia.gov/crater/
2021-01-14,New Kent,Chickahominy,1a,https://www.vdh.virginia.gov/chickahominy/
2021-01-14,Newport News,Peninsula,1a,https://www.vdh.virginia.gov/peninsula/
2021-01-14,Scott,Lenowisco,1b,https://www.vdh.virginia.gov/lenowisco/
2021-01-14,Southampton,Western Tidewater,1a,https://www.vdh.virginia.gov/western-tidewater/
2021-01-14,Roanoke City,Roanoke,1b,https://www.vdh.virginia.gov/roanoke/
2021-01-14,Warren,Lord Fairfax,1b,https://www.vdh.virginia.gov/lord-fairfax/
2021-01-14,Franklin County,West Piedmont,1a,https://www.vdh.virginia.gov/west-piedmont/
2021-01-14,Charles City,Chickahominy,1a,https://www.vdh.virginia.gov/chickahominy/
2021-01-14,Loudoun,Loudoun,1b,https://www.loudoun.gov/health
2021-01-14,Middlesex,Three Rivers,1a,https://www.vdh.virginia.gov/three-rivers/
2021-01-14,Danville,Pittsylvania-Danville,1a,https://www.vdh.virginia.gov/pittsylvania-danville/
2021-01-14,Russell,Cumberland Plateau,1b,https://www.vdh.virginia.gov/cumberland-plateau/
2021-01-14,Charlottesville,Blue Ridge,1a,https://www.vdh.virginia.gov/blue-ridge/
2021-01-14,King William,Three Rivers,1a,https://www.vdh.virginia.gov/three-rivers/
2021-01-14,Mathews,Three Rivers,1a,https://www.vdh.virginia.gov/three-rivers/
2021-01-14,Richmond City,Richmond,1a,https://www.vdh.virginia.gov/richmond-city/
2021-01-14,Westmoreland,Three Rivers,1a,https://www.vdh.virginia.gov/three-rivers/
2021-01-14,Pulaski,New River,1b,https://www.nrvroadtowellness.com/
2021-01-14,Henrico,Henrico,1a,https://henrico.us/health/
2021-01-14,Hopewell,Crater,1a,https://www.vdh.virginia.gov/crater/
2021-01-14,Caroline,Rappahannock,1a,https://www.vdh.virginia.gov/rappahannock/
2021-01-14,Nelson,Blue Ridge,1a,https://www.vdh.virginia.gov/blue-ridge/
2021-01-14,Powhatan,Chesterfield,1a,https://www.vdh.virginia.gov/chesterfield/
2021-01-14,Campbell,Central Virginia,1a,https://www.vdh.virginia.gov/central-virginia/
2021-01-14,Hanover,Chickahominy,1a,https://www.vdh.virginia.gov/chickahominy/
2021-01-14,Chesapeake,Chesapeake,1a,https://www.vdh.virginia.gov/chesapeake/
2021-01-14,Buchanan,Cumberland Plateau,1b,https://www.vdh.virginia.gov/cumberland-plateau/
2021-01-14,Fluvanna,Blue Ridge,1a,https://www.vdh.virginia.gov/blue-ridge/
2021-01-14,Poquoson,Peninsula,1a,https://www.vdh.virginia.gov/peninsula/
2021-01-14,Fauquier,Rappahannock Rapidan,1a,https://www.vdh.virginia.gov/rappahannock-rapidan/
2021-01-14,Amherst,Central Virginia,1a,https://www.vdh.virginia.gov/central-virginia/
2021-01-14,Fredericksburg,Rappahannock,1a,https://www.vdh.virginia.gov/rappahannock/
2021-01-14,Grayson,Mount Rogers,1b,https://www.vdh.virginia.gov/mount-rogers/
2021-01-14,Martinsville,West Piedmont,1a,https://www.vdh.virginia.gov/west-piedmont/
2021-01-14,Bristol,Mount Rogers,1b,https://www.vdh.virginia.gov/mount-rogers/
2021-01-14,Harrisonburg,Central Shenandoah,1a,https://www.vdh.virginia.gov/central-shenandoah/
2021-01-14,Prince Edward,Piedmont,1a,https://www.vdh.virginia.gov/piedmont/
2021-01-14,Cumberland,Piedmont,1a,https://www.vdh.virginia.gov/piedmont/
2021-01-14,Greensville,Crater,1a,https://www.vdh.virginia.gov/crater/
2021-01-14,Carroll,Mount Rogers,1b,https://www.vdh.virginia.gov/mount-rogers/
2021-01-14,Rockingham,Central Shenandoah,1a,https://www.vdh.virginia.gov/central-shenandoah/
2021-01-14,Montgomery,New River,1b,https://www.nrvroadtowellness.com/
2021-01-14,Chesterfield,Chesterfield,1a,https://www.vdh.virginia.gov/chesterfield/
2021-01-14,Manassas City,Prince William,1b,https://www.vdh.virginia.gov/prince-william/
2021-01-14,Page,Lord Fairfax,1b,https://www.vdh.virginia.gov/lord-fairfax/
2021-01-14,Arlington,Arlington,1b,https://www.arlingtonva.us/covid-19/
2021-01-14,Bedford,Central Virginia,1a,https://www.vdh.virginia.gov/central-virginia/
2021-01-14,Lunenburg,Piedmont,1a,https://www.vdh.virginia.gov/piedmont/
2021-01-14,Essex,Three Rivers,1a,https://www.vdh.virginia.gov/three-rivers/
2021-01-14,Greene,Blue Ridge,1a,https://www.vdh.virginia.gov/blue-ridge/
2021-01-14,Washington,Mount Rogers,1b,https://www.vdh.virginia.gov/mount-rogers/
2021-01-14,Virginia Beach,Virginia Beach,1a,https://www.vdh.virginia.gov/virginia-beach/
2021-01-14,Giles,New River,1b,https://www.nrvroadtowellness.com/
2021-01-14,Clarke,Lord Fairfax,1b,https://www.vdh.virginia.gov/lord-fairfax/
2021-01-14,Alleghany,Alleghany,1b,https://www.vdh.virginia.gov/alleghany/
2021-01-14,Gloucester,Three Rivers,1a,https://www.vdh.virginia.gov/three-rivers/
2021-01-14,Bland,Mount Rogers,1b,https://www.vdh.virginia.gov/mount-rogers/
2021-01-14,York,Peninsula,1a,https://www.vdh.virginia.gov/peninsula/
2021-01-14,Norfolk,Norfolk,1a,https://www.norfolk.gov/153/Public-Health
2021-01-14,Henry,West Piedmont,1a,https://www.vdh.virginia.gov/west-piedmont/
2021-01-14,Staunton,Central Shenandoah,1a,https://www.vdh.virginia.gov/central-shenandoah/
2021-01-14,Smyth,Mount Rogers,1b,https://www.vdh.virginia.gov/mount-rogers/
2021-01-14,Roanoke County,Alleghany,1b,https://www.vdh.virginia.gov/alleghany/
2021-01-14,Prince William,Prince William,1b,https://www.vdh.virginia.gov/prince-william/
2021-01-14,Fairfax City,Fairfax,1b,https://www.fairfaxcounty.gov/health/
2021-01-14,Stafford,Rappahannock,1a,https://www.vdh.virginia.gov/rappahannock/
2021-01-14,Salem,Alleghany,1b,https://www.vdh.virginia.gov/alleghany/
2021-01-14,Halifax,Southside,1a,https://www.vdh.virginia.gov/southside/
2021-01-14,Sussex,Crater,1a,https://www.vdh.virginia.gov/crater/
2021-01-14,Colonial Heights,Chesterfield,1a,https://www.vdh.virginia.gov/chesterfield/
2021-01-14,Albemarle,Blue Ridge,1a,https://www.vdh.virginia.gov/blue-ridge/
2021-01-14,Floyd,New River,1b,https://www.nrvroadtowellness.com/
2021-01-14,Nottoway,Piedmont,1a,https://www.vdh.virginia.gov/piedmont/
2021-01-14,Shenandoah,Lord Fairfax,1b,https://www.vdh.virginia.gov/lord-fairfax/
2021-01-14,Portsmouth,Portsmouth,1a,https://www.vdh.virginia.gov/portsmouth/
2021-01-14,Alexandria,Alexandria,1b,https://www.alexandriava.gov/Health
2021-01-14,Covington,Alleghany,1b,https://www.vdh.virginia.gov/alleghany/
2021-01-14,Pittsylvania,Pittsylvania-Danville,1a,https://www.vdh.virginia.gov/pittsylvania-danville/
2021-01-14,Northumberland,Three Rivers,1a,https://www.vdh.virginia.gov/three-rivers/
2021-01-14,Highland,Central Shenandoah,1a,https://www.vdh.virginia.gov/central-shenandoah/
