Date,Locality,Health District,Vaccine Phase,Website
2021-01-22,King George,Rappahannock,1b,https://www.vdh.virginia.gov/rappahannock/
2021-01-22,Lancaster,Three Rivers,1b,https://www.vdh.virginia.gov/three-rivers/
2021-01-22,Lynchburg,Central Virginia,1b,https://www.vdh.virginia.gov/central-virginia/
2021-01-22,Patrick,West Piedmont,1b,https://www.vdh.virginia.gov/west-piedmont/
2021-01-22,Goochland,Chickahominy,1b,https://www.vdh.virginia.gov/chickahominy/
2021-01-22,Norton,Lenowisco,1b,https://www.vdh.virginia.gov/lenowisco/
2021-01-22,Rappahannock,Rappahannock Rapidan,1b,https://www.vdh.virginia.gov/rappahannock-rapidan/
2021-01-22,Botetourt,Alleghany,1b,https://www.vdh.virginia.gov/alleghany/
2021-01-22,Bath,Central Shenandoah,1b,https://www.vdh.virginia.gov/central-shenandoah/
2021-01-22,Orange,Rappahannock Rapidan,1b,https://www.vdh.virginia.gov/rappahannock-rapidan/
2021-01-22,Radford,New River,1b,https://www.nrvroadtowellness.com/
2021-01-22,Wythe,Mount Rogers,1b,https://www.vdh.virginia.gov/mount-rogers/
2021-01-22,Culpeper,Rappahannock Rapidan,1b,https://www.vdh.virginia.gov/rappahannock-rapidan/
2021-01-22,Accomack,Eastern Shore,1b,https://www.vdh.virginia.gov/eastern-shore/
2021-01-22,Emporia,Crater,1b,https://www.vdh.virginia.gov/crater/
2021-01-22,Waynesboro,Central Shenandoah,1b,https://www.vdh.virginia.gov/central-shenandoah/
2021-01-22,Madison,Rappahannock Rapidan,1b,https://www.vdh.virginia.gov/rappahannock-rapidan/
2021-01-22,Spotsylvania,Rappahannock,1b,https://www.vdh.virginia.gov/rappahannock/
2021-01-22,Rockbridge,Central Shenandoah,1b,https://www.vdh.virginia.gov/central-shenandoah/
2021-01-22,Williamsburg,Peninsula,1a,https://www.vdh.virginia.gov/peninsula/
2021-01-22,Surry,Crater,1b,https://www.vdh.virginia.gov/crater/
2021-01-22,Winchester,Lord Fairfax,1b,https://www.vdh.virginia.gov/lord-fairfax/
2021-01-22,Northampton,Eastern Shore,1b,https://www.vdh.virginia.gov/eastern-shore/
2021-01-22,James City,Peninsula,1a,https://www.vdh.virginia.gov/peninsula/
2021-01-22,Fairfax,Fairfax,1b,https://www.fairfaxcounty.gov/health/
2021-01-22,Tazewell,Cumberland Plateau,1b,https://www.vdh.virginia.gov/cumberland-plateau/
2021-01-22,Suffolk,Western Tidewater,1b,https://www.vdh.virginia.gov/western-tidewater/
2021-01-22,Wise,Lenowisco,1b,https://www.vdh.virginia.gov/lenowisco/
2021-01-22,Brunswick,Southside,1b,https://www.vdh.virginia.gov/southside/
2021-01-22,Craig,Alleghany,1b,https://www.vdh.virginia.gov/alleghany/
2021-01-22,Galax,Mount Rogers,1b,https://www.vdh.virginia.gov/mount-rogers/
2021-01-22,Hampton,Hampton,1a,https://www.vdh.virginia.gov/hampton/
2021-01-22,Richmond County,Three Rivers,1b,https://www.vdh.virginia.gov/three-rivers/
2021-01-22,Augusta,Central Shenandoah,1b,https://www.vdh.virginia.gov/central-shenandoah/
2021-01-22,Charlotte,Piedmont,1b,https://www.vdh.virginia.gov/piedmont/
2021-01-22,Falls Church,Fairfax,1b,https://www.fairfaxcounty.gov/health/
2021-01-22,Lee,Lenowisco,1b,https://www.vdh.virginia.gov/lenowisco/
2021-01-22,Amelia,Piedmont,1b,https://www.vdh.virginia.gov/piedmont/
2021-01-22,Manassas Park,Prince William,1b,https://www.vdh.virginia.gov/prince-william/
2021-01-22,Buena Vista City,Central Shenandoah,1b,https://www.vdh.virginia.gov/central-shenandoah/
2021-01-22,Frederick,Lord Fairfax,1b,https://www.vdh.virginia.gov/lord-fairfax/
2021-01-22,Dickenson,Cumberland Plateau,1b,https://www.vdh.virginia.gov/cumberland-plateau/
2021-01-22,King and Queen,Three Rivers,1b,https://www.vdh.virginia.gov/three-rivers/
2021-01-22,Appomattox,Central Virginia,1b,https://www.vdh.virginia.gov/central-virginia/
2021-01-22,Isle of Wight,Western Tidewater,1b,https://www.vdh.virginia.gov/western-tidewater/
2021-01-22,Buckingham,Piedmont,1b,https://www.vdh.virginia.gov/piedmont/
2021-01-22,Louisa,Blue Ridge,1b,https://www.vdh.virginia.gov/blue-ridge/
2021-01-22,Mecklenburg,Southside,1b,https://www.vdh.virginia.gov/southside/
2021-01-22,Lexington,Central Shenandoah,1b,https://www.vdh.virginia.gov/central-shenandoah/
2021-01-22,Franklin City,Western Tidewater,1b,https://www.vdh.virginia.gov/western-tidewater/
2021-01-22,Dinwiddie,Crater,1b,https://www.vdh.virginia.gov/crater/
2021-01-22,Prince George,Crater,1b,https://www.vdh.virginia.gov/crater/
2021-01-22,Petersburg,Crater,1b,https://www.vdh.virginia.gov/crater/
2021-01-22,New Kent,Chickahominy,1b,https://www.vdh.virginia.gov/chickahominy/
2021-01-22,Newport News,Peninsula,1a,https://www.vdh.virginia.gov/peninsula/
2021-01-22,Scott,Lenowisco,1b,https://www.vdh.virginia.gov/lenowisco/
2021-01-22,Southampton,Western Tidewater,1b,https://www.vdh.virginia.gov/western-tidewater/
2021-01-22,Roanoke City,Roanoke,1b,https://www.vdh.virginia.gov/roanoke/
2021-01-22,Warren,Lord Fairfax,1b,https://www.vdh.virginia.gov/lord-fairfax/
2021-01-22,Franklin County,West Piedmont,1b,https://www.vdh.virginia.gov/west-piedmont/
2021-01-22,Charles City,Chickahominy,1b,https://www.vdh.virginia.gov/chickahominy/
2021-01-22,Loudoun,Loudoun,1b,https://www.loudoun.gov/health
2021-01-22,Middlesex,Three Rivers,1b,https://www.vdh.virginia.gov/three-rivers/
2021-01-22,Danville,Pittsylvania-Danville,1b,https://www.vdh.virginia.gov/pittsylvania-danville/
2021-01-22,Russell,Cumberland Plateau,1b,https://www.vdh.virginia.gov/cumberland-plateau/
2021-01-22,Charlottesville,Blue Ridge,1b,https://www.vdh.virginia.gov/blue-ridge/
2021-01-22,King William,Three Rivers,1b,https://www.vdh.virginia.gov/three-rivers/
2021-01-22,Mathews,Three Rivers,1b,https://www.vdh.virginia.gov/three-rivers/
2021-01-22,Richmond City,Richmond,1b,https://www.vdh.virginia.gov/richmond-city/
2021-01-22,Westmoreland,Three Rivers,1b,https://www.vdh.virginia.gov/three-rivers/
2021-01-22,Pulaski,New River,1b,https://www.nrvroadtowellness.com/
2021-01-22,Henrico,Henrico,1b,https://henrico.us/health/
2021-01-22,Hopewell,Crater,1b,https://www.vdh.virginia.gov/crater/
2021-01-22,Caroline,Rappahannock,1b,https://www.vdh.virginia.gov/rappahannock/
2021-01-22,Nelson,Blue Ridge,1b,https://www.vdh.virginia.gov/blue-ridge/
2021-01-22,Powhatan,Chesterfield,1b,https://www.vdh.virginia.gov/chesterfield/
2021-01-22,Campbell,Central Virginia,1b,https://www.vdh.virginia.gov/central-virginia/
2021-01-22,Hanover,Chickahominy,1b,https://www.vdh.virginia.gov/chickahominy/
2021-01-22,Chesapeake,Chesapeake,1b,https://www.vdh.virginia.gov/chesapeake/
2021-01-22,Buchanan,Cumberland Plateau,1b,https://www.vdh.virginia.gov/cumberland-plateau/
2021-01-22,Fluvanna,Blue Ridge,1b,https://www.vdh.virginia.gov/blue-ridge/
2021-01-22,Poquoson,Peninsula,1a,https://www.vdh.virginia.gov/peninsula/
2021-01-22,Fauquier,Rappahannock Rapidan,1b,https://www.vdh.virginia.gov/rappahannock-rapidan/
2021-01-22,Amherst,Central Virginia,1b,https://www.vdh.virginia.gov/central-virginia/
2021-01-22,Fredericksburg,Rappahannock,1b,https://www.vdh.virginia.gov/rappahannock/
2021-01-22,Grayson,Mount Rogers,1b,https://www.vdh.virginia.gov/mount-rogers/
2021-01-22,Martinsville,West Piedmont,1b,https://www.vdh.virginia.gov/west-piedmont/
2021-01-22,Bristol,Mount Rogers,1b,https://www.vdh.virginia.gov/mount-rogers/
2021-01-22,Harrisonburg,Central Shenandoah,1b,https://www.vdh.virginia.gov/central-shenandoah/
2021-01-22,Prince Edward,Piedmont,1b,https://www.vdh.virginia.gov/piedmont/
2021-01-22,Cumberland,Piedmont,1b,https://www.vdh.virginia.gov/piedmont/
2021-01-22,Greensville,Crater,1b,https://www.vdh.virginia.gov/crater/
2021-01-22,Carroll,Mount Rogers,1b,https://www.vdh.virginia.gov/mount-rogers/
2021-01-22,Rockingham,Central Shenandoah,1b,https://www.vdh.virginia.gov/central-shenandoah/
2021-01-22,Montgomery,New River,1b,https://www.nrvroadtowellness.com/
