Date,Locality,Health District,Vaccine Phase,Website
2021-01-16,King George,Rappahannock,1a,https://www.vdh.virginia.gov/rappahannock/
2021-01-16,Lancaster,Three Rivers,1b,https://www.vdh.virginia.gov/three-rivers/
2021-01-16,Lynchburg,Central Virginia,1a,https://www.vdh.virginia.gov/central-virginia/
2021-01-16,Patrick,West Piedmont,1a,https://www.vdh.virginia.gov/west-piedmont/
2021-01-16,Goochland,Chickahominy,1a,https://www.vdh.virginia.gov/chickahominy/
2021-01-16,Norton,Lenowisco,1b,https://www.vdh.virginia.gov/lenowisco/
2021-01-16,Rappahannock,Rappahannock Rapidan,1a,https://www.vdh.virginia.gov/rappahannock-rapidan/
2021-01-16,Botetourt,Alleghany,1b,https://www.vdh.virginia.gov/alleghany/
2021-01-16,Bath,Central Shenandoah,1a,https://www.vdh.virginia.gov/central-shenandoah/
2021-01-16,Orange,Rappahannock Rapidan,1a,https://www.vdh.virginia.gov/rappahannock-rapidan/
2021-01-16,Radford,New River,1b,https://www.nrvroadtowellness.com/
2021-01-16,Wythe,Mount Rogers,1b,https://www.vdh.virginia.gov/mount-rogers/
2021-01-16,Culpeper,Rappahannock Rapidan,1a,https://www.vdh.virginia.gov/rappahannock-rapidan/
2021-01-16,Accomack,Eastern Shore,1b,https://www.vdh.virginia.gov/eastern-shore/
2021-01-16,Emporia,Crater,1a,https://www.vdh.virginia.gov/crater/
2021-01-16,Waynesboro,Central Shenandoah,1a,https://www.vdh.virginia.gov/central-shenandoah/
2021-01-16,Madison,Rappahannock Rapidan,1a,https://www.vdh.virginia.gov/rappahannock-rapidan/
2021-01-16,Spotsylvania,Rappahannock,1a,https://www.vdh.virginia.gov/rappahannock/
2021-01-16,Rockbridge,Central Shenandoah,1a,https://www.vdh.virginia.gov/central-shenandoah/
2021-01-16,Williamsburg,Peninsula,1a,https://www.vdh.virginia.gov/peninsula/
2021-01-16,Surry,Crater,1a,https://www.vdh.virginia.gov/crater/
2021-01-16,Winchester,Lord Fairfax,1b,https://www.vdh.virginia.gov/lord-fairfax/
2021-01-16,Northampton,Eastern Shore,1b,https://www.vdh.virginia.gov/eastern-shore/
2021-01-16,James City,Peninsula,1a,https://www.vdh.virginia.gov/peninsula/
2021-01-16,Fairfax,Fairfax,1b,https://www.fairfaxcounty.gov/health/
2021-01-16,Tazewell,Cumberland Plateau,1b,https://www.vdh.virginia.gov/cumberland-plateau/
2021-01-16,Suffolk,Western Tidewater,1a,https://www.vdh.virginia.gov/western-tidewater/
2021-01-16,Wise,Lenowisco,1b,https://www.vdh.virginia.gov/lenowisco/
2021-01-16,Brunswick,Southside,1a,https://www.vdh.virginia.gov/southside/
2021-01-16,Craig,Alleghany,1b,https://www.vdh.virginia.gov/alleghany/
2021-01-16,Galax,Mount Rogers,1b,https://www.vdh.virginia.gov/mount-rogers/
2021-01-16,Hampton,Hampton,1a,https://www.vdh.virginia.gov/hampton/
2021-01-16,Richmond County,Three Rivers,1b,https://www.vdh.virginia.gov/three-rivers/
2021-01-16,Augusta,Central Shenandoah,1a,https://www.vdh.virginia.gov/central-shenandoah/
2021-01-16,Charlotte,Piedmont,1a,https://www.vdh.virginia.gov/piedmont/
2021-01-16,Falls Church,Fairfax,1b,https://www.fairfaxcounty.gov/health/
2021-01-16,Lee,Lenowisco,1b,https://www.vdh.virginia.gov/lenowisco/
2021-01-16,Amelia,Piedmont,1a,https://www.vdh.virginia.gov/piedmont/
2021-01-16,Manassas Park,Prince William,1b,https://www.vdh.virginia.gov/prince-william/
2021-01-16,Buena Vista City,Central Shenandoah,1a,https://www.vdh.virginia.gov/central-shenandoah/
2021-01-16,Frederick,Lord Fairfax,1b,https://www.vdh.virginia.gov/lord-fairfax/
2021-01-16,Dickenson,Cumberland Plateau,1b,https://www.vdh.virginia.gov/cumberland-plateau/
2021-01-16,King and Queen,Three Rivers,1b,https://www.vdh.virginia.gov/three-rivers/
2021-01-16,Appomattox,Central Virginia,1a,https://www.vdh.virginia.gov/central-virginia/
2021-01-16,Isle of Wight,Western Tidewater,1a,https://www.vdh.virginia.gov/western-tidewater/
2021-01-16,Buckingham,Piedmont,1a,https://www.vdh.virginia.gov/piedmont/
2021-01-16,Louisa,Blue Ridge,1a,https://www.vdh.virginia.gov/blue-ridge/
2021-01-16,Mecklenburg,Southside,1a,https://www.vdh.virginia.gov/southside/
2021-01-16,Lexington,Central Shenandoah,1a,https://www.vdh.virginia.gov/central-shenandoah/
2021-01-16,Franklin City,Western Tidewater,1a,https://www.vdh.virginia.gov/western-tidewater/
2021-01-16,Dinwiddie,Crater,1a,https://www.vdh.virginia.gov/crater/
2021-01-16,Prince George,Crater,1a,https://www.vdh.virginia.gov/crater/
2021-01-16,Petersburg,Crater,1a,https://www.vdh.virginia.gov/crater/
2021-01-16,New Kent,Chickahominy,1a,https://www.vdh.virginia.gov/chickahominy/
2021-01-16,Newport News,Peninsula,1a,https://www.vdh.virginia.gov/peninsula/
2021-01-16,Scott,Lenowisco,1b,https://www.vdh.virginia.gov/lenowisco/
2021-01-16,Southampton,Western Tidewater,1a,https://www.vdh.virginia.gov/western-tidewater/
2021-01-16,Roanoke City,Roanoke,1b,https://www.vdh.virginia.gov/roanoke/
2021-01-16,Warren,Lord Fairfax,1b,https://www.vdh.virginia.gov/lord-fairfax/
2021-01-16,Franklin County,West Piedmont,1a,https://www.vdh.virginia.gov/west-piedmont/
2021-01-16,Charles City,Chickahominy,1a,https://www.vdh.virginia.gov/chickahominy/
2021-01-16,Loudoun,Loudoun,1b,https://www.loudoun.gov/health
2021-01-16,Middlesex,Three Rivers,1b,https://www.vdh.virginia.gov/three-rivers/
2021-01-16,Danville,Pittsylvania-Danville,1a,https://www.vdh.virginia.gov/pittsylvania-danville/
2021-01-16,Russell,Cumberland Plateau,1b,https://www.vdh.virginia.gov/cumberland-plateau/
2021-01-16,Charlottesville,Blue Ridge,1a,https://www.vdh.virginia.gov/blue-ridge/
2021-01-16,King William,Three Rivers,1b,https://www.vdh.virginia.gov/three-rivers/
2021-01-16,Mathews,Three Rivers,1b,https://www.vdh.virginia.gov/three-rivers/
2021-01-16,Richmond City,Richmond,1a,https://www.vdh.virginia.gov/richmond-city/
2021-01-16,Westmoreland,Three Rivers,1b,https://www.vdh.virginia.gov/three-rivers/
