Date,Locality,Health District,Vaccine Phase,Website
2021-01-18,King George,Rappahannock,1b,https://www.vdh.virginia.gov/rappahannock/
2021-01-18,Lancaster,Three Rivers,1b,https://www.vdh.virginia.gov/three-rivers/
2021-01-18,Lynchburg,Central Virginia,1a,https://www.vdh.virginia.gov/central-virginia/
2021-01-18,Patrick,West Piedmont,1a,https://www.vdh.virginia.gov/west-piedmont/
2021-01-18,Goochland,Chickahominy,1b,https://www.vdh.virginia.gov/chickahominy/
2021-01-18,Norton,Lenowisco,1b,https://www.vdh.virginia.gov/lenowisco/
2021-01-18,Rappahannock,Rappahannock Rapidan,1b,https://www.vdh.virginia.gov/rappahannock-rapidan/
2021-01-18,Botetourt,Alleghany,1b,https://www.vdh.virginia.gov/alleghany/
2021-01-18,Bath,Central Shenandoah,1a,https://www.vdh.virginia.gov/central-shenandoah/
2021-01-18,Orange,Rappahannock Rapidan,1b,https://www.vdh.virginia.gov/rappahannock-rapidan/
2021-01-18,Radford,New River,1b,https://www.nrvroadtowellness.com/
2021-01-18,Wythe,Mount Rogers,1b,https://www.vdh.virginia.gov/mount-rogers/
2021-01-18,Culpeper,Rappahannock Rapidan,1b,https://www.vdh.virginia.gov/rappahannock-rapidan/
2021-01-18,Accomack,Eastern Shore,1b,https://www.vdh.virginia.gov/eastern-shore/
2021-01-18,Emporia,Crater,1a,https://www.vdh.virginia.gov/crater/
2021-01-18,Waynesboro,Central Shenandoah,1a,https://www.vdh.virginia.gov/central-shenandoah/
2021-01-18,Madison,Rappahannock Rapidan,1b,https://www.vdh.virginia.gov/rappahannock-rapidan/
2021-01-18,Spotsylvania,Rappahannock,1b,https://www.vdh.virginia.gov/rappahannock/
2021-01-18,Rockbridge,Central Shenandoah,1a,https://www.vdh.virginia.gov/central-shenandoah/
2021-01-18,Williamsburg,Peninsula,1a,https://www.vdh.virginia.gov/peninsula/
2021-01-18,Surry,Crater,1a,https://www.vdh.virginia.gov/crater/
2021-01-18,Winchester,Lord Fairfax,1b,https://www.vdh.virginia.gov/lord-fairfax/
2021-01-18,Northampton,Eastern Shore,1b,https://www.vdh.virginia.gov/eastern-shore/
2021-01-18,James City,Peninsula,1a,https://www.vdh.virginia.gov/peninsula/
2021-01-18,Fairfax,Fairfax,1b,https://www.fairfaxcounty.gov/health/
2021-01-18,Tazewell,Cumberland Plateau,1b,https://www.vdh.virginia.gov/cumberland-plateau/
2021-01-18,Suffolk,Western Tidewater,1a,https://www.vdh.virginia.gov/western-tidewater/
2021-01-18,Wise,Lenowisco,1b,https://www.vdh.virginia.gov/lenowisco/
2021-01-18,Brunswick,Southside,1b,https://www.vdh.virginia.gov/southside/
2021-01-18,Craig,Alleghany,1b,https://www.vdh.virginia.gov/alleghany/
2021-01-18,Galax,Mount Rogers,1b,https://www.vdh.virginia.gov/mount-rogers/
2021-01-18,Hampton,Hampton,1a,https://www.vdh.virginia.gov/hampton/
2021-01-18,Richmond County,Three Rivers,1b,https://www.vdh.virginia.gov/three-rivers/
2021-01-18,Augusta,Central Shenandoah,1a,https://www.vdh.virginia.gov/central-shenandoah/
2021-01-18,Charlotte,Piedmont,1a,https://www.vdh.virginia.gov/piedmont/
2021-01-18,Falls Church,Fairfax,1b,https://www.fairfaxcounty.gov/health/
2021-01-18,Lee,Lenowisco,1b,https://www.vdh.virginia.gov/lenowisco/
2021-01-18,Amelia,Piedmont,1a,https://www.vdh.virginia.gov/piedmont/
2021-01-18,Manassas Park,Prince William,1b,https://www.vdh.virginia.gov/prince-william/
2021-01-18,Buena Vista City,Central Shenandoah,1a,https://www.vdh.virginia.gov/central-shenandoah/
2021-01-18,Frederick,Lord Fairfax,1b,https://www.vdh.virginia.gov/lord-fairfax/
