Date,Locality,Health District,Vaccine Phase,Website
2021-01-19,King George,Rappahannock,1b,https://www.vdh.virginia.gov/rappahannock/
2021-01-19,Lancaster,Three Rivers,1b,https://www.vdh.virginia.gov/three-rivers/
2021-01-19,Lynchburg,Central Virginia,1a,https://www.vdh.virginia.gov/central-virginia/
2021-01-19,Patrick,West Piedmont,1a,https://www.vdh.virginia.gov/west-piedmont/
2021-01-19,Goochland,Chickahominy,1b,https://www.vdh.virginia.gov/chickahominy/
2021-01-19,Norton,Lenowisco,1b,https://www.vdh.virginia.gov/lenowisco/
2021-01-19,Rappahannock,Rappahannock Rapidan,1b,https://www.vdh.virginia.gov/rappahannock-rapidan/
2021-01-19,Botetourt,Alleghany,1b,https://www.vdh.virginia.gov/alleghany/
2021-01-19,Bath,Central Shenandoah,1b,https://www.vdh.virginia.gov/central-shenandoah/
2021-01-19,Orange,Rappahannock Rapidan,1b,https://www.vdh.virginia.gov/rappahannock-rapidan/
2021-01-19,Radford,New River,1b,https://www.nrvroadtowellness.com/
2021-01-19,Wythe,Mount Rogers,1b,https://www.vdh.virginia.gov/mount-rogers/
2021-01-19,Culpeper,Rappahannock Rapidan,1b,https://www.vdh.virginia.gov/rappahannock-rapidan/
2021-01-19,Accomack,Eastern Shore,1b,https://www.vdh.virginia.gov/eastern-shore/
2021-01-19,Emporia,Crater,1a,https://www.vdh.virginia.gov/crater/
2021-01-19,Waynesboro,Central Shenandoah,1b,https://www.vdh.virginia.gov/central-shenandoah/
2021-01-19,Madison,Rappahannock Rapidan,1b,https://www.vdh.virginia.gov/rappahannock-rapidan/
2021-01-19,Spotsylvania,Rappahannock,1b,https://www.vdh.virginia.gov/rappahannock/
2021-01-19,Rockbridge,Central Shenandoah,1b,https://www.vdh.virginia.gov/central-shenandoah/
2021-01-19,Williamsburg,Peninsula,1a,https://www.vdh.virginia.gov/peninsula/
2021-01-19,Surry,Crater,1a,https://www.vdh.virginia.gov/crater/
2021-01-19,Winchester,Lord Fairfax,1b,https://www.vdh.virginia.gov/lord-fairfax/
2021-01-19,Northampton,Eastern Shore,1b,https://www.vdh.virginia.gov/eastern-shore/
2021-01-19,James City,Peninsula,1a,https://www.vdh.virginia.gov/peninsula/
2021-01-19,Fairfax,Fairfax,1b,https://www.fairfaxcounty.gov/health/
2021-01-19,Tazewell,Cumberland Plateau,1b,https://www.vdh.virginia.gov/cumberland-plateau/
2021-01-19,Suffolk,Western Tidewater,1a,https://www.vdh.virginia.gov/western-tidewater/
2021-01-19,Wise,Lenowisco,1b,https://www.vdh.virginia.gov/lenowisco/
2021-01-19,Brunswick,Southside,1b,https://www.vdh.virginia.gov/southside/
2021-01-19,Craig,Alleghany,1b,https://www.vdh.virginia.gov/alleghany/
2021-01-19,Galax,Mount Rogers,1b,https://www.vdh.virginia.gov/mount-rogers/
2021-01-19,Hampton,Hampton,1a,https://www.vdh.virginia.gov/hampton/
2021-01-19,Richmond County,Three Rivers,1b,https://www.vdh.virginia.gov/three-rivers/
2021-01-19,Augusta,Central Shenandoah,1b,https://www.vdh.virginia.gov/central-shenandoah/
2021-01-19,Charlotte,Piedmont,1a,https://www.vdh.virginia.gov/piedmont/
2021-01-19,Falls Church,Fairfax,1b,https://www.fairfaxcounty.gov/health/
2021-01-19,Lee,Lenowisco,1b,https://www.vdh.virginia.gov/lenowisco/
2021-01-19,Amelia,Piedmont,1a,https://www.vdh.virginia.gov/piedmont/
2021-01-19,Manassas Park,Prince William,1b,https://www.vdh.virginia.gov/prince-william/
