Report Date,Week End Date,Geography Type,Geography Name,Facility Type,Count of CLI Visits,Count of ED Visits,Count of UC Visits,Percent of CLI Visits,Count of CLI Hospitalizations,Percent of  CLI Hospitalizations
11/23/2020,07/18/2020,Health Region,Eastern Region,Emergency Department,1742,17000,0,10,328,19
11/23/2020,09/19/2020,Health Region,Northwest Region,Urgent Care,300,0,2732,11,0,0
11/23/2020,09/12/2020,Health Region,Northwest Region,Emergency Department,433,8786,0,5,126,29
11/23/2020,07/11/2020,Health Region,Central Region,Urgent Care,1875,0,6781,28,0,0
11/23/2020,07/25/2020,Health Region,Eastern Region,Urgent Care,1480,0,8747,17,0,0
11/23/2020,04/25/2020,Health Region,Northwest Region,Emergency Department,565,6587,0,9,151,27
11/23/2020,05/02/2020,Health Region,Northwest Region,Urgent Care,211,0,1637,13,0,0
11/23/2020,04/25/2020,Health Region,Northern Region,Emergency Department,1386,7201,0,19,109,8
11/23/2020,03/07/2020,Health Region,Eastern Region,Urgent Care,980,0,12703,8,0,0
11/23/2020,07/11/2020,Health Region,Northern Region,Urgent Care,2300,0,7177,32,0,0
11/23/2020,10/17/2020,Health Region,Northern Region,Urgent Care,2181,0,7498,29,0,0
11/23/2020,09/26/2020,Health Region,Eastern Region,Urgent Care,1369,0,8953,15,0,0
11/23/2020,06/27/2020,Health Region,Northwest Region,Emergency Department,367,8301,0,4,120,33
11/23/2020,11/14/2020,Health Region,Southwest Region,Emergency Department,1082,9729,0,11,305,28
11/23/2020,04/25/2020,Health Region,Southwest Region,Emergency Department,385,6516,0,6,167,43
11/23/2020,10/17/2020,Health Region,Northern Region,Emergency Department,622,9432,0,7,80,13
11/23/2020,09/12/2020,Health Region,Central Region,Emergency Department,912,12303,0,7,246,27
11/23/2020,04/11/2020,Health Region,Eastern Region,Emergency Department,865,9649,0,9,218,25
11/23/2020,04/04/2020,Health Region,Central Region,Urgent Care,93,0,3003,3,0,0
11/23/2020,05/09/2020,Health Region,Eastern Region,Urgent Care,808,0,5829,14,0,0
11/23/2020,09/12/2020,Health Region,Southwest Region,Emergency Department,617,9665,0,6,170,28
11/23/2020,08/15/2020,Health Region,Northern Region,Urgent Care,1404,0,6332,22,0,0
11/23/2020,10/17/2020,Health Region,Southwest Region,Urgent Care,143,0,1549,9,0,0
11/23/2020,09/12/2020,Health Region,Northern Region,Urgent Care,1811,0,7121,25,0,0
11/23/2020,06/27/2020,Health Region,Northern Region,Emergency Department,526,8855,0,6,74,14
11/23/2020,04/18/2020,Health Region,Northwest Region,Urgent Care,105,0,1415,7,0,0
11/23/2020,08/29/2020,Health Region,Southwest Region,Emergency Department,567,9524,0,6,160,28
11/23/2020,08/15/2020,Health Region,Northern Region,Emergency Department,618,9198,0,7,65,11
11/23/2020,07/11/2020,Health Region,Southwest Region,Emergency Department,595,9969,0,6,166,28
11/23/2020,06/13/2020,Health Region,Eastern Region,Emergency Department,484,13430,0,4,195,40
11/23/2020,08/01/2020,Health Region,Eastern Region,Emergency Department,1709,15705,0,11,327,19
11/23/2020,05/23/2020,Health Region,Southwest Region,Emergency Department,321,7872,0,4,144,45
11/23/2020,10/10/2020,Health Region,Eastern Region,Urgent Care,2053,0,9867,21,0,0
11/23/2020,07/11/2020,Health Region,Northwest Region,Emergency Department,474,8818,0,5,149,31
11/23/2020,08/29/2020,Health Region,Northwest Region,Emergency Department,488,8798,0,6,142,29
11/23/2020,05/09/2020,Health Region,Central Region,Urgent Care,1035,0,4505,23,0,0
11/23/2020,11/14/2020,Health Region,Central Region,Emergency Department,1091,12533,0,9,313,29
11/23/2020,09/26/2020,Health Region,Central Region,Emergency Department,889,12073,0,7,291,33
11/23/2020,11/14/2020,Health Region,Northwest Region,Emergency Department,641,9471,0,7,187,29
11/23/2020,11/21/2020,Health Region,Northwest Region,Urgent Care,979,0,3370,29,0,0
11/23/2020,10/03/2020,Health Region,Eastern Region,Emergency Department,888,14890,0,6,265,30
11/23/2020,08/15/2020,Health Region,Eastern Region,Emergency Department,1298,14943,0,9,273,21
11/23/2020,03/21/2020,Health Region,Southwest Region,Emergency Department,849,9056,0,9,181,21
11/23/2020,05/09/2020,Health Region,Southwest Region,Emergency Department,392,7253,0,5,178,45
11/23/2020,06/27/2020,Health Region,Southwest Region,Emergency Department,477,9462,0,5,158,33
11/23/2020,10/31/2020,Health Region,Northern Region,Urgent Care,2304,0,7223,32,0,0
11/23/2020,10/31/2020,Health Region,Northwest Region,Emergency Department,533,8393,0,6,151,28
11/23/2020,03/07/2020,Health Region,Central Region,Urgent Care,398,0,7414,5,0,0
11/23/2020,04/11/2020,Health Region,Northern Region,Urgent Care,379,0,2984,13,0,0
11/23/2020,06/13/2020,Health Region,Southwest Region,Urgent Care,37,0,1694,2,0,0
11/23/2020,07/25/2020,Health Region,Southwest Region,Emergency Department,590,9370,0,6,137,23
11/23/2020,05/30/2020,Health Region,Eastern Region,Emergency Department,528,12295,0,4,185,35
11/23/2020,03/07/2020,Health Region,Central Region,Emergency Department,709,15695,0,5,206,29
11/23/2020,03/07/2020,Health Region,Northwest Region,Emergency Department,595,11249,0,5,145,24
11/23/2020,05/23/2020,Health Region,Central Region,Emergency Department,817,10003,0,8,337,41
11/23/2020,06/13/2020,Health Region,Northern Region,Emergency Department,608,8492,0,7,86,14
11/23/2020,11/14/2020,Health Region,Northern Region,Urgent Care,2633,0,7739,34,0,0
11/23/2020,10/31/2020,Health Region,Southwest Region,Urgent Care,166,0,1619,10,0,0
11/23/2020,08/29/2020,Health Region,Northern Region,Urgent Care,1652,0,6545,25,0,0
11/23/2020,03/21/2020,Health Region,Central Region,Urgent Care,329,0,4706,7,0,0
11/23/2020,04/11/2020,Health Region,Northern Region,Emergency Department,1118,6591,0,17,101,9
11/23/2020,06/27/2020,Health Region,Northern Region,Urgent Care,2262,0,6401,35,0,0
11/23/2020,08/29/2020,Health Region,Southwest Region,Urgent Care,90,0,1479,6,0,0
11/23/2020,03/28/2020,Health Region,Eastern Region,Emergency Department,1301,12118,0,11,259,20
11/23/2020,03/21/2020,Health Region,Eastern Region,Urgent Care,660,0,8081,8,0,0
11/23/2020,10/10/2020,Health Region,Central Region,Urgent Care,1585,0,6772,23,0,0
11/23/2020,08/08/2020,Health Region,Eastern Region,Urgent Care,1136,0,7995,14,0,0
11/23/2020,11/14/2020,Health Region,Eastern Region,Urgent Care,3154,0,10700,29,0,0
11/23/2020,10/31/2020,Health Region,Northern Region,Emergency Department,618,9276,0,7,70,11
11/23/2020,05/09/2020,Health Region,Northwest Region,Emergency Department,617,6781,0,9,160,26
11/23/2020,08/29/2020,Health Region,Northern Region,Emergency Department,680,9509,0,7,77,11
11/23/2020,06/20/2020,Health Region,Northwest Region,Urgent Care,324,0,2496,13,0,0
11/23/2020,03/07/2020,Health Region,Southwest Region,Emergency Department,643,11799,0,5,180,28
11/23/2020,05/23/2020,Health Region,Central Region,Urgent Care,1717,0,5535,31,0,0
11/23/2020,10/17/2020,Health Region,Eastern Region,Emergency Department,896,15018,0,6,258,29
11/23/2020,07/25/2020,Health Region,Central Region,Emergency Department,901,11926,0,8,278,31
11/23/2020,11/07/2020,Health Region,Northwest Region,Urgent Care,726,0,3017,24,0,0
11/23/2020,03/21/2020,Health Region,Central Region,Emergency Department,1354,12504,0,11,217,16
11/23/2020,06/06/2020,Health Region,Central Region,Urgent Care,1889,0,6009,31,0,0
11/23/2020,07/11/2020,Health Region,Eastern Region,Urgent Care,2680,0,10349,26,0,0
11/23/2020,10/24/2020,Health Region,Northwest Region,Urgent Care,573,0,3079,19,0,0
11/23/2020,05/09/2020,Health Region,Central Region,Emergency Department,733,9092,0,8,353,48
11/23/2020,07/25/2020,Health Region,Central Region,Urgent Care,1114,0,5976,19,0,0
11/23/2020,05/23/2020,Health Region,Eastern Region,Urgent Care,1176,0,6611,18,0,0
11/23/2020,05/16/2020,Health Region,Eastern Region,Emergency Department,569,11312,0,5,203,36
11/23/2020,04/25/2020,Health Region,Northern Region,Urgent Care,532,0,3124,17,0,0
11/23/2020,06/13/2020,Health Region,Northern Region,Urgent Care,2184,0,6317,35,0,0
11/23/2020,09/05/2020,Health Region,Northwest Region,Urgent Care,313,0,2733,11,0,0
11/23/2020,07/18/2020,Health Region,Northwest Region,Urgent Care,517,0,2941,18,0,0
11/23/2020,04/11/2020,Health Region,Southwest Region,Urgent Care,60,0,852,7,0,0
11/23/2020,09/26/2020,Health Region,Southwest Region,Emergency Department,590,9353,0,6,163,28
11/23/2020,03/28/2020,Health Region,Northern Region,Emergency Department,1129,7966,0,14,94,8
11/23/2020,06/27/2020,Health Region,Southwest Region,Urgent Care,111,0,2085,5,0,0
11/23/2020,08/15/2020,Health Region,Southwest Region,Urgent Care,54,0,1455,4,0,0
11/23/2020,07/04/2020,Health Region,Northwest Region,Urgent Care,364,0,2707,13,0,0
11/23/2020,07/11/2020,Health Region,Central Region,Emergency Department,878,12366,0,7,290,33
11/23/2020,08/22/2020,Health Region,Northwest Region,Urgent Care,261,0,2741,10,0,0
11/23/2020,09/26/2020,Health Region,Central Region,Urgent Care,1505,0,6757,22,0,0
11/23/2020,08/08/2020,Health Region,Central Region,Urgent Care,994,0,5764,17,0,0
11/23/2020,09/12/2020,Health Region,Eastern Region,Urgent Care,1398,0,8906,16,0,0
11/23/2020,03/14/2020,Health Region,Eastern Region,Emergency Department,1356,18863,0,7,238,18
11/23/2020,04/25/2020,Health Region,Southwest Region,Urgent Care,36,0,782,5,0,0
11/23/2020,08/15/2020,Health Region,Eastern Region,Urgent Care,1148,0,8597,13,0,0
11/23/2020,08/01/2020,Health Region,Northern Region,Emergency Department,613,9207,0,7,76,12
11/23/2020,05/30/2020,Health Region,Northern Region,Urgent Care,2375,0,5866,40,0,0
11/23/2020,04/25/2020,Health Region,Central Region,Emergency Department,555,7997,0,7,211,38
11/23/2020,10/03/2020,Health Region,Southwest Region,Emergency Department,755,9452,0,8,211,28
11/23/2020,09/12/2020,Health Region,Southwest Region,Urgent Care,97,0,1555,6,0,0
11/23/2020,03/14/2020,Health Region,Northern Region,Urgent Care,629,0,8754,7,0,0
11/23/2020,08/01/2020,Health Region,Southwest Region,Emergency Department,686,9688,0,7,168,24
11/23/2020,10/24/2020,Health Region,Eastern Region,Emergency Department,852,14957,0,6,237,28
11/23/2020,06/13/2020,Health Region,Northwest Region,Urgent Care,367,0,2473,15,0,0
11/23/2020,10/03/2020,Health Region,Northwest Region,Emergency Department,562,8960,0,6,162,29
11/23/2020,10/17/2020,Health Region,Central Region,Urgent Care,1466,0,6452,23,0,0
11/23/2020,09/05/2020,Health Region,Northern Region,Emergency Department,597,9629,0,6,65,11
11/23/2020,11/21/2020,Health Region,Northern Region,Urgent Care,3593,0,8685,41,0,0
11/23/2020,05/30/2020,Health Region,Northern Region,Emergency Department,999,8403,0,12,108,11
11/23/2020,07/11/2020,Health Region,Southwest Region,Urgent Care,147,0,2499,6,0,0
