Report Date,Count of ED Visits,Count of UC Visits,Percent of CLI Visits,Percent of  CLI Hospitalizations,Count of CLI Visits,Geography Name,Week End Date,Geography Type,Facility Type,Count of CLI Hospitalizations
2020-07-20,16972,0,10,18,1722,Eastern Region,2020-07-18,Health Region,Emergency Department,314
2020-07-20,0,6781,28,0,1875,Central Region,2020-07-11,Health Region,Urgent Care,0
2020-07-20,6586,0,9,27,565,Northwest Region,2020-04-25,Health Region,Emergency Department,151
2020-07-20,0,1636,13,0,211,Northwest Region,2020-05-02,Health Region,Urgent Care,0
2020-07-20,7198,0,19,8,1386,Northern Region,2020-04-25,Health Region,Emergency Department,109
2020-07-20,0,12703,8,0,980,Eastern Region,2020-03-07,Health Region,Urgent Care,0
2020-07-20,0,7176,32,0,2299,Northern Region,2020-07-11,Health Region,Urgent Care,0
2020-07-20,8301,0,4,33,367,Northwest Region,2020-06-27,Health Region,Emergency Department,120
2020-07-20,6518,0,6,43,385,Southwest Region,2020-04-25,Health Region,Emergency Department,167
2020-07-20,9647,0,9,25,864,Eastern Region,2020-04-11,Health Region,Emergency Department,218
2020-07-20,0,3003,3,0,93,Central Region,2020-04-04,Health Region,Urgent Care,0
2020-07-20,0,5829,14,0,808,Eastern Region,2020-05-09,Health Region,Urgent Care,0
2020-07-20,8844,0,6,14,526,Northern Region,2020-06-27,Health Region,Emergency Department,74
2020-07-20,0,1415,7,0,105,Northwest Region,2020-04-18,Health Region,Urgent Care,0
2020-07-20,9961,0,6,27,583,Southwest Region,2020-07-11,Health Region,Emergency Department,160
2020-07-20,13425,0,4,40,482,Eastern Region,2020-06-13,Health Region,Emergency Department,193
2020-07-20,7872,0,4,45,321,Southwest Region,2020-05-23,Health Region,Emergency Department,144
2020-07-20,8812,0,5,31,470,Northwest Region,2020-07-11,Health Region,Emergency Department,146
2020-07-20,0,4505,23,0,1035,Central Region,2020-05-09,Health Region,Urgent Care,0
2020-07-20,9056,0,9,21,849,Southwest Region,2020-03-21,Health Region,Emergency Department,181
2020-07-20,7253,0,5,45,392,Southwest Region,2020-05-09,Health Region,Emergency Department,178
2020-07-20,9461,0,5,33,477,Southwest Region,2020-06-27,Health Region,Emergency Department,158
2020-07-20,0,7414,5,0,398,Central Region,2020-03-07,Health Region,Urgent Care,0
2020-07-20,0,2986,13,0,380,Northern Region,2020-04-11,Health Region,Urgent Care,0
2020-07-20,0,1694,2,0,37,Southwest Region,2020-06-13,Health Region,Urgent Care,0
2020-07-20,12296,0,4,35,526,Eastern Region,2020-05-30,Health Region,Emergency Department,185
2020-07-20,15695,0,5,29,709,Central Region,2020-03-07,Health Region,Emergency Department,206
2020-07-20,11247,0,5,24,595,Northwest Region,2020-03-07,Health Region,Emergency Department,145
2020-07-20,10003,0,8,41,816,Central Region,2020-05-23,Health Region,Emergency Department,337
2020-07-20,8480,0,7,14,608,Northern Region,2020-06-13,Health Region,Emergency Department,86
2020-07-20,0,4706,7,0,329,Central Region,2020-03-21,Health Region,Urgent Care,0
2020-07-20,6592,0,17,9,1118,Northern Region,2020-04-11,Health Region,Emergency Department,101
2020-07-20,0,6400,35,0,2262,Northern Region,2020-06-27,Health Region,Urgent Care,0
2020-07-20,12115,0,11,20,1301,Eastern Region,2020-03-28,Health Region,Emergency Department,259
2020-07-20,0,8081,8,0,660,Eastern Region,2020-03-21,Health Region,Urgent Care,0
2020-07-20,6781,0,9,26,617,Northwest Region,2020-05-09,Health Region,Emergency Department,160
2020-07-20,0,2496,13,0,324,Northwest Region,2020-06-20,Health Region,Urgent Care,0
2020-07-20,11799,0,5,28,643,Southwest Region,2020-03-07,Health Region,Emergency Department,180
2020-07-20,0,5535,31,0,1717,Central Region,2020-05-23,Health Region,Urgent Care,0
2020-07-20,12502,0,11,16,1353,Central Region,2020-03-21,Health Region,Emergency Department,217
2020-07-20,0,6009,31,0,1889,Central Region,2020-06-06,Health Region,Urgent Care,0
2020-07-20,0,10348,26,0,2680,Eastern Region,2020-07-11,Health Region,Urgent Care,0
2020-07-20,9091,0,8,48,734,Central Region,2020-05-09,Health Region,Emergency Department,354
2020-07-20,0,6612,18,0,1176,Eastern Region,2020-05-23,Health Region,Urgent Care,0
2020-07-20,11304,0,5,36,566,Eastern Region,2020-05-16,Health Region,Emergency Department,203
2020-07-20,0,3120,17,0,528,Northern Region,2020-04-25,Health Region,Urgent Care,0
2020-07-20,0,6316,35,0,2183,Northern Region,2020-06-13,Health Region,Urgent Care,0
2020-07-20,0,2939,18,0,516,Northwest Region,2020-07-18,Health Region,Urgent Care,0
2020-07-20,0,852,7,0,60,Southwest Region,2020-04-11,Health Region,Urgent Care,0
2020-07-20,7967,0,14,8,1129,Northern Region,2020-03-28,Health Region,Emergency Department,94
2020-07-20,0,2085,5,0,111,Southwest Region,2020-06-27,Health Region,Urgent Care,0
2020-07-20,0,2707,13,0,364,Northwest Region,2020-07-04,Health Region,Urgent Care,0
2020-07-20,12344,0,7,30,848,Central Region,2020-07-11,Health Region,Emergency Department,256
2020-07-20,18860,0,7,18,1356,Eastern Region,2020-03-14,Health Region,Emergency Department,238
2020-07-20,0,782,5,0,36,Southwest Region,2020-04-25,Health Region,Urgent Care,0
2020-07-20,0,5864,40,0,2374,Northern Region,2020-05-30,Health Region,Urgent Care,0
2020-07-20,7997,0,7,38,555,Central Region,2020-04-25,Health Region,Emergency Department,211
2020-07-20,0,8753,7,0,629,Northern Region,2020-03-14,Health Region,Urgent Care,0
2020-07-20,0,2473,15,0,367,Northwest Region,2020-06-13,Health Region,Urgent Care,0
2020-07-20,8396,0,12,11,999,Northern Region,2020-05-30,Health Region,Emergency Department,108
2020-07-20,0,2499,6,0,147,Southwest Region,2020-07-11,Health Region,Urgent Care,0
2020-07-20,10298,0,8,39,840,Central Region,2020-05-30,Health Region,Emergency Department,330
2020-07-20,7802,0,10,39,779,Central Region,2020-04-11,Health Region,Emergency Department,307
2020-07-20,0,6131,29,0,1760,Central Region,2020-06-27,Health Region,Urgent Care,0
2020-07-20,0,7462,15,0,1090,Eastern Region,2020-06-13,Health Region,Urgent Care,0
2020-07-20,9786,0,11,24,1063,Central Region,2020-03-28,Health Region,Emergency Department,253
2020-07-20,0,3692,20,0,736,Central Region,2020-04-25,Health Region,Urgent Care,0
2020-07-20,0,6315,28,0,1793,Central Region,2020-06-13,Health Region,Urgent Care,0
2020-07-20,0,4660,4,0,170,Eastern Region,2020-04-11,Health Region,Urgent Care,0
2020-07-20,7355,0,10,25,706,Southwest Region,2020-03-28,Health Region,Emergency Department,177
2020-07-20,11146,0,6,38,680,Central Region,2020-06-13,Health Region,Emergency Department,259
2020-07-20,0,3805,8,0,299,Northwest Region,2020-03-14,Health Region,Urgent Care,0
2020-07-20,0,2892,3,0,100,Central Region,2020-04-11,Health Region,Urgent Care,0
2020-07-20,9488,0,7,32,694,Eastern Region,2020-04-18,Health Region,Emergency Department,222
2020-07-20,9027,0,6,11,554,Northern Region,2020-07-04,Health Region,Emergency Department,59
2020-07-20,0,4938,6,0,304,Eastern Region,2020-04-25,Health Region,Urgent Care,0
2020-07-20,9111,0,4,43,322,Southwest Region,2020-06-13,Health Region,Emergency Department,139
2020-07-20,9071,0,6,13,579,Northern Region,2020-07-18,Health Region,Emergency Department,74
2020-07-20,0,1013,3,0,27,Southwest Region,2020-05-23,Health Region,Urgent Care,0
2020-07-20,0,7760,20,0,1531,Eastern Region,2020-06-27,Health Region,Urgent Care,0
2020-07-20,7024,0,11,20,756,Northwest Region,2020-03-28,Health Region,Emergency Department,150
2020-07-20,6025,0,10,28,600,Northwest Region,2020-04-11,Health Region,Emergency Department,168
2020-07-20,7778,0,7,27,531,Northwest Region,2020-05-30,Health Region,Emergency Department,144
2020-07-20,0,3692,9,0,316,Northern Region,2020-03-28,Health Region,Urgent Care,0
2020-07-20,0,4467,36,0,1619,Northern Region,2020-05-16,Health Region,Urgent Care,0
2020-07-20,14860,0,7,23,1009,Eastern Region,2020-07-04,Health Region,Emergency Department,232
2020-07-20,6244,0,7,35,460,Southwest Region,2020-04-11,Health Region,Emergency Department,160
2020-07-20,8593,0,4,40,314,Southwest Region,2020-05-30,Health Region,Emergency Department,126
2020-07-20,8111,0,16,10,1309,Northern Region,2020-05-16,Health Region,Emergency Department,137
2020-07-20,0,1744,11,0,200,Southwest Region,2020-03-21,Health Region,Urgent Care,0
2020-07-20,0,956,5,0,47,Southwest Region,2020-05-09,Health Region,Urgent Care,0
2020-07-20,10367,0,7,30,690,Eastern Region,2020-05-02,Health Region,Emergency Department,205
2020-07-20,0,1480,7,0,98,Northwest Region,2020-04-11,Health Region,Urgent Care,0
2020-07-20,0,2174,17,0,380,Northwest Region,2020-05-30,Health Region,Urgent Care,0
2020-07-20,0,1911,17,0,333,Northwest Region,2020-05-16,Health Region,Urgent Care,0
2020-07-20,8128,0,5,31,379,Northwest Region,2020-06-13,Health Region,Emergency Department,118
2020-07-20,11667,0,6,37,712,Central Region,2020-06-27,Health Region,Emergency Department,262
2020-07-20,7923,0,19,10,1493,Northern Region,2020-05-02,Health Region,Emergency Department,147
2020-07-20,0,7463,34,0,2553,Northern Region,2020-07-18,Health Region,Urgent Care,0
2020-07-20,0,1745,9,0,161,Northwest Region,2020-03-28,Health Region,Urgent Care,0
2020-07-20,0,2596,8,0,212,Southwest Region,2020-03-07,Health Region,Urgent Care,0
2020-07-20,13531,0,4,35,525,Eastern Region,2020-06-20,Health Region,Emergency Department,183
2020-07-20,12640,0,9,6,1165,Northern Region,2020-03-14,Health Region,Emergency Department,69
2020-07-20,14983,0,11,15,1692,Eastern Region,2020-03-21,Health Region,Emergency Department,248
2020-07-20,6984,0,9,27,604,Northwest Region,2020-05-16,Health Region,Emergency Department,166
2020-07-20,0,949,8,0,77,Southwest Region,2020-04-04,Health Region,Urgent Care,0
2020-07-20,0,7210,6,0,417,Central Region,2020-03-14,Health Region,Urgent Care,0
2020-07-20,6819,0,15,9,1004,Northern Region,2020-04-04,Health Region,Emergency Department,95
2020-07-20,0,6192,36,0,2203,Northern Region,2020-06-20,Health Region,Urgent Care,0
2020-07-20,15865,0,6,20,978,Central Region,2020-03-14,Health Region,Emergency Department,192
2020-07-20,0,5755,32,0,1838,Central Region,2020-05-30,Health Region,Urgent Care,0
2020-07-20,0,5652,7,0,384,Eastern Region,2020-03-28,Health Region,Urgent Care,0
2020-07-20,12698,0,4,41,518,Eastern Region,2020-06-06,Health Region,Emergency Department,211
2020-07-20,9512,0,6,28,527,Southwest Region,2020-07-18,Health Region,Emergency Department,149
2020-07-20,11705,0,5,36,598,Eastern Region,2020-05-23,Health Region,Emergency Department,216
2020-07-20,0,4999,29,0,1466,Central Region,2020-05-16,Health Region,Urgent Care,0
2020-07-20,0,3831,7,0,262,Northwest Region,2020-03-07,Health Region,Urgent Care,0
2020-07-20,12004,0,7,27,788,Central Region,2020-07-18,Health Region,Emergency Department,210
2020-07-20,6898,0,9,22,633,Northwest Region,2020-05-02,Health Region,Emergency Department,137
2020-07-20,0,1728,14,0,250,Northwest Region,2020-05-09,Health Region,Urgent Care,0
2020-07-20,0,811,6,0,47,Southwest Region,2020-04-18,Health Region,Urgent Care,0
2020-07-20,11146,0,7,18,774,Northwest Region,2020-03-14,Health Region,Emergency Department,139
2020-07-20,0,2464,14,0,349,Northwest Region,2020-06-27,Health Region,Urgent Care,0
2020-07-20,8448,0,8,35,647,Central Region,2020-05-02,Health Region,Emergency Department,225
2020-07-20,0,2860,12,0,355,Northern Region,2020-04-18,Health Region,Urgent Care,0
2020-07-20,0,1330,2,0,30,Southwest Region,2020-06-06,Health Region,Urgent Care,0
2020-07-20,0,883,4,0,33,Southwest Region,2020-05-02,Health Region,Urgent Care,0
2020-07-20,0,1890,2,0,35,Southwest Region,2020-06-20,Health Region,Urgent Care,0
2020-07-20,9337,0,7,43,698,Central Region,2020-05-16,Health Region,Emergency Department,299
2020-07-20,11490,0,6,36,706,Central Region,2020-07-04,Health Region,Emergency Department,252
2020-07-20,0,7116,18,0,1249,Eastern Region,2020-05-30,Health Region,Urgent Care,0
2020-07-20,0,9983,24,0,2406,Eastern Region,2020-07-18,Health Region,Urgent Care,0
2020-07-20,6171,0,10,26,599,Northwest Region,2020-04-18,Health Region,Emergency Department,155
2020-07-20,8337,0,5,34,415,Northwest Region,2020-07-04,Health Region,Emergency Department,140
2020-07-20,0,2937,15,0,428,Northwest Region,2020-07-11,Health Region,Urgent Care,0
2020-07-20,0,6213,14,0,894,Eastern Region,2020-05-16,Health Region,Urgent Care,0
2020-07-20,0,3560,23,0,828,Northern Region,2020-05-02,Health Region,Urgent Care,0
2020-07-20,0,6731,27,0,1815,Central Region,2020-07-18,Health Region,Urgent Care,0
2020-07-20,0,1949,4,0,80,Southwest Region,2020-07-04,Health Region,Urgent Care,0
2020-07-20,10156,0,11,22,1130,Eastern Region,2020-04-04,Health Region,Emergency Department,254
2020-07-20,0,1446,7,0,105,Northwest Region,2020-04-25,Health Region,Urgent Care,0
2020-07-20,0,3394,5,0,154,Central Region,2020-03-28,Health Region,Urgent Care,0
2020-07-20,0,12420,8,0,983,Eastern Region,2020-03-14,Health Region,Urgent Care,0
2020-07-20,6628,0,17,11,1110,Northern Region,2020-04-18,Health Region,Emergency Department,121
2020-07-20,0,6924,33,0,2269,Northern Region,2020-07-04,Health Region,Urgent Care,0
2020-07-20,8788,0,6,31,490,Northwest Region,2020-07-18,Health Region,Emergency Department,152
2020-07-20,8269,0,9,11,765,Northern Region,2020-06-06,Health Region,Emergency Department,82
2020-07-20,11678,0,6,23,722,Southwest Region,2020-03-14,Health Region,Emergency Department,166
2020-07-20,7033,0,5,42,351,Southwest Region,2020-05-02,Health Region,Emergency Department,147
2020-07-20,9317,0,5,29,480,Southwest Region,2020-07-04,Health Region,Emergency Department,140
2020-07-20,8279,0,6,13,526,Northern Region,2020-06-20,Health Region,Emergency Department,67
2020-07-20,7466,0,4,44,320,Southwest Region,2020-05-16,Health Region,Emergency Department,140
2020-07-20,0,2080,18,0,374,Northwest Region,2020-05-23,Health Region,Urgent Care,0
2020-07-20,0,6474,30,0,1959,Central Region,2020-06-20,Health Region,Urgent Care,0
2020-07-20,0,4585,3,0,138,Eastern Region,2020-04-18,Health Region,Urgent Care,0
2020-07-20,9148,0,7,11,613,Northern Region,2020-07-11,Health Region,Emergency Department,67
2020-07-20,14183,0,4,37,609,Eastern Region,2020-06-27,Health Region,Emergency Department,225
2020-07-20,8312,0,10,32,848,Central Region,2020-04-04,Health Region,Emergency Department,268
2020-07-20,0,9062,22,0,1967,Eastern Region,2020-07-04,Health Region,Urgent Care,0
2020-07-20,6226,0,11,24,659,Northwest Region,2020-04-04,Health Region,Emergency Department,161
2020-07-20,0,967,5,0,44,Southwest Region,2020-05-16,Health Region,Urgent Care,0
2020-07-20,0,7538,17,0,1248,Eastern Region,2020-06-20,Health Region,Urgent Care,0
2020-07-20,8683,0,11,16,991,Northwest Region,2020-03-21,Health Region,Emergency Department,162
2020-07-20,8476,0,4,39,358,Southwest Region,2020-06-06,Health Region,Emergency Department,141
2020-07-20,10395,0,7,39,750,Central Region,2020-06-06,Health Region,Emergency Department,296
2020-07-20,0,3995,28,0,1102,Northern Region,2020-05-09,Health Region,Urgent Care,0
2020-07-20,10264,0,7,33,735,Eastern Region,2020-04-25,Health Region,Emergency Department,240
2020-07-20,0,2231,14,0,308,Northwest Region,2020-06-06,Health Region,Urgent Care,0
2020-07-20,8163,0,19,12,1562,Northern Region,2020-05-09,Health Region,Emergency Department,192
2020-07-20,10860,0,6,40,665,Central Region,2020-06-20,Health Region,Emergency Department,267
2020-07-20,0,3044,10,0,300,Northern Region,2020-04-04,Health Region,Urgent Care,0
2020-07-20,8033,0,5,27,364,Northwest Region,2020-06-20,Health Region,Emergency Department,98
2020-07-20,0,2509,7,0,187,Northwest Region,2020-03-21,Health Region,Urgent Care,0
2020-07-20,12714,0,5,10,690,Northern Region,2020-03-07,Health Region,Emergency Department,71
2020-07-20,0,5376,40,0,2124,Northern Region,2020-05-23,Health Region,Urgent Care,0
2020-07-20,6178,0,9,28,541,Southwest Region,2020-04-04,Health Region,Emergency Department,151
2020-07-20,10265,0,14,5,1412,Northern Region,2020-03-21,Health Region,Emergency Department,67
2020-07-20,0,2342,10,0,241,Southwest Region,2020-03-14,Health Region,Urgent Care,0
2020-07-20,18688,0,6,22,1058,Eastern Region,2020-03-07,Health Region,Emergency Department,233
2020-07-20,0,5987,37,0,2202,Northern Region,2020-06-06,Health Region,Urgent Care,0
2020-07-20,0,1585,8,0,133,Northwest Region,2020-04-04,Health Region,Urgent Care,0
2020-07-20,7704,0,6,31,461,Northwest Region,2020-06-06,Health Region,Emergency Department,142
2020-07-20,0,3981,19,0,749,Central Region,2020-05-02,Health Region,Urgent Care,0
2020-07-20,0,7128,16,0,1144,Eastern Region,2020-06-06,Health Region,Urgent Care,0
2020-07-20,8135,0,16,12,1296,Northern Region,2020-05-23,Health Region,Emergency Department,153
2020-07-20,11035,0,5,35,606,Eastern Region,2020-05-09,Health Region,Emergency Department,215
2020-07-20,7523,0,9,25,656,Northwest Region,2020-05-23,Health Region,Emergency Department,162
2020-07-20,0,1108,12,0,136,Southwest Region,2020-03-28,Health Region,Urgent Care,0
2020-07-20,6237,0,6,40,392,Southwest Region,2020-04-18,Health Region,Emergency Department,156
2020-07-20,0,6380,26,0,1630,Central Region,2020-07-04,Health Region,Urgent Care,0
2020-07-20,16559,0,8,19,1391,Eastern Region,2020-07-11,Health Region,Emergency Department,258
2020-07-20,7859,0,8,40,636,Central Region,2020-04-18,Health Region,Emergency Department,253
2020-07-20,0,5199,8,0,393,Northern Region,2020-03-21,Health Region,Urgent Care,0
2020-07-20,0,9520,7,0,656,Northern Region,2020-03-07,Health Region,Urgent Care,0
2020-07-20,0,5347,10,0,543,Eastern Region,2020-05-02,Health Region,Urgent Care,0
2020-07-20,0,2658,6,0,169,Southwest Region,2020-07-18,Health Region,Urgent Care,0
2020-07-20,0,2984,8,0,245,Central Region,2020-04-18,Health Region,Urgent Care,0
2020-07-20,0,1140,3,0,30,Southwest Region,2020-05-30,Health Region,Urgent Care,0
2020-07-20,8783,0,4,35,382,Southwest Region,2020-06-20,Health Region,Emergency Department,133
