"Report Date","Week End Date","Geography Type","Geography Name","Facility Type","Count of CLI Visits","Count of ED Visits","Count of UC Visits","Percent of CLI Visits","Count of CLI Hospitalizations","Percent of  CLI Hospitalizations"
07/27/2020,07/18/2020,"Health Region","Eastern Region","Emergency Department",1736,16980,0,10,322,19
07/27/2020,07/11/2020,"Health Region","Central Region","Urgent Care",1875,0,6781,28,0,0
07/27/2020,07/25/2020,"Health Region","Eastern Region","Urgent Care",1480,0,8747,17,0,0
07/27/2020,04/25/2020,"Health Region","Northwest Region","Emergency Department",565,6586,0,9,151,27
07/27/2020,05/02/2020,"Health Region","Northwest Region","Urgent Care",211,0,1636,13,0,0
07/27/2020,04/25/2020,"Health Region","Northern Region","Emergency Department",1386,7198,0,19,109,8
07/27/2020,03/07/2020,"Health Region","Eastern Region","Urgent Care",980,0,12703,8,0,0
07/27/2020,07/11/2020,"Health Region","Northern Region","Urgent Care",2299,0,7177,32,0,0
07/27/2020,06/27/2020,"Health Region","Northwest Region","Emergency Department",367,8302,0,4,120,33
07/27/2020,04/25/2020,"Health Region","Southwest Region","Emergency Department",385,6518,0,6,167,43
07/27/2020,04/11/2020,"Health Region","Eastern Region","Emergency Department",864,9647,0,9,218,25
07/27/2020,04/04/2020,"Health Region","Central Region","Urgent Care",93,0,3003,3,0,0
07/27/2020,05/09/2020,"Health Region","Eastern Region","Urgent Care",808,0,5829,14,0,0
07/27/2020,06/27/2020,"Health Region","Northern Region","Emergency Department",526,8846,0,6,74,14
07/27/2020,04/18/2020,"Health Region","Northwest Region","Urgent Care",105,0,1415,7,0,0
07/27/2020,07/11/2020,"Health Region","Southwest Region","Emergency Department",588,9964,0,6,162,28
07/27/2020,06/13/2020,"Health Region","Eastern Region","Emergency Department",484,13427,0,4,195,40
07/27/2020,05/23/2020,"Health Region","Southwest Region","Emergency Department",321,7872,0,4,144,45
07/27/2020,07/11/2020,"Health Region","Northwest Region","Emergency Department",474,8813,0,5,148,31
07/27/2020,05/09/2020,"Health Region","Central Region","Urgent Care",1035,0,4505,23,0,0
07/27/2020,03/21/2020,"Health Region","Southwest Region","Emergency Department",849,9056,0,9,181,21
07/27/2020,05/09/2020,"Health Region","Southwest Region","Emergency Department",392,7253,0,5,178,45
07/27/2020,06/27/2020,"Health Region","Southwest Region","Emergency Department",477,9461,0,5,158,33
07/27/2020,03/07/2020,"Health Region","Central Region","Urgent Care",398,0,7414,5,0,0
07/27/2020,04/11/2020,"Health Region","Northern Region","Urgent Care",379,0,2985,13,0,0
07/27/2020,06/13/2020,"Health Region","Southwest Region","Urgent Care",37,0,1694,2,0,0
07/27/2020,07/25/2020,"Health Region","Southwest Region","Emergency Department",520,9305,0,6,126,24
07/27/2020,05/30/2020,"Health Region","Eastern Region","Emergency Department",526,12295,0,4,185,35
07/27/2020,03/07/2020,"Health Region","Central Region","Emergency Department",709,15695,0,5,206,29
07/27/2020,03/07/2020,"Health Region","Northwest Region","Emergency Department",595,11247,0,5,145,24
07/27/2020,05/23/2020,"Health Region","Central Region","Emergency Department",816,10003,0,8,337,41
07/27/2020,06/13/2020,"Health Region","Northern Region","Emergency Department",608,8479,0,7,86,14
07/27/2020,03/21/2020,"Health Region","Central Region","Urgent Care",329,0,4706,7,0,0
07/27/2020,04/11/2020,"Health Region","Northern Region","Emergency Department",1118,6592,0,17,101,9
07/27/2020,06/27/2020,"Health Region","Northern Region","Urgent Care",2262,0,6400,35,0,0
07/27/2020,03/28/2020,"Health Region","Eastern Region","Emergency Department",1301,12114,0,11,259,20
07/27/2020,03/21/2020,"Health Region","Eastern Region","Urgent Care",660,0,8081,8,0,0
07/27/2020,05/09/2020,"Health Region","Northwest Region","Emergency Department",617,6781,0,9,160,26
07/27/2020,06/20/2020,"Health Region","Northwest Region","Urgent Care",324,0,2496,13,0,0
07/27/2020,03/07/2020,"Health Region","Southwest Region","Emergency Department",643,11799,0,5,180,28
07/27/2020,05/23/2020,"Health Region","Central Region","Urgent Care",1717,0,5535,31,0,0
07/27/2020,07/25/2020,"Health Region","Central Region","Emergency Department",818,11824,0,7,226,28
07/27/2020,03/21/2020,"Health Region","Central Region","Emergency Department",1353,12502,0,11,217,16
07/27/2020,06/06/2020,"Health Region","Central Region","Urgent Care",1889,0,6009,31,0,0
07/27/2020,07/11/2020,"Health Region","Eastern Region","Urgent Care",2680,0,10348,26,0,0
07/27/2020,05/09/2020,"Health Region","Central Region","Emergency Department",734,9091,0,8,354,48
07/27/2020,07/25/2020,"Health Region","Central Region","Urgent Care",1114,0,5977,19,0,0
07/27/2020,05/23/2020,"Health Region","Eastern Region","Urgent Care",1176,0,6612,18,0,0
07/27/2020,05/16/2020,"Health Region","Eastern Region","Emergency Department",567,11305,0,5,203,36
07/27/2020,04/25/2020,"Health Region","Northern Region","Urgent Care",529,0,3121,17,0,0
07/27/2020,06/13/2020,"Health Region","Northern Region","Urgent Care",2183,0,6316,35,0,0
07/27/2020,07/18/2020,"Health Region","Northwest Region","Urgent Care",516,0,2939,18,0,0
