Report Date,Week End Date,Geography Type,Geography Name,Facility Type,Count of CLI Visits,Count of ED Visits,Count of UC Visits,Percent of CLI Visits,Count of CLI Hospitalizations,Percent of  CLI Hospitalizations
2021-02-08,2020-09-19,Health Region,Northwest Region,Urgent Care,300,0,2732,11,0,0
2021-02-08,2020-09-12,Health Region,Northwest Region,Emergency Department,433,8787,0,5,126,29
2021-02-08,2020-07-18,Health Region,Eastern Region,Emergency Department,1742,17004,0,10,328,19
2021-02-08,2020-12-12,Health Region,Eastern Region,Urgent Care,4741,0,11355,42,0,0
2021-02-08,2021-01-30,Health Region,Southwest Region,Emergency Department,1578,9612,0,16,437,28
2021-02-08,2020-12-19,Health Region,Southwest Region,Urgent Care,201,0,1458,14,0,0
2021-02-08,2020-07-11,Health Region,Central Region,Urgent Care,1875,0,6781,28,0,0
2021-02-08,2020-05-02,Health Region,Northwest Region,Urgent Care,215,0,1641,13,0,0
2021-02-08,2020-04-25,Health Region,Northwest Region,Emergency Department,565,6586,0,9,151,27
2021-02-08,2020-07-25,Health Region,Eastern Region,Urgent Care,1480,0,8747,17,0,0
2021-02-08,2020-12-19,Health Region,Northern Region,Emergency Department,1353,9434,0,14,136,10
2021-02-08,2020-04-25,Health Region,Northern Region,Emergency Department,1387,7208,0,19,109,8
2021-02-08,2021-01-30,Health Region,Northwest Region,Emergency Department,1136,8632,0,13,262,23
2021-02-08,2020-03-07,Health Region,Eastern Region,Urgent Care,980,0,12703,8,0,0
2021-02-08,2020-07-11,Health Region,Northern Region,Urgent Care,2301,0,7178,32,0,0
2021-02-08,2020-10-17,Health Region,Northern Region,Urgent Care,2181,0,7500,29,0,0
2021-02-08,2020-06-27,Health Region,Northwest Region,Emergency Department,367,8302,0,4,120,33
2021-02-08,2020-09-26,Health Region,Eastern Region,Urgent Care,1369,0,8953,15,0,0
2021-02-08,2020-11-14,Health Region,Southwest Region,Emergency Department,1091,9738,0,11,307,28
2021-02-08,2021-01-02,Health Region,Northern Region,Urgent Care,5742,0,11159,51,0,0
2021-02-08,2021-01-30,Health Region,Central Region,Emergency Department,1952,11415,0,17,550,28
2021-02-08,2020-04-25,Health Region,Southwest Region,Emergency Department,385,6516,0,6,167,43
2021-02-08,2020-10-17,Health Region,Northern Region,Emergency Department,622,9436,0,7,80,13
2021-02-08,2020-04-11,Health Region,Eastern Region,Emergency Department,865,9650,0,9,218,25
2021-02-08,2020-09-12,Health Region,Central Region,Emergency Department,912,12305,0,7,246,27
2021-02-08,2020-11-28,Health Region,Central Region,Urgent Care,2017,0,6396,32,0,0
2021-02-08,2020-12-05,Health Region,Eastern Region,Emergency Department,1362,15122,0,9,258,19
2021-02-08,2020-09-12,Health Region,Southwest Region,Emergency Department,617,9665,0,6,170,28
2021-02-08,2020-05-09,Health Region,Eastern Region,Urgent Care,808,0,5829,14,0,0
2021-02-08,2020-04-04,Health Region,Central Region,Urgent Care,93,0,3003,3,0,0
2021-02-08,2020-08-15,Health Region,Northern Region,Urgent Care,1404,0,6333,22,0,0
2021-02-08,2020-10-17,Health Region,Southwest Region,Urgent Care,143,0,1550,9,0,0
2021-02-08,2020-04-18,Health Region,Northwest Region,Urgent Care,105,0,1415,7,0,0
2021-02-08,2020-06-27,Health Region,Northern Region,Emergency Department,526,8854,0,6,74,14
2021-02-08,2020-09-12,Health Region,Northern Region,Urgent Care,1811,0,7121,25,0,0
