Report Date,Week End Date,Geography Type,Geography Name,Facility Type,Count of CLI Visits,Count of ED Visits,Count of UC Visits,Percent of CLI Visits,Count of CLI Hospitalizations,Percent of  CLI Hospitalizations
2020-08-03,2020-07-18,Health Region,Eastern Region,Emergency Department,1739,16986,0,10,325,19
2020-08-03,2020-07-11,Health Region,Central Region,Urgent Care,1875,0,6781,28,0,0
2020-08-03,2020-07-25,Health Region,Eastern Region,Urgent Care,1480,0,8747,17,0,0
2020-08-03,2020-04-25,Health Region,Northwest Region,Emergency Department,565,6586,0,9,151,27
2020-08-03,2020-05-02,Health Region,Northwest Region,Urgent Care,211,0,1636,13,0,0
2020-08-03,2020-04-25,Health Region,Northern Region,Emergency Department,1386,7198,0,19,109,8
2020-08-03,2020-03-07,Health Region,Eastern Region,Urgent Care,980,0,12703,8,0,0
2020-08-03,2020-07-11,Health Region,Northern Region,Urgent Care,2299,0,7177,32,0,0
2020-08-03,2020-06-27,Health Region,Northwest Region,Emergency Department,367,8301,0,4,120,33
2020-08-03,2020-04-25,Health Region,Southwest Region,Emergency Department,385,6518,0,6,167,43
2020-08-03,2020-04-11,Health Region,Eastern Region,Emergency Department,864,9647,0,9,218,25
2020-08-03,2020-04-04,Health Region,Central Region,Urgent Care,93,0,3003,3,0,0
2020-08-03,2020-05-09,Health Region,Eastern Region,Urgent Care,808,0,5829,14,0,0
2020-08-03,2020-06-27,Health Region,Northern Region,Emergency Department,526,8847,0,6,74,14
2020-08-03,2020-04-18,Health Region,Northwest Region,Urgent Care,105,0,1415,7,0,0
2020-08-03,2020-07-11,Health Region,Southwest Region,Emergency Department,594,9969,0,6,165,28
2020-08-03,2020-06-13,Health Region,Eastern Region,Emergency Department,484,13427,0,4,195,40
2020-08-03,2020-08-01,Health Region,Eastern Region,Emergency Department,1674,15673,0,11,318,19
2020-08-03,2020-05-23,Health Region,Southwest Region,Emergency Department,321,7872,0,4,144,45
2020-08-03,2020-07-11,Health Region,Northwest Region,Emergency Department,474,8815,0,5,148,31
2020-08-03,2020-05-09,Health Region,Central Region,Urgent Care,1035,0,4505,23,0,0
2020-08-03,2020-03-21,Health Region,Southwest Region,Emergency Department,849,9056,0,9,181,21
2020-08-03,2020-05-09,Health Region,Southwest Region,Emergency Department,392,7253,0,5,178,45
2020-08-03,2020-06-27,Health Region,Southwest Region,Emergency Department,477,9461,0,5,158,33
2020-08-03,2020-03-07,Health Region,Central Region,Urgent Care,398,0,7414,5,0,0
2020-08-03,2020-04-11,Health Region,Northern Region,Urgent Care,379,0,2985,13,0,0
2020-08-03,2020-06-13,Health Region,Southwest Region,Urgent Care,37,0,1694,2,0,0
2020-08-03,2020-07-25,Health Region,Southwest Region,Emergency Department,581,9368,0,6,136,23
2020-08-03,2020-05-30,Health Region,Eastern Region,Emergency Department,526,12296,0,4,185,35
2020-08-03,2020-03-07,Health Region,Central Region,Emergency Department,709,15695,0,5,206,29
2020-08-03,2020-03-07,Health Region,Northwest Region,Emergency Department,595,11247,0,5,145,24
2020-08-03,2020-05-23,Health Region,Central Region,Emergency Department,816,10003,0,8,337,41
2020-08-03,2020-06-13,Health Region,Northern Region,Emergency Department,608,8481,0,7,86,14
2020-08-03,2020-03-21,Health Region,Central Region,Urgent Care,329,0,4706,7,0,0
2020-08-03,2020-04-11,Health Region,Northern Region,Emergency Department,1118,6592,0,17,101,9
2020-08-03,2020-06-27,Health Region,Northern Region,Urgent Care,2262,0,6400,35,0,0
2020-08-03,2020-03-28,Health Region,Eastern Region,Emergency Department,1301,12114,0,11,259,20
2020-08-03,2020-03-21,Health Region,Eastern Region,Urgent Care,660,0,8081,8,0,0
2020-08-03,2020-05-09,Health Region,Northwest Region,Emergency Department,617,6781,0,9,160,26
2020-08-03,2020-06-20,Health Region,Northwest Region,Urgent Care,324,0,2496,13,0,0
2020-08-03,2020-03-07,Health Region,Southwest Region,Emergency Department,643,11799,0,5,180,28
2020-08-03,2020-05-23,Health Region,Central Region,Urgent Care,1717,0,5535,31,0,0
2020-08-03,2020-07-25,Health Region,Central Region,Emergency Department,891,11898,0,7,263,30
2020-08-03,2020-03-21,Health Region,Central Region,Emergency Department,1353,12501,0,11,217,16
2020-08-03,2020-06-06,Health Region,Central Region,Urgent Care,1889,0,6009,31,0,0
2020-08-03,2020-07-11,Health Region,Eastern Region,Urgent Care,2680,0,10348,26,0,0
2020-08-03,2020-05-09,Health Region,Central Region,Emergency Department,733,9092,0,8,353,48
2020-08-03,2020-07-25,Health Region,Central Region,Urgent Care,1114,0,5977,19,0,0
2020-08-03,2020-05-23,Health Region,Eastern Region,Urgent Care,1176,0,6612,18,0,0
2020-08-03,2020-05-16,Health Region,Eastern Region,Emergency Department,567,11306,0,5,203,36
2020-08-03,2020-04-25,Health Region,Northern Region,Urgent Care,529,0,3121,17,0,0
2020-08-03,2020-06-13,Health Region,Northern Region,Urgent Care,2183,0,6316,35,0,0
2020-08-03,2020-07-18,Health Region,Northwest Region,Urgent Care,516,0,2940,18,0,0
2020-08-03,2020-04-11,Health Region,Southwest Region,Urgent Care,60,0,852,7,0,0
2020-08-03,2020-03-28,Health Region,Northern Region,Emergency Department,1129,7966,0,14,94,8
2020-08-03,2020-06-27,Health Region,Southwest Region,Urgent Care,111,0,2085,5,0,0
2020-08-03,2020-07-04,Health Region,Northwest Region,Urgent Care,364,0,2707,13,0,0
