Report Date,Week End Date,Geography Type,Geography Name,Facility Type,Count of CLI Visits,Count of ED Visits,Count of UC Visits,Percent of CLI Visits,Count of CLI Hospitalizations,Percent of  CLI Hospitalizations
2020-12-21,2020-07-18,Health Region,Eastern Region,Emergency Department,1742,17002,0,10,328,19
2020-12-21,2020-12-12,Health Region,Eastern Region,Urgent Care,4737,0,11348,42,0,0
2020-12-21,2020-09-19,Health Region,Northwest Region,Urgent Care,300,0,2732,11,0,0
2020-12-21,2020-09-12,Health Region,Northwest Region,Emergency Department,433,8787,0,5,126,29
2020-12-21,2020-07-11,Health Region,Central Region,Urgent Care,1875,0,6781,28,0,0
2020-12-21,2020-12-19,Health Region,Southwest Region,Urgent Care,201,0,1458,14,0,0
2020-12-21,2020-07-25,Health Region,Eastern Region,Urgent Care,1480,0,8747,17,0,0
2020-12-21,2020-04-25,Health Region,Northwest Region,Emergency Department,565,6587,0,9,151,27
2020-12-21,2020-05-02,Health Region,Northwest Region,Urgent Care,211,0,1637,13,0,0
2020-12-21,2020-12-19,Health Region,Northern Region,Emergency Department,1345,9410,0,14,135,10
2020-12-21,2020-04-25,Health Region,Northern Region,Emergency Department,1387,7205,0,19,109,8
2020-12-21,2020-03-07,Health Region,Eastern Region,Urgent Care,980,0,12703,8,0,0
2020-12-21,2020-10-17,Health Region,Northern Region,Urgent Care,2181,0,7500,29,0,0
2020-12-21,2020-07-11,Health Region,Northern Region,Urgent Care,2300,0,7177,32,0,0
2020-12-21,2020-09-26,Health Region,Eastern Region,Urgent Care,1369,0,8953,15,0,0
2020-12-21,2020-06-27,Health Region,Northwest Region,Emergency Department,367,8302,0,4,120,33
2020-12-21,2020-11-14,Health Region,Southwest Region,Emergency Department,1089,9737,0,11,306,28
2020-12-21,2020-04-25,Health Region,Southwest Region,Emergency Department,385,6516,0,6,167,43
2020-12-21,2020-10-17,Health Region,Northern Region,Emergency Department,622,9436,0,7,80,13
2020-12-21,2020-09-12,Health Region,Central Region,Emergency Department,912,12305,0,7,246,27
2020-12-21,2020-11-28,Health Region,Central Region,Urgent Care,2017,0,6396,32,0,0
2020-12-21,2020-04-11,Health Region,Eastern Region,Emergency Department,865,9649,0,9,218,25
2020-12-21,2020-04-04,Health Region,Central Region,Urgent Care,93,0,3003,3,0,0
2020-12-21,2020-12-05,Health Region,Eastern Region,Emergency Department,1360,15124,0,9,256,19
2020-12-21,2020-05-09,Health Region,Eastern Region,Urgent Care,808,0,5829,14,0,0
2020-12-21,2020-09-12,Health Region,Southwest Region,Emergency Department,617,9665,0,6,170,28
2020-12-21,2020-08-15,Health Region,Northern Region,Urgent Care,1404,0,6333,22,0,0
2020-12-21,2020-10-17,Health Region,Southwest Region,Urgent Care,143,0,1549,9,0,0
2020-12-21,2020-09-12,Health Region,Northern Region,Urgent Care,1811,0,7121,25,0,0
2020-12-21,2020-06-27,Health Region,Northern Region,Emergency Department,526,8855,0,6,74,14
2020-12-21,2020-04-18,Health Region,Northwest Region,Urgent Care,105,0,1415,7,0,0
2020-12-21,2020-08-29,Health Region,Southwest Region,Emergency Department,567,9523,0,6,160,28
2020-12-21,2020-12-12,Health Region,Central Region,Urgent Care,2559,0,7122,36,0,0
2020-12-21,2020-08-15,Health Region,Northern Region,Emergency Department,617,9200,0,7,65,11
2020-12-21,2020-07-11,Health Region,Southwest Region,Emergency Department,595,9969,0,6,166,28
2020-12-21,2020-08-01,Health Region,Eastern Region,Emergency Department,1709,15705,0,11,327,19
2020-12-21,2020-06-13,Health Region,Eastern Region,Emergency Department,484,13431,0,4,195,40
2020-12-21,2020-05-23,Health Region,Southwest Region,Emergency Department,321,7872,0,4,144,45
2020-12-21,2020-10-10,Health Region,Eastern Region,Urgent Care,2054,0,9868,21,0,0
