Report Date,Week End Date,Geography Type,Geography Name,Facility Type,Count of CLI Visits,Count of ED Visits,Count of UC Visits,Percent of CLI Visits,Count of CLI Hospitalizations,Percent of  CLI Hospitalizations
12/28/2020,12/12/2020,Health Region,Eastern Region,Urgent Care,4741,0,11355,42,0,0
12/28/2020,07/18/2020,Health Region,Eastern Region,Emergency Department,1742,17002,0,10,328,19
12/28/2020,09/19/2020,Health Region,Northwest Region,Urgent Care,300,0,2732,11,0,0
12/28/2020,09/12/2020,Health Region,Northwest Region,Emergency Department,433,8787,0,5,126,29
12/28/2020,12/19/2020,Health Region,Southwest Region,Urgent Care,201,0,1458,14,0,0
12/28/2020,07/11/2020,Health Region,Central Region,Urgent Care,1875,0,6781,28,0,0
12/28/2020,07/25/2020,Health Region,Eastern Region,Urgent Care,1480,0,8747,17,0,0
12/28/2020,05/02/2020,Health Region,Northwest Region,Urgent Care,211,0,1637,13,0,0
12/28/2020,04/25/2020,Health Region,Northwest Region,Emergency Department,565,6587,0,9,151,27
12/28/2020,12/19/2020,Health Region,Northern Region,Emergency Department,1352,9426,0,14,135,10
12/28/2020,04/25/2020,Health Region,Northern Region,Emergency Department,1387,7205,0,19,109,8
12/28/2020,03/07/2020,Health Region,Eastern Region,Urgent Care,980,0,12703,8,0,0
12/28/2020,07/11/2020,Health Region,Northern Region,Urgent Care,2301,0,7178,32,0,0
12/28/2020,10/17/2020,Health Region,Northern Region,Urgent Care,2181,0,7500,29,0,0
12/28/2020,11/14/2020,Health Region,Southwest Region,Emergency Department,1090,9737,0,11,306,28
12/28/2020,09/26/2020,Health Region,Eastern Region,Urgent Care,1369,0,8953,15,0,0
12/28/2020,06/27/2020,Health Region,Northwest Region,Emergency Department,367,8302,0,4,120,33
12/28/2020,04/25/2020,Health Region,Southwest Region,Emergency Department,385,6516,0,6,167,43
12/28/2020,10/17/2020,Health Region,Northern Region,Emergency Department,622,9436,0,7,80,13
12/28/2020,09/12/2020,Health Region,Central Region,Emergency Department,912,12305,0,7,246,27
12/28/2020,11/28/2020,Health Region,Central Region,Urgent Care,2017,0,6396,32,0,0
12/28/2020,04/11/2020,Health Region,Eastern Region,Emergency Department,865,9650,0,9,218,25
12/28/2020,09/12/2020,Health Region,Southwest Region,Emergency Department,617,9665,0,6,170,28
12/28/2020,05/09/2020,Health Region,Eastern Region,Urgent Care,808,0,5829,14,0,0
12/28/2020,04/04/2020,Health Region,Central Region,Urgent Care,93,0,3003,3,0,0
12/28/2020,12/05/2020,Health Region,Eastern Region,Emergency Department,1361,15125,0,9,257,19
12/28/2020,10/17/2020,Health Region,Southwest Region,Urgent Care,143,0,1549,9,0,0
12/28/2020,08/15/2020,Health Region,Northern Region,Urgent Care,1404,0,6333,22,0,0
12/28/2020,08/29/2020,Health Region,Southwest Region,Emergency Department,567,9523,0,6,160,28
12/28/2020,06/27/2020,Health Region,Northern Region,Emergency Department,526,8855,0,6,74,14
12/28/2020,09/12/2020,Health Region,Northern Region,Urgent Care,1811,0,7121,25,0,0
12/28/2020,04/18/2020,Health Region,Northwest Region,Urgent Care,105,0,1415,7,0,0
12/28/2020,12/12/2020,Health Region,Central Region,Urgent Care,2559,0,7122,36,0,0
12/28/2020,07/11/2020,Health Region,Southwest Region,Emergency Department,595,9969,0,6,166,28
12/28/2020,08/15/2020,Health Region,Northern Region,Emergency Department,617,9200,0,7,65,11
12/28/2020,08/01/2020,Health Region,Eastern Region,Emergency Department,1709,15705,0,11,327,19
12/28/2020,06/13/2020,Health Region,Eastern Region,Emergency Department,484,13431,0,4,195,40
12/28/2020,05/23/2020,Health Region,Southwest Region,Emergency Department,321,7872,0,4,144,45
12/28/2020,10/10/2020,Health Region,Eastern Region,Urgent Care,2054,0,9868,21,0,0
12/28/2020,11/28/2020,Health Region,Eastern Region,Urgent Care,3627,0,10119,36,0,0
12/28/2020,08/29/2020,Health Region,Northwest Region,Emergency Department,488,8799,0,6,142,29
12/28/2020,07/11/2020,Health Region,Northwest Region,Emergency Department,474,8818,0,5,149,31
12/28/2020,05/09/2020,Health Region,Central Region,Urgent Care,1035,0,4505,23,0,0
12/28/2020,11/21/2020,Health Region,Northwest Region,Urgent Care,981,0,3372,29,0,0
12/28/2020,11/14/2020,Health Region,Central Region,Emergency Department,1106,12548,0,9,325,29
12/28/2020,11/14/2020,Health Region,Northwest Region,Emergency Department,648,9475,0,7,192,30
12/28/2020,09/26/2020,Health Region,Central Region,Emergency Department,888,12074,0,7,290,33
12/28/2020,10/03/2020,Health Region,Eastern Region,Emergency Department,889,14894,0,6,266,30
12/28/2020,08/15/2020,Health Region,Eastern Region,Emergency Department,1299,14943,0,9,273,21
12/28/2020,03/21/2020,Health Region,Southwest Region,Emergency Department,849,9056,0,9,181,21
12/28/2020,05/09/2020,Health Region,Southwest Region,Emergency Department,392,7253,0,5,178,45
