"Report Date","Week End Date","Geography Type","Geography Name","VDH Health Region","Facility Type","Count of CLI Visits","Percent of CLI Visits"
08/03/2020,06/06/2020,"Health District",Chesterfield,"Central Region","Urgent Care",703,34
08/03/2020,05/09/2020,"Health District",Crater,"Central Region","Emergency Department",128,8
08/03/2020,07/25/2020,"Health District",Crater,"Central Region","Urgent Care",136,18
08/03/2020,05/30/2020,"Health District",Hampton,"Eastern Region","Emergency Department",32,4
08/03/2020,07/11/2020,"Health District",Portsmouth,"Eastern Region","Urgent Care",97,18
08/03/2020,06/06/2020,"Health District",Arlington,"Northern Region","Urgent Care",46,19
08/03/2020,05/30/2020,"Health District","Lord Fairfax","Northwest Region","Emergency Department",117,7
08/03/2020,03/21/2020,"Health District",Roanoke,"Southwest Region","Emergency Department",103,11
08/03/2020,05/23/2020,"Health District",Richmond,"Central Region","Emergency Department",153,10
08/03/2020,06/27/2020,"Health District","Eastern Shore","Eastern Region","Emergency Department",24,7
08/03/2020,06/27/2020,"Health District",Hampton,"Eastern Region","Urgent Care",234,28
08/03/2020,03/07/2020,"Health District","Western Tidewater","Eastern Region","Urgent Care",32,8
08/03/2020,05/02/2020,"Health District",Alexandria,"Northern Region","Emergency Department",112,21
08/03/2020,07/11/2020,"Health District",Alexandria,"Northern Region","Urgent Care",102,38
08/03/2020,07/18/2020,"Health District","Prince William","Northern Region","Emergency Department",148,6
08/03/2020,07/18/2020,"Health District","Central Shenandoah","Northwest Region","Urgent Care",30,8
08/03/2020,06/06/2020,"Health District",Lenowisco,"Southwest Region","Emergency Department",13,3
08/03/2020,05/09/2020,"Health District","Mount Rogers","Southwest Region","Emergency Department",36,3
08/03/2020,04/04/2020,"Health District",Pittsylvania-Danville,"Southwest Region","Emergency Department",29,6
08/03/2020,04/18/2020,"Health District",Roanoke,"Southwest Region","Urgent Care",7,5
08/03/2020,03/14/2020,"Health District",Chickahominy,"Central Region","Urgent Care",33,5
