Report Date,Week End Date,Geography Type,Geography Name,VDH Health Region,Facility Type,Count of CLI Visits,Percent of CLI Visits
2020-08-03,2020-06-06,Health District,Chesterfield,Central Region,Urgent Care,703,34
2020-08-03,2020-05-09,Health District,Crater,Central Region,Emergency Department,128,8
2020-08-03,2020-07-25,Health District,Crater,Central Region,Urgent Care,136,18
2020-08-03,2020-05-30,Health District,Hampton,Eastern Region,Emergency Department,32,4
2020-08-03,2020-07-11,Health District,Portsmouth,Eastern Region,Urgent Care,97,18
2020-08-03,2020-06-06,Health District,Arlington,Northern Region,Urgent Care,46,19
2020-08-03,2020-05-30,Health District,Lord Fairfax,Northwest Region,Emergency Department,117,7
2020-08-03,2020-03-21,Health District,Roanoke,Southwest Region,Emergency Department,103,11
2020-08-03,2020-05-23,Health District,Richmond,Central Region,Emergency Department,153,10
2020-08-03,2020-06-27,Health District,Eastern Shore,Eastern Region,Emergency Department,24,7
2020-08-03,2020-06-27,Health District,Hampton,Eastern Region,Urgent Care,234,28
2020-08-03,2020-03-07,Health District,Western Tidewater,Eastern Region,Urgent Care,32,8
2020-08-03,2020-05-02,Health District,Alexandria,Northern Region,Emergency Department,112,21
2020-08-03,2020-07-11,Health District,Alexandria,Northern Region,Urgent Care,102,38
2020-08-03,2020-07-18,Health District,Prince William,Northern Region,Emergency Department,148,6
2020-08-03,2020-07-18,Health District,Central Shenandoah,Northwest Region,Urgent Care,30,8
2020-08-03,2020-06-06,Health District,Lenowisco,Southwest Region,Emergency Department,13,3
2020-08-03,2020-05-09,Health District,Mount Rogers,Southwest Region,Emergency Department,36,3
2020-08-03,2020-04-04,Health District,Pittsylvania-Danville,Southwest Region,Emergency Department,29,6
2020-08-03,2020-04-18,Health District,Roanoke,Southwest Region,Urgent Care,7,5
2020-08-03,2020-03-14,Health District,Chickahominy,Central Region,Urgent Care,33,5
2020-08-03,2020-05-02,Health District,Henrico,Central Region,Urgent Care,228,21
2020-08-03,2020-03-21,Health District,Piedmont,Central Region,Emergency Department,77,10
2020-08-03,2020-03-21,Health District,Virginia Beach,Eastern Region,Emergency Department,297,10
2020-08-03,2020-07-25,Health District,Western Tidewater,Eastern Region,Urgent Care,37,12
2020-08-03,2020-06-06,Health District,Loudoun,Northern Region,Urgent Care,397,37
2020-08-03,2020-06-20,Health District,Central Shenandoah,Northwest Region,Emergency Department,73,3
2020-08-03,2020-03-14,Health District,New River,Southwest Region,Emergency Department,109,7
2020-08-03,2020-06-20,Health District,West Piedmont,Southwest Region,Urgent Care,3,1
2020-08-03,2020-03-07,Health District,Crater,Central Region,Urgent Care,47,6
2020-08-03,2020-05-16,Health District,Southside,Central Region,Emergency Department,42,8
2020-08-03,2020-07-11,Health District,Peninsula,Eastern Region,Emergency Department,194,7
2020-08-03,2020-05-23,Health District,Thomas Jefferson,Northwest Region,Emergency Department,42,5
2020-08-03,2020-06-27,Health District,Central Virginia,Southwest Region,Urgent Care,15,11
2020-08-03,2020-07-04,Health District,Chickahominy,Central Region,Emergency Department,47,5
2020-08-03,2020-05-09,Health District,Chesapeake,Eastern Region,Emergency Department,91,7
2020-08-03,2020-07-25,Health District,Chesapeake,Eastern Region,Emergency Department,311,17
2020-08-03,2020-04-18,Health District,Fairfax,Northern Region,Urgent Care,201,16
2020-08-03,2020-08-01,Health District,Chickahominy,Central Region,Urgent Care,64,13
2020-08-03,2020-03-21,Health District,Lord Fairfax,Northwest Region,Urgent Care,83,9
2020-08-03,2020-06-27,Health District,Cumberland Plateau,Southwest Region,Emergency Department,30,3
2020-08-03,2020-08-01,Health District,New River,Southwest Region,Emergency Department,79,6
2020-08-03,2020-06-27,Health District,New River,Southwest Region,Urgent Care,13,2
2020-08-03,2020-03-07,Health District,Southside,Central Region,Urgent Care,3,8
2020-08-03,2020-06-13,Health District,Southside,Central Region,Urgent Care,3,15
2020-08-03,2020-04-18,Health District,Eastern Shore,Eastern Region,Urgent Care,0,0
2020-08-03,2020-05-09,Health District,Peninsula,Eastern Region,Urgent Care,133,11
2020-08-03,2020-05-09,Health District,Three Rivers,Eastern Region,Emergency Department,77,8
2020-08-03,2020-07-25,Health District,Three Rivers,Eastern Region,Emergency Department,92,8
2020-08-03,2020-04-04,Health District,West Piedmont,Southwest Region,Emergency Department,48,7
2020-08-03,2020-03-14,Health District,Piedmont,Central Region,Urgent Care,11,10
2020-08-03,2020-06-20,Health District,Piedmont,Central Region,Urgent Care,29,31
2020-08-03,2020-07-18,Health District,Norfolk,Eastern Region,Urgent Care,162,22
2020-08-03,2020-06-20,Health District,Portsmouth,Eastern Region,Emergency Department,58,6
2020-08-03,2020-06-27,Health District,Fairfax,Northern Region,Emergency Department,212,5
2020-08-03,2020-04-18,Health District,Alleghany,Southwest Region,Urgent Care,30,9
2020-08-03,2020-03-21,Health District,Cumberland Plateau,Southwest Region,Urgent Care,0,0
2020-08-03,2020-06-27,Health District,Cumberland Plateau,Southwest Region,Urgent Care,0,0
2020-08-03,2020-05-09,Health District,Crater,Central Region,Urgent Care,61,13
2020-08-03,2020-03-14,Health District,Lord Fairfax,Northwest Region,Emergency Department,145,6
2020-08-03,2020-03-07,Health District,Alleghany,Southwest Region,Emergency Department,72,5
2020-08-03,2020-04-25,Health District,Cumberland Plateau,Southwest Region,Emergency Department,36,6
2020-08-03,2020-04-25,Health District,Cumberland Plateau,Southwest Region,Urgent Care,0,0
2020-08-03,2020-06-06,Health District,Roanoke,Southwest Region,Emergency Department,67,8
2020-08-03,2020-05-16,Health District,Chesterfield,Central Region,Emergency Department,181,8
2020-08-03,2020-05-23,Health District,Richmond,Central Region,Urgent Care,299,33
2020-08-03,2020-04-11,Health District,Fairfax,Northern Region,Emergency Department,516,18
2020-08-03,2020-03-07,Health District,Thomas Jefferson,Northwest Region,Emergency Department,104,6
2020-08-03,2020-05-02,Health District,Chesterfield,Central Region,Emergency Department,155,8
2020-08-03,2020-05-30,Health District,Chickahominy,Central Region,Urgent Care,131,27
2020-08-03,2020-07-25,Health District,Richmond,Central Region,Emergency Department,133,7
2020-08-03,2020-06-13,Health District,Norfolk,Eastern Region,Emergency Department,79,4
2020-08-03,2020-05-16,Health District,Western Tidewater,Eastern Region,Emergency Department,54,5
2020-08-03,2020-05-09,Health District,Western Tidewater,Eastern Region,Urgent Care,34,16
2020-08-03,2020-05-16,Health District,Rappahannock Rapidan,Northwest Region,Urgent Care,33,19
2020-08-03,2020-07-11,Health District,Mount Rogers,Southwest Region,Emergency Department,48,3
2020-08-03,2020-05-30,Health District,New River,Southwest Region,Emergency Department,46,4
2020-08-03,2020-04-04,Health District,West Piedmont,Southwest Region,Urgent Care,9,6
2020-08-03,2020-03-28,Health District,Hampton,Eastern Region,Emergency Department,79,9
2020-08-03,2020-04-11,Health District,Norfolk,Eastern Region,Emergency Department,101,7
2020-08-03,2020-07-18,Health District,Western Tidewater,Eastern Region,Emergency Department,128,8
2020-08-03,2020-03-28,Health District,Lord Fairfax,Northwest Region,Emergency Department,125,9
2020-08-03,2020-07-25,Health District,Mount Rogers,Southwest Region,Emergency Department,86,6
2020-08-03,2020-06-20,Health District,Pittsylvania-Danville,Southwest Region,Emergency Department,26,4
2020-08-03,2020-03-21,Health District,Richmond,Central Region,Urgent Care,40,5
2020-08-03,2020-05-16,Health District,Norfolk,Eastern Region,Urgent Care,61,13
2020-08-03,2020-04-18,Health District,Portsmouth,Eastern Region,Emergency Department,55,7
2020-08-03,2020-06-20,Health District,Three Rivers,Eastern Region,Urgent Care,103,19
2020-08-03,2020-07-25,Health District,Thomas Jefferson,Northwest Region,Emergency Department,69,6
2020-08-03,2020-03-14,Health District,Central Virginia,Southwest Region,Emergency Department,66,4
2020-08-03,2020-05-16,Health District,Mount Rogers,Southwest Region,Urgent Care,0,0
2020-08-03,2020-07-11,Health District,Crater,Central Region,Emergency Department,166,8
2020-08-03,2020-08-01,Health District,Southside,Central Region,Emergency Department,49,6
2020-08-03,2020-04-25,Health District,Peninsula,Eastern Region,Emergency Department,101,6
2020-08-03,2020-04-11,Health District,Central Virginia,Southwest Region,Urgent Care,3,5
2020-08-03,2020-07-18,Health District,Henrico,Central Region,Urgent Care,471,26
2020-08-03,2020-04-25,Health District,Eastern Shore,Eastern Region,Emergency Department,95,34
2020-08-03,2020-04-25,Health District,Prince William,Northern Region,Urgent Care,173,18
2020-08-03,2020-04-25,Health District,Lord Fairfax,Northwest Region,Urgent Care,37,7
2020-08-03,2020-04-04,Health District,Lenowisco,Southwest Region,Emergency Department,43,10
2020-08-03,2020-06-20,Health District,Lenowisco,Southwest Region,Urgent Care,0,0
2020-08-03,2020-05-02,Health District,Chickahominy,Central Region,Emergency Department,62,9
2020-08-03,2020-04-11,Health District,Southside,Central Region,Urgent Care,1,9
2020-08-03,2020-03-07,Health District,Chesapeake,Eastern Region,Emergency Department,128,6
2020-08-03,2020-07-11,Health District,Peninsula,Eastern Region,Urgent Care,701,30
2020-08-03,2020-05-23,Health District,Three Rivers,Eastern Region,Emergency Department,67,7
2020-08-03,2020-04-18,Health District,Virginia Beach,Eastern Region,Urgent Care,25,2
2020-08-03,2020-07-18,Health District,Alexandria,Northern Region,Emergency Department,53,9
2020-08-03,2020-06-20,Health District,Fairfax,Northern Region,Urgent Care,755,30
2020-08-03,2020-07-18,Health District,Rappahannock Rapidan,Northwest Region,Emergency Department,74,6
2020-08-03,2020-07-04,Health District,Roanoke,Southwest Region,Urgent Care,16,6
2020-08-03,2020-06-06,Health District,West Piedmont,Southwest Region,Emergency Department,43,4
2020-08-03,2020-05-02,Health District,Southside,Central Region,Emergency Department,11,2
