Report Date,Week End Date,Geography Type,Geography Name,VDH Health Region,Facility Type,Count of CLI Visits,Percent of CLI Visits
07/20/20,07/18/20,Health District,Alexandria,Northern Region,Emergency Department,52,8
07/20/20,07/18/20,Health District,Alexandria,Northern Region,Urgent Care,111,39
07/20/20,07/18/20,Health District,Alleghany,Southwest Region,Emergency Department,87,8
07/20/20,07/18/20,Health District,Alleghany,Southwest Region,Urgent Care,61,8
07/20/20,07/18/20,Health District,Arlington,Northern Region,Emergency Department,34,5
07/20/20,07/18/20,Health District,Arlington,Northern Region,Urgent Care,111,27
07/20/20,07/18/20,Health District,Central Shenandoah,Northwest Region,Emergency Department,101,5
07/20/20,07/18/20,Health District,Central Shenandoah,Northwest Region,Urgent Care,30,8
07/20/20,07/18/20,Health District,Central Virginia,Southwest Region,Emergency Department,41,3
07/20/20,07/18/20,Health District,Central Virginia,Southwest Region,Urgent Care,3,2
07/20/20,07/18/20,Health District,Chesapeake,Eastern Region,Emergency Department,277,15
07/20/20,07/18/20,Health District,Chesapeake,Eastern Region,Urgent Care,428,24
07/20/20,07/18/20,Health District,Chesterfield,Central Region,Emergency Department,209,8
07/20/20,07/18/20,Health District,Chesterfield,Central Region,Urgent Care,592,27
07/20/20,07/18/20,Health District,Chickahominy,Central Region,Emergency Department,51,5
07/20/20,07/18/20,Health District,Chickahominy,Central Region,Urgent Care,157,25
07/20/20,07/18/20,Health District,Crater,Central Region,Emergency Department,125,6
07/20/20,07/18/20,Health District,Crater,Central Region,Urgent Care,223,27
07/20/20,07/18/20,Health District,Cumberland Plateau,Southwest Region,Emergency Department,45,5
07/20/20,07/18/20,Health District,Cumberland Plateau,Southwest Region,Urgent Care,0,0
07/20/20,07/18/20,Health District,Eastern Shore,Eastern Region,Emergency Department,20,5
07/20/20,07/18/20,Health District,Eastern Shore,Eastern Region,Urgent Care,0,0
07/20/20,07/18/20,Health District,Fairfax,Northern Region,Emergency Department,237,6
07/20/20,07/18/20,Health District,Fairfax,Northern Region,Urgent Care,1018,33
07/20/20,07/18/20,Health District,Hampton,Eastern Region,Emergency Department,112,10
07/20/20,07/18/20,Health District,Hampton,Eastern Region,Urgent Care,279,28
07/20/20,07/18/20,Health District,Henrico,Central Region,Emergency Department,186,7
07/20/20,07/18/20,Health District,Henrico,Central Region,Urgent Care,471,26
07/20/20,07/18/20,Health District,Lenowisco,Southwest Region,Emergency Department,24,4
07/20/20,07/18/20,Health District,Lenowisco,Southwest Region,Urgent Care,0,0
07/20/20,07/18/20,Health District,Lord Fairfax,Northwest Region,Emergency Department,103,6
07/20/20,07/18/20,Health District,Lord Fairfax,Northwest Region,Urgent Care,92,11
07/20/20,07/18/20,Health District,Loudoun,Northern Region,Emergency Department,110,8
07/20/20,07/18/20,Health District,Loudoun,Northern Region,Urgent Care,465,33
07/20/20,07/18/20,Health District,Mount Rogers,Southwest Region,Emergency Department,41,3
07/20/20,07/18/20,Health District,Mount Rogers,Southwest Region,Urgent Care,0,0
07/20/20,07/18/20,Health District,New River,Southwest Region,Emergency Department,58,5
07/20/20,07/18/20,Health District,New River,Southwest Region,Urgent Care,22,3
07/20/20,07/18/20,Health District,Norfolk,Eastern Region,Emergency Department,339,12
07/20/20,07/18/20,Health District,Norfolk,Eastern Region,Urgent Care,162,22
07/20/20,07/18/20,Health District,Peninsula,Eastern Region,Emergency Department,267,9
07/20/20,07/18/20,Health District,Peninsula,Eastern Region,Urgent Care,580,27
07/20/20,07/18/20,Health District,Piedmont,Central Region,Emergency Department,33,4
07/20/20,07/18/20,Health District,Piedmont,Central Region,Urgent Care,21,25
07/20/20,07/18/20,Health District,Pittsylvania-Danville,Southwest Region,Emergency Department,74,10
07/20/20,07/18/20,Health District,Pittsylvania-Danville,Southwest Region,Urgent Care,1,8
07/20/20,07/18/20,Health District,Portsmouth,Eastern Region,Emergency Department,183,13
07/20/20,07/18/20,Health District,Portsmouth,Eastern Region,Urgent Care,83,16
07/20/20,07/18/20,Health District,Prince William,Northern Region,Emergency Department,146,6
07/20/20,07/18/20,Health District,Prince William,Northern Region,Urgent Care,848,38
