"﻿Report Date","VDH Health Region","Percent of CLI Visits","Count of CLI Visits","Geography Name","Facility Type","Week End Date","Geography Type"
7/20/2020,"Northwest Region",8,30,"Central Shenandoah","Urgent Care",7/18/2020,"Health District"
7/20/2020,"Northwest Region",9,31,"Central Shenandoah","Urgent Care",7/11/2020,"Health District"
7/20/2020,"Northwest Region",9,26,"Central Shenandoah","Urgent Care",7/4/2020,"Health District"
7/20/2020,"Northwest Region",4,11,"Central Shenandoah","Urgent Care",6/27/2020,"Health District"
7/20/2020,"Northwest Region",3,7,"Central Shenandoah","Urgent Care",6/20/2020,"Health District"
7/20/2020,"Northwest Region",2,6,"Central Shenandoah","Urgent Care",6/13/2020,"Health District"
7/20/2020,"Northwest Region",4,8,"Central Shenandoah","Urgent Care",6/6/2020,"Health District"
7/20/2020,"Northwest Region",5,8,"Central Shenandoah","Urgent Care",5/30/2020,"Health District"
7/20/2020,"Northwest Region",4,6,"Central Shenandoah","Urgent Care",5/23/2020,"Health District"
7/20/2020,"Northwest Region",5,7,"Central Shenandoah","Urgent Care",5/16/2020,"Health District"
7/20/2020,"Northwest Region",3,4,"Central Shenandoah","Urgent Care",5/9/2020,"Health District"
7/20/2020,"Northwest Region",5,5,"Central Shenandoah","Urgent Care",5/2/2020,"Health District"
7/20/2020,"Northwest Region",3,4,"Central Shenandoah","Urgent Care",4/25/2020,"Health District"
7/20/2020,"Northwest Region",9,10,"Central Shenandoah","Urgent Care",4/18/2020,"Health District"
7/20/2020,"Northwest Region",7,9,"Central Shenandoah","Urgent Care",4/11/2020,"Health District"
7/20/2020,"Northwest Region",6,9,"Central Shenandoah","Urgent Care",4/4/2020,"Health District"
7/20/2020,"Northwest Region",16,25,"Central Shenandoah","Urgent Care",3/28/2020,"Health District"
7/20/2020,"Northwest Region",10,23,"Central Shenandoah","Urgent Care",3/21/2020,"Health District"
7/20/2020,"Northwest Region",9,44,"Central Shenandoah","Urgent Care",3/14/2020,"Health District"
7/20/2020,"Northwest Region",7,27,"Central Shenandoah","Urgent Care",3/7/2020,"Health District"
7/20/2020,"Northwest Region",5,101,"Central Shenandoah","Emergency Department",7/18/2020,"Health District"
7/20/2020,"Northwest Region",5,115,"Central Shenandoah","Emergency Department",7/11/2020,"Health District"
7/20/2020,"Northwest Region",5,105,"Central Shenandoah","Emergency Department",7/4/2020,"Health District"
7/20/2020,"Northwest Region",4,76,"Central Shenandoah","Emergency Department",6/27/2020,"Health District"
7/20/2020,"Northwest Region",3,73,"Central Shenandoah","Emergency Department",6/20/2020,"Health District"
7/20/2020,"Northwest Region",3,70,"Central Shenandoah","Emergency Department",6/13/2020,"Health District"
7/20/2020,"Northwest Region",6,110,"Central Shenandoah","Emergency Department",6/6/2020,"Health District"
7/20/2020,"Northwest Region",5,109,"Central Shenandoah","Emergency Department",5/30/2020,"Health District"
7/20/2020,"Northwest Region",6,119,"Central Shenandoah","Emergency Department",5/23/2020,"Health District"
7/20/2020,"Northwest Region",8,144,"Central Shenandoah","Emergency Department",5/16/2020,"Health District"
7/20/2020,"Northwest Region",7,120,"Central Shenandoah","Emergency Department",5/9/2020,"Health District"
7/20/2020,"Northwest Region",9,160,"Central Shenandoah","Emergency Department",5/2/2020,"Health District"
7/20/2020,"Northwest Region",11,187,"Central Shenandoah","Emergency Department",4/25/2020,"Health District"
7/20/2020,"Northwest Region",11,190,"Central Shenandoah","Emergency Department",4/18/2020,"Health District"
7/20/2020,"Northwest Region",10,154,"Central Shenandoah","Emergency Department",4/11/2020,"Health District"
7/20/2020,"Northwest Region",11,170,"Central Shenandoah","Emergency Department",4/4/2020,"Health District"
7/20/2020,"Northwest Region",11,183,"Central Shenandoah","Emergency Department",3/28/2020,"Health District"
7/20/2020,"Northwest Region",12,258,"Central Shenandoah","Emergency Department",3/21/2020,"Health District"
7/20/2020,"Northwest Region",7,169,"Central Shenandoah","Emergency Department",3/14/2020,"Health District"
7/20/2020,"Northwest Region",4,115,"Central Shenandoah","Emergency Department",3/7/2020,"Health District"
7/20/2020,"Northwest Region",11,92,"Lord Fairfax","Urgent Care",7/18/2020,"Health District"
7/20/2020,"Northwest Region",8,60,"Lord Fairfax","Urgent Care",7/11/2020,"Health District"
7/20/2020,"Northwest Region",7,52,"Lord Fairfax","Urgent Care",7/4/2020,"Health District"
7/20/2020,"Northwest Region",8,56,"Lord Fairfax","Urgent Care",6/27/2020,"Health District"
7/20/2020,"Northwest Region",8,55,"Lord Fairfax","Urgent Care",6/20/2020,"Health District"
7/20/2020,"Northwest Region",11,72,"Lord Fairfax","Urgent Care",6/13/2020,"Health District"
7/20/2020,"Northwest Region",9,56,"Lord Fairfax","Urgent Care",6/6/2020,"Health District"
7/20/2020,"Northwest Region",12,78,"Lord Fairfax","Urgent Care",5/30/2020,"Health District"
7/20/2020,"Northwest Region",15,88,"Lord Fairfax","Urgent Care",5/23/2020,"Health District"
7/20/2020,"Northwest Region",18,109,"Lord Fairfax","Urgent Care",5/16/2020,"Health District"
7/20/2020,"Northwest Region",13,68,"Lord Fairfax","Urgent Care",5/9/2020,"Health District"
7/20/2020,"Northwest Region",14,78,"Lord Fairfax","Urgent Care",5/2/2020,"Health District"
7/20/2020,"Northwest Region",7,37,"Lord Fairfax","Urgent Care",4/25/2020,"Health District"
7/20/2020,"Northwest Region",12,58,"Lord Fairfax","Urgent Care",4/18/2020,"Health District"
7/20/2020,"Northwest Region",12,61,"Lord Fairfax","Urgent Care",4/11/2020,"Health District"
7/20/2020,"Northwest Region",15,92,"Lord Fairfax","Urgent Care",4/4/2020,"Health District"
7/20/2020,"Northwest Region",13,83,"Lord Fairfax","Urgent Care",3/28/2020,"Health District"
