Report Date,Week End Date,Geography Type,Geography Name,VDH Health Region,Facility Type,Count of CLI Visits,Percent of CLI Visits
02/08/2021,05/30/2020,Health District,Lord Fairfax,Northwest Region,Emergency Department,116,7
02/08/2021,06/06/2020,Health District,Chesterfield,Central Region,Urgent Care,703,34
02/08/2021,05/09/2020,Health District,Crater,Central Region,Emergency Department,128,8
02/08/2021,07/25/2020,Health District,Crater,Central Region,Urgent Care,136,18
02/08/2021,01/09/2021,Health District,Chesapeake,Eastern Region,Urgent Care,1353,49
02/08/2021,10/03/2020,Health District,Southside,Central Region,Emergency Department,72,9
02/08/2021,07/11/2020,Health District,Portsmouth,Eastern Region,Urgent Care,97,18
02/08/2021,05/30/2020,Health District,Hampton,Eastern Region,Emergency Department,33,4
02/08/2021,06/06/2020,Health District,Arlington,Northern Region,Urgent Care,48,20
02/08/2021,12/05/2020,Health District,Rappahannock Rapidan,Northwest Region,Emergency Department,129,11
02/08/2021,11/14/2020,Health District,Central Virginia,Southwest Region,Urgent Care,8,7
02/08/2021,03/21/2020,Health District,Roanoke,Southwest Region,Emergency Department,103,11
02/08/2021,11/07/2020,Health District,Central Shenandoah,Northwest Region,Emergency Department,124,6
02/08/2021,07/18/2020,Health District,Central Shenandoah,Northwest Region,Urgent Care,30,8
02/08/2021,08/15/2020,Health District,Rappahannock,Northwest Region,Urgent Care,205,16
02/08/2021,08/22/2020,Health District,Three Rivers,Eastern Region,Urgent Care,86,15
02/08/2021,01/16/2021,Health District,Alleghany,Southwest Region,Emergency Department,190,16
02/08/2021,01/23/2021,Health District,Alleghany,Southwest Region,Urgent Care,70,13
02/08/2021,11/28/2020,Health District,West Piedmont,Southwest Region,Emergency Department,131,13
02/08/2021,04/18/2020,Health District,Roanoke,Southwest Region,Urgent Care,7,5
02/08/2021,07/11/2020,Health District,Alexandria,Northern Region,Urgent Care,102,38
02/08/2021,07/18/2020,Health District,Prince William,Northern Region,Emergency Department,148,6
02/08/2021,05/02/2020,Health District,Alexandria,Northern Region,Emergency Department,112,21
02/08/2021,05/09/2020,Health District,Mount Rogers,Southwest Region,Emergency Department,36,3
02/08/2021,06/06/2020,Health District,Lenowisco,Southwest Region,Emergency Department,13,3
02/08/2021,04/04/2020,Health District,Pittsylvania-Danville,Southwest Region,Emergency Department,29,6
02/08/2021,01/30/2021,Health District,Chesterfield,Central Region,Urgent Care,1146,41
02/08/2021,05/23/2020,Health District,Richmond,Central Region,Emergency Department,153,10
02/08/2021,06/27/2020,Health District,Eastern Shore,Eastern Region,Emergency Department,24,7
02/08/2021,11/14/2020,Health District,Virginia Beach,Eastern Region,Emergency Department,204,7
02/08/2021,06/27/2020,Health District,Hampton,Eastern Region,Urgent Care,234,28
02/08/2021,03/07/2020,Health District,Western Tidewater,Eastern Region,Urgent Care,32,8
02/08/2021,12/05/2020,Health District,Central Shenandoah,Northwest Region,Urgent Care,35,13
02/08/2021,06/20/2020,Health District,Central Shenandoah,Northwest Region,Emergency Department,73,3
02/08/2021,10/17/2020,Health District,Prince William,Northern Region,Urgent Care,716,32
02/08/2021,03/14/2020,Health District,Chickahominy,Central Region,Urgent Care,33,5
02/08/2021,05/02/2020,Health District,Henrico,Central Region,Urgent Care,228,21
02/08/2021,03/21/2020,Health District,Piedmont,Central Region,Emergency Department,77,10
02/08/2021,06/20/2020,Health District,West Piedmont,Southwest Region,Urgent Care,3,1
02/08/2021,11/14/2020,Health District,Fairfax,Northern Region,Emergency Department,445,10
02/08/2021,06/06/2020,Health District,Loudoun,Northern Region,Urgent Care,397,37
02/08/2021,11/14/2020,Health District,New River,Southwest Region,Urgent Care,35,9
