Report Date,Week End Date,Geography Type,Geography Name,VDH Health Region,Facility Type,Count of CLI Visits,Percent of CLI Visits
01/18/2021,06/06/2020,Health District,Chesterfield,Central Region,Urgent Care,703,34
01/18/2021,05/09/2020,Health District,Crater,Central Region,Emergency Department,128,8
01/18/2021,07/25/2020,Health District,Crater,Central Region,Urgent Care,136,18
01/18/2021,10/03/2020,Health District,Southside,Central Region,Emergency Department,72,9
01/18/2021,05/30/2020,Health District,Hampton,Eastern Region,Emergency Department,33,4
01/18/2021,01/09/2021,Health District,Chesapeake,Eastern Region,Urgent Care,1353,49
01/18/2021,07/11/2020,Health District,Portsmouth,Eastern Region,Urgent Care,97,18
01/18/2021,05/30/2020,Health District,Lord Fairfax,Northwest Region,Emergency Department,116,7
01/18/2021,12/05/2020,Health District,Rappahannock Rapidan,Northwest Region,Emergency Department,129,11
01/18/2021,11/14/2020,Health District,Central Virginia,Southwest Region,Urgent Care,8,7
01/18/2021,03/21/2020,Health District,Roanoke,Southwest Region,Emergency Department,103,11
01/18/2021,06/06/2020,Health District,Arlington,Northern Region,Urgent Care,48,20
01/18/2021,05/23/2020,Health District,Richmond,Central Region,Emergency Department,153,10
01/18/2021,06/27/2020,Health District,Eastern Shore,Eastern Region,Emergency Department,24,7
01/18/2021,06/27/2020,Health District,Hampton,Eastern Region,Urgent Care,234,28
01/18/2021,08/22/2020,Health District,Three Rivers,Eastern Region,Urgent Care,86,15
01/18/2021,03/07/2020,Health District,Western Tidewater,Eastern Region,Urgent Care,32,8
01/18/2021,07/11/2020,Health District,Alexandria,Northern Region,Urgent Care,102,38
01/18/2021,01/16/2021,Health District,Alleghany,Southwest Region,Emergency Department,189,16
01/18/2021,05/09/2020,Health District,Mount Rogers,Southwest Region,Emergency Department,36,3
01/18/2021,11/28/2020,Health District,West Piedmont,Southwest Region,Emergency Department,131,13
01/18/2021,06/06/2020,Health District,Lenowisco,Southwest Region,Emergency Department,13,3
01/18/2021,04/04/2020,Health District,Pittsylvania-Danville,Southwest Region,Emergency Department,29,6
01/18/2021,04/18/2020,Health District,Roanoke,Southwest Region,Urgent Care,7,5
01/18/2021,07/18/2020,Health District,Prince William,Northern Region,Emergency Department,148,6
01/18/2021,11/14/2020,Health District,Virginia Beach,Eastern Region,Emergency Department,204,7
01/18/2021,11/07/2020,Health District,Central Shenandoah,Northwest Region,Emergency Department,124,6
01/18/2021,05/02/2020,Health District,Alexandria,Northern Region,Emergency Department,112,21
01/18/2021,07/18/2020,Health District,Central Shenandoah,Northwest Region,Urgent Care,30,8
01/18/2021,08/15/2020,Health District,Rappahannock,Northwest Region,Urgent Care,205,16
01/18/2021,03/14/2020,Health District,Chickahominy,Central Region,Urgent Care,33,5
01/18/2021,05/02/2020,Health District,Henrico,Central Region,Urgent Care,228,21
01/18/2021,03/21/2020,Health District,Piedmont,Central Region,Emergency Department,77,10
01/18/2021,10/10/2020,Health District,Richmond,Central Region,Emergency Department,127,7
01/18/2021,11/07/2020,Health District,Portsmouth,Eastern Region,Emergency Department,58,5
01/18/2021,07/25/2020,Health District,Western Tidewater,Eastern Region,Urgent Care,37,12
01/18/2021,09/26/2020,Health District,Mount Rogers,Southwest Region,Emergency Department,56,4
01/18/2021,03/14/2020,Health District,New River,Southwest Region,Emergency Department,109,7
01/18/2021,06/20/2020,Health District,West Piedmont,Southwest Region,Urgent Care,3,1
01/18/2021,11/14/2020,Health District,New River,Southwest Region,Urgent Care,35,9
01/18/2021,12/05/2020,Health District,Norfolk,Eastern Region,Urgent Care,178,25
01/18/2021,11/14/2020,Health District,Fairfax,Northern Region,Emergency Department,445,10
01/18/2021,03/21/2020,Health District,Virginia Beach,Eastern Region,Emergency Department,297,10
01/18/2021,10/17/2020,Health District,Prince William,Northern Region,Urgent Care,716,32
01/18/2021,06/20/2020,Health District,Central Shenandoah,Northwest Region,Emergency Department,73,3
01/18/2021,12/05/2020,Health District,Central Shenandoah,Northwest Region,Urgent Care,35,13
01/18/2021,06/06/2020,Health District,Loudoun,Northern Region,Urgent Care,397,37
01/18/2021,09/26/2020,Health District,Crater,Central Region,Emergency Department,174,8
01/18/2021,03/07/2020,Health District,Crater,Central Region,Urgent Care,47,6
01/18/2021,05/16/2020,Health District,Southside,Central Region,Emergency Department,42,8
01/18/2021,07/11/2020,Health District,Peninsula,Eastern Region,Emergency Department,194,7
01/18/2021,10/31/2020,Health District,Southside,Central Region,Urgent Care,7,18
01/18/2021,12/12/2020,Health District,Three Rivers,Eastern Region,Emergency Department,173,14
01/18/2021,11/28/2020,Health District,Portsmouth,Eastern Region,Urgent Care,118,24
01/18/2021,11/21/2020,Health District,Blue Ridge,Northwest Region,Emergency Department,77,5
01/18/2021,06/27/2020,Health District,Central Virginia,Southwest Region,Urgent Care,15,11
01/18/2021,08/08/2020,Health District,Roanoke,Southwest Region,Emergency Department,81,8
01/18/2021,07/04/2020,Health District,Chickahominy,Central Region,Emergency Department,47,5
01/18/2021,09/12/2020,Health District,Henrico,Central Region,Emergency Department,193,7
01/18/2021,11/28/2020,Health District,Henrico,Central Region,Emergency Department,285,11
01/18/2021,07/25/2020,Health District,Chesapeake,Eastern Region,Emergency Department,312,17
01/18/2021,11/14/2020,Health District,Eastern Shore,Eastern Region,Emergency Department,24,7
01/18/2021,05/09/2020,Health District,Chesapeake,Eastern Region,Emergency Department,93,7
01/18/2021,10/24/2020,Health District,Lenowisco,Southwest Region,Emergency Department,72,12
01/18/2021,08/29/2020,Health District,Pittsylvania-Danville,Southwest Region,Urgent Care,0,0
01/18/2021,11/21/2020,Health District,Roanoke,Southwest Region,Urgent Care,34,13
01/18/2021,08/22/2020,Health District,Pittsylvania-Danville,Southwest Region,Emergency Department,67,8
01/18/2021,04/18/2020,Health District,Fairfax,Northern Region,Urgent Care,201,16
01/18/2021,11/14/2020,Health District,Lord Fairfax,Northwest Region,Urgent Care,378,35
01/18/2021,10/31/2020,Health District,Rappahannock,Northwest Region,Emergency Department,121,6
01/18/2021,01/09/2021,Health District,Lenowisco,Southwest Region,Emergency Department,116,21
01/18/2021,11/14/2020,Health District,Pittsylvania-Danville,Southwest Region,Urgent Care,0,0
01/18/2021,09/05/2020,Health District,Roanoke,Southwest Region,Urgent Care,11,5
01/18/2021,08/01/2020,Health District,Chickahominy,Central Region,Urgent Care,64,13
01/18/2021,09/05/2020,Health District,Piedmont,Central Region,Urgent Care,14,13
01/18/2021,08/08/2020,Health District,Piedmont,Central Region,Emergency Department,47,6
01/18/2021,08/22/2020,Health District,Chesapeake,Eastern Region,Urgent Care,144,10
01/18/2021,10/03/2020,Health District,Western Tidewater,Eastern Region,Emergency Department,98,7
01/18/2021,03/21/2020,Health District,Lord Fairfax,Northwest Region,Urgent Care,83,9
01/18/2021,07/11/2020,Health District,Blue Ridge,Northwest Region,Urgent Care,17,22
01/18/2021,06/27/2020,Health District,New River,Southwest Region,Urgent Care,13,2
01/18/2021,06/27/2020,Health District,Cumberland Plateau,Southwest Region,Emergency Department,30,3
01/18/2021,09/12/2020,Health District,Cumberland Plateau,Southwest Region,Urgent Care,0,0
01/18/2021,08/01/2020,Health District,New River,Southwest Region,Emergency Department,82,6
01/18/2021,06/13/2020,Health District,Southside,Central Region,Urgent Care,3,15
01/18/2021,12/26/2020,Health District,Richmond,Central Region,Emergency Department,195,12
01/18/2021,10/10/2020,Health District,Eastern Shore,Eastern Region,Urgent Care,1,11
01/18/2021,04/18/2020,Health District,Eastern Shore,Eastern Region,Urgent Care,0,0
01/18/2021,03/07/2020,Health District,Southside,Central Region,Urgent Care,3,8
01/18/2021,05/09/2020,Health District,Peninsula,Eastern Region,Urgent Care,133,11
01/18/2021,07/04/2020,Health District,Blue Ridge,Northwest Region,Emergency Department,52,5
01/18/2021,04/04/2020,Health District,West Piedmont,Southwest Region,Emergency Department,48,7
01/18/2021,12/05/2020,Health District,Norfolk,Eastern Region,Emergency Department,172,7
01/18/2021,07/25/2020,Health District,Three Rivers,Eastern Region,Emergency Department,93,8
01/18/2021,05/09/2020,Health District,Three Rivers,Eastern Region,Emergency Department,77,8
01/18/2021,09/19/2020,Health District,Alexandria,Northern Region,Emergency Department,37,6
01/18/2021,12/26/2020,Health District,Arlington,Northern Region,Emergency Department,125,18
01/18/2021,12/19/2020,Health District,Alexandria,Northern Region,Urgent Care,147,46
01/18/2021,10/17/2020,Health District,Chickahominy,Central Region,Urgent Care,162,28
01/18/2021,10/24/2020,Health District,Piedmont,Central Region,Emergency Department,82,10
01/18/2021,06/20/2020,Health District,Piedmont,Central Region,Urgent Care,29,31
01/18/2021,03/14/2020,Health District,Piedmont,Central Region,Urgent Care,11,10
01/18/2021,09/19/2020,Health District,Henrico,Central Region,Urgent Care,379,20
01/18/2021,11/14/2020,Health District,Richmond,Central Region,Urgent Care,389,33
01/18/2021,06/27/2020,Health District,Cumberland Plateau,Southwest Region,Urgent Care,0,0
01/18/2021,03/21/2020,Health District,Cumberland Plateau,Southwest Region,Urgent Care,0,0
01/18/2021,04/18/2020,Health District,Alleghany,Southwest Region,Urgent Care,30,9
01/18/2021,09/12/2020,Health District,Cumberland Plateau,Southwest Region,Emergency Department,59,6
01/18/2021,08/22/2020,Health District,Lenowisco,Southwest Region,Urgent Care,0,0
01/18/2021,06/20/2020,Health District,Portsmouth,Eastern Region,Emergency Department,58,6
01/18/2021,07/18/2020,Health District,Norfolk,Eastern Region,Urgent Care,162,22
01/18/2021,06/27/2020,Health District,Fairfax,Northern Region,Emergency Department,212,5
01/18/2021,10/03/2020,Health District,Prince William,Northern Region,Emergency Department,142,6
01/18/2021,10/17/2020,Health District,Lord Fairfax,Northwest Region,Emergency Department,119,6
01/18/2021,10/31/2020,Health District,Rappahannock,Northwest Region,Urgent Care,279,19
01/18/2021,04/25/2020,Health District,Blue Ridge,Northwest Region,Urgent Care,4,13
01/18/2021,12/19/2020,Health District,Chickahominy,Central Region,Urgent Care,262,40
01/18/2021,12/26/2020,Health District,Chickahominy,Central Region,Emergency Department,133,13
01/18/2021,05/09/2020,Health District,Crater,Central Region,Urgent Care,61,13
01/18/2021,10/24/2020,Health District,Chesapeake,Eastern Region,Urgent Care,423,22
01/18/2021,09/12/2020,Health District,Peninsula,Eastern Region,Emergency Department,134,5
01/18/2021,11/28/2020,Health District,Peninsula,Eastern Region,Urgent Care,968,43
01/18/2021,04/25/2020,Health District,Cumberland Plateau,Southwest Region,Urgent Care,0,0
01/18/2021,04/25/2020,Health District,Cumberland Plateau,Southwest Region,Emergency Department,36,6
01/18/2021,06/06/2020,Health District,Roanoke,Southwest Region,Emergency Department,67,8
01/18/2021,12/05/2020,Health District,Western Tidewater,Eastern Region,Emergency Department,115,8
01/18/2021,03/14/2020,Health District,Lord Fairfax,Northwest Region,Emergency Department,145,6
01/18/2021,08/15/2020,Health District,Lord Fairfax,Northwest Region,Emergency Department,99,5
01/18/2021,12/05/2020,Health District,Rappahannock Rapidan,Northwest Region,Urgent Care,97,31
01/18/2021,03/07/2020,Health District,Alleghany,Southwest Region,Emergency Department,72,5
01/18/2021,08/29/2020,Health District,Central Virginia,Southwest Region,Urgent Care,7,6
01/18/2021,05/16/2020,Health District,Chesterfield,Central Region,Emergency Department,181,8
01/18/2021,12/05/2020,Health District,Henrico,Central Region,Urgent Care,707,35
01/18/2021,05/23/2020,Health District,Richmond,Central Region,Urgent Care,299,33
01/18/2021,09/05/2020,Health District,Portsmouth,Eastern Region,Emergency Department,92,8
01/18/2021,04/11/2020,Health District,Fairfax,Northern Region,Emergency Department,516,18
01/18/2021,08/22/2020,Health District,Loudoun,Northern Region,Emergency Department,115,8
01/18/2021,09/05/2020,Health District,Blue Ridge,Northwest Region,Emergency Department,57,5
01/18/2021,11/07/2020,Health District,Lenowisco,Southwest Region,Urgent Care,0,0
01/18/2021,01/16/2021,Health District,New River,Southwest Region,Urgent Care,33,13
01/18/2021,10/03/2020,Health District,Norfolk,Eastern Region,Urgent Care,69,12
01/18/2021,08/08/2020,Health District,Loudoun,Northern Region,Urgent Care,269,24
01/18/2021,01/09/2021,Health District,Loudoun,Northern Region,Urgent Care,1278,54
01/18/2021,05/02/2020,Health District,Chesterfield,Central Region,Emergency Department,155,8
01/18/2021,05/30/2020,Health District,Chickahominy,Central Region,Urgent Care,131,27
01/18/2021,08/29/2020,Health District,Southside,Central Region,Urgent Care,6,25
01/18/2021,07/25/2020,Health District,Richmond,Central Region,Emergency Department,136,7
01/18/2021,10/10/2020,Health District,Three Rivers,Eastern Region,Emergency Department,118,9
01/18/2021,05/16/2020,Health District,Western Tidewater,Eastern Region,Emergency Department,54,5
01/18/2021,11/14/2020,Health District,Cumberland Plateau,Southwest Region,Urgent Care,0,0
01/18/2021,07/11/2020,Health District,Mount Rogers,Southwest Region,Emergency Department,48,3
01/18/2021,08/29/2020,Health District,New River,Southwest Region,Urgent Care,31,8
01/18/2021,04/04/2020,Health District,West Piedmont,Southwest Region,Urgent Care,9,6
01/18/2021,05/30/2020,Health District,New River,Southwest Region,Emergency Department,46,4
01/18/2021,06/13/2020,Health District,Norfolk,Eastern Region,Emergency Department,79,4
01/18/2021,09/05/2020,Health District,Virginia Beach,Eastern Region,Urgent Care,282,12
01/18/2021,05/09/2020,Health District,Western Tidewater,Eastern Region,Urgent Care,34,16
01/18/2021,09/19/2020,Health District,Central Shenandoah,Northwest Region,Urgent Care,13,5
01/18/2021,01/02/2021,Health District,Prince William,Northern Region,Urgent Care,1788,53
01/18/2021,09/05/2020,Health District,Central Shenandoah,Northwest Region,Emergency Department,100,5
01/18/2021,05/16/2020,Health District,Rappahannock Rapidan,Northwest Region,Urgent Care,33,19
01/18/2021,09/26/2020,Health District,Chesapeake,Eastern Region,Emergency Department,117,7
01/18/2021,04/11/2020,Health District,Norfolk,Eastern Region,Emergency Department,100,7
01/18/2021,09/12/2020,Health District,Eastern Shore,Eastern Region,Emergency Department,15,4
01/18/2021,07/18/2020,Health District,Western Tidewater,Eastern Region,Emergency Department,129,8
01/18/2021,08/22/2020,Health District,Central Shenandoah,Northwest Region,Emergency Department,104,5
01/18/2021,10/03/2020,Health District,Central Shenandoah,Northwest Region,Urgent Care,19,7
01/18/2021,03/28/2020,Health District,Hampton,Eastern Region,Emergency Department,79,9
01/18/2021,09/12/2020,Health District,Lord Fairfax,Northwest Region,Urgent Care,46,6
01/18/2021,03/28/2020,Health District,Lord Fairfax,Northwest Region,Emergency Department,125,9
01/18/2021,10/31/2020,Health District,Alleghany,Southwest Region,Emergency Department,156,13
01/18/2021,08/22/2020,Health District,Lenowisco,Southwest Region,Emergency Department,27,4
01/18/2021,07/25/2020,Health District,Mount Rogers,Southwest Region,Emergency Department,89,6
01/18/2021,06/20/2020,Health District,Pittsylvania-Danville,Southwest Region,Emergency Department,26,4
01/18/2021,03/21/2020,Health District,Richmond,Central Region,Urgent Care,40,5
01/18/2021,05/16/2020,Health District,Norfolk,Eastern Region,Urgent Care,61,13
01/18/2021,04/18/2020,Health District,Portsmouth,Eastern Region,Emergency Department,55,7
01/18/2021,06/20/2020,Health District,Three Rivers,Eastern Region,Urgent Care,103,19
01/18/2021,01/09/2021,Health District,Loudoun,Northern Region,Emergency Department,313,20
01/18/2021,09/19/2020,Health District,Prince William,Northern Region,Emergency Department,159,7
01/18/2021,11/14/2020,Health District,Hampton,Eastern Region,Urgent Care,270,27
01/18/2021,09/12/2020,Health District,Arlington,Northern Region,Urgent Care,65,16
01/18/2021,10/17/2020,Health District,Rappahannock,Northwest Region,Urgent Care,282,19
01/18/2021,09/05/2020,Health District,Alleghany,Southwest Region,Urgent Care,22,4
01/18/2021,03/14/2020,Health District,Central Virginia,Southwest Region,Emergency Department,66,4
01/18/2021,05/16/2020,Health District,Mount Rogers,Southwest Region,Urgent Care,0,0
01/18/2021,01/09/2021,Health District,Lenowisco,Southwest Region,Urgent Care,1,100
01/18/2021,07/11/2020,Health District,Crater,Central Region,Emergency Department,168,8
01/18/2021,08/01/2020,Health District,Southside,Central Region,Emergency Department,55,7
01/18/2021,12/12/2020,Health District,Richmond,Central Region,Emergency Department,206,12
01/18/2021,12/12/2020,Health District,Eastern Shore,Eastern Region,Urgent Care,1,14
01/18/2021,09/12/2020,Health District,Portsmouth,Eastern Region,Urgent Care,80,16
01/18/2021,04/25/2020,Health District,Peninsula,Eastern Region,Emergency Department,101,6
01/18/2021,01/09/2021,Health District,Mount Rogers,Southwest Region,Urgent Care,1,17
01/18/2021,08/22/2020,Health District,West Piedmont,Southwest Region,Urgent Care,9,4
01/18/2021,09/26/2020,Health District,Western Tidewater,Eastern Region,Urgent Care,53,16
01/18/2021,10/17/2020,Health District,Alexandria,Northern Region,Urgent Care,77,31
01/18/2021,08/08/2020,Health District,Arlington,Northern Region,Emergency Department,50,7
01/18/2021,10/03/2020,Health District,Rappahannock Rapidan,Northwest Region,Urgent Care,49,16
01/18/2021,04/11/2020,Health District,Central Virginia,Southwest Region,Urgent Care,3,5
01/18/2021,11/07/2020,Health District,Central Virginia,Southwest Region,Emergency Department,43,4
01/18/2021,01/09/2021,Health District,Chesterfield,Central Region,Emergency Department,523,18
01/18/2021,07/18/2020,Health District,Henrico,Central Region,Urgent Care,471,26
01/18/2021,04/25/2020,Health District,Eastern Shore,Eastern Region,Emergency Department,95,34
01/18/2021,01/16/2021,Health District,Richmond,Central Region,Urgent Care,688,46
01/18/2021,01/09/2021,Health District,Three Rivers,Eastern Region,Urgent Care,630,62
01/18/2021,08/29/2020,Health District,Fairfax,Northern Region,Emergency Department,287,7
01/18/2021,06/20/2020,Health District,Lenowisco,Southwest Region,Urgent Care,0,0
01/18/2021,04/25/2020,Health District,Prince William,Northern Region,Urgent Care,173,18
01/18/2021,04/25/2020,Health District,Lord Fairfax,Northwest Region,Urgent Care,37,7
01/18/2021,06/27/2020,Health District,Blue Ridge,Northwest Region,Urgent Care,8,11
01/18/2021,12/12/2020,Health District,Mount Rogers,Southwest Region,Emergency Department,241,18
01/18/2021,11/14/2020,Health District,Cumberland Plateau,Southwest Region,Emergency Department,135,14
01/18/2021,04/04/2020,Health District,Lenowisco,Southwest Region,Emergency Department,43,10
01/18/2021,05/02/2020,Health District,Chickahominy,Central Region,Emergency Department,62,9
01/18/2021,09/26/2020,Health District,Crater,Central Region,Urgent Care,189,22
01/18/2021,09/26/2020,Health District,Henrico,Central Region,Emergency Department,179,6
01/18/2021,07/11/2020,Health District,Peninsula,Eastern Region,Urgent Care,701,30
01/18/2021,04/11/2020,Health District,Southside,Central Region,Urgent Care,1,9
01/18/2021,05/23/2020,Health District,Three Rivers,Eastern Region,Emergency Department,67,7
01/18/2021,03/07/2020,Health District,Chesapeake,Eastern Region,Emergency Department,128,6
01/18/2021,04/18/2020,Health District,Virginia Beach,Eastern Region,Urgent Care,25,2
01/18/2021,07/18/2020,Health District,Alexandria,Northern Region,Emergency Department,53,9
01/18/2021,06/20/2020,Health District,Fairfax,Northern Region,Urgent Care,757,30
01/18/2021,07/18/2020,Health District,Rappahannock Rapidan,Northwest Region,Emergency Department,74,6
01/18/2021,06/06/2020,Health District,West Piedmont,Southwest Region,Emergency Department,43,4
01/18/2021,07/04/2020,Health District,Roanoke,Southwest Region,Urgent Care,16,6
01/18/2021,10/03/2020,Health District,Chickahominy,Central Region,Urgent Care,152,25
01/18/2021,10/10/2020,Health District,Piedmont,Central Region,Emergency Department,85,10
01/18/2021,05/02/2020,Health District,Southside,Central Region,Emergency Department,11,2
01/18/2021,09/12/2020,Health District,Richmond,Central Region,Urgent Care,278,28
01/18/2021,06/27/2020,Health District,Peninsula,Eastern Region,Emergency Department,108,4
01/18/2021,09/12/2020,Health District,Peninsula,Eastern Region,Urgent Care,192,10
01/18/2021,05/02/2020,Health District,Lenowisco,Southwest Region,Emergency Department,21,6
01/18/2021,10/03/2020,Health District,New River,Southwest Region,Emergency Department,122,10
01/18/2021,04/25/2020,Health District,New River,Southwest Region,Urgent Care,6,4
01/18/2021,09/19/2020,Health District,Western Tidewater,Eastern Region,Emergency Department,103,8
01/18/2021,08/22/2020,Health District,Arlington,Northern Region,Emergency Department,61,9
01/18/2021,05/02/2020,Health District,Virginia Beach,Eastern Region,Urgent Care,98,7
01/18/2021,05/09/2020,Health District,Blue Ridge,Northwest Region,Urgent Care,12,20
01/18/2021,11/07/2020,Health District,Mount Rogers,Southwest Region,Urgent Care,0,0
01/18/2021,07/11/2020,Health District,Cumberland Plateau,Southwest Region,Urgent Care,0,0
01/18/2021,05/23/2020,Health District,Chesapeake,Eastern Region,Emergency Department,95,7
01/18/2021,07/11/2020,Health District,Chesapeake,Eastern Region,Emergency Department,220,12
01/18/2021,10/03/2020,Health District,Norfolk,Eastern Region,Emergency Department,119,5
01/18/2021,08/15/2020,Health District,Norfolk,Eastern Region,Emergency Department,169,8
01/18/2021,11/28/2020,Health District,Lord Fairfax,Northwest Region,Urgent Care,561,47
01/18/2021,01/16/2021,Health District,Lord Fairfax,Northwest Region,Urgent Care,495,43
01/18/2021,06/27/2020,Health District,Alleghany,Southwest Region,Emergency Department,90,8
01/18/2021,03/14/2020,Health District,Rappahannock Rapidan,Northwest Region,Urgent Care,30,8
01/18/2021,01/16/2021,Health District,Cumberland Plateau,Southwest Region,Emergency Department,127,15
01/18/2021,10/24/2020,Health District,Pittsylvania-Danville,Southwest Region,Emergency Department,57,7
01/18/2021,11/07/2020,Health District,Roanoke,Southwest Region,Urgent Care,40,16
