"﻿Report Date","Health District",Race,"Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-05-13,Southside,"Not Reported",88,9,2
2020-05-13,Chesapeake,White,150,30,2
2020-05-13,"New River",Other,0,0,0
2020-05-13,Norfolk,"Black or African American",180,32,3
2020-05-13,"Central Shenandoah",Other,177,11,2
2020-05-13,Southside,Other,26,1,4
2020-05-13,Pittsylvania-Danville,Other,0,0,0
2020-05-13,"Cumberland Plateau",White,17,2,0
2020-05-13,"Rappahannock Rapidan","Black or African American",26,6,1
2020-05-13,Fairfax,"Not Reported",1713,91,71
2020-05-13,Chesapeake,"Not Reported",49,2,0
2020-05-13,"Thomas Jefferson",White,206,25,8
2020-05-13,Richmond,Other,112,22,1
2020-05-13,Peninsula,"Black or African American",120,30,9
2020-05-13,Henrico,Other,97,11,3
2020-05-13,"Cumberland Plateau","Black or African American",11,0,0
2020-05-13,Loudoun,Other,289,42,6
2020-05-13,Crater,Other,10,2,1
2020-05-13,Arlington,"Black or African American",98,37,14
2020-05-13,Alexandria,"Black or African American",192,41,6
2020-05-13,Richmond,"Black or African American",265,61,16
2020-05-13,"Lord Fairfax","Not Reported",108,2,3
2020-05-13,Fairfax,"Black or African American",445,113,18
2020-05-13,"Thomas Jefferson","Black or African American",103,35,4
2020-05-13,"West Piedmont",White,45,6,0
2020-05-13,Rappahannock,"Not Reported",289,20,0
2020-05-13,"Central Shenandoah","Not Reported",199,4,1
2020-05-13,Peninsula,White,238,70,20
2020-05-13,"Rappahannock Rapidan",White,218,19,8
2020-05-13,"Prince William",White,764,160,47
2020-05-13,"New River","Not Reported",29,0,0
2020-05-13,Chesterfield,"Not Reported",409,3,9
2020-05-13,Alleghany,Other,2,0,0
2020-05-13,Lenowisco,White,32,14,3
2020-05-13,"Western Tidewater",White,141,22,14
2020-05-13,Chesapeake,"Black or African American",126,38,5
2020-05-13,"Western Tidewater","Not Reported",120,1,1
2020-05-13,"Cumberland Plateau","Not Reported",0,0,0
2020-05-13,"Western Tidewater",Other,25,1,1
2020-05-13,Loudoun,"Black or African American",73,8,2
2020-05-13,"Virginia Beach",White,269,47,13
2020-05-13,Chickahominy,Other,14,5,0
2020-05-13,"New River","Black or African American",5,1,0
2020-05-13,"Virginia Beach","Not Reported",74,2,0
2020-05-13,"Rappahannock Rapidan",Other,36,12,0
2020-05-13,Piedmont,"Not Reported",209,6,1
2020-05-13,Portsmouth,Other,15,2,0
2020-05-13,Pittsylvania-Danville,"Not Reported",8,2,0
2020-05-13,"West Piedmont","Not Reported",8,0,0
