"﻿Report Date","Geography Type","Geography Name",FacilityTypeGroup,"Number of Outbreaks","Number of Outbreak Associated Cases","Number of Outbreak Associated Deaths"
7/20/2020,State,Virginia,"Educational Setting",22,105,0
7/20/2020,State,Virginia,"Congregate Setting",175,2729,36
7/20/2020,State,Virginia,"Correctional Facility",40,2278,12
7/20/2020,State,Virginia,"Long Term Care Facilities",291,7581,1192
7/20/2020,State,Virginia,"Healthcare Setting",39,281,12
7/20/2020,"Health District",Portsmouth,"Correctional Facility",2,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District",Chickahominy,"Congregate Setting",8,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District",Loudoun,"Long Term Care Facilities",14,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District","Central Shenandoah","Educational Setting",1,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District","Prince William","Long Term Care Facilities",13,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District",Henrico,"Congregate Setting",8,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District",Alexandria,"Educational Setting",1,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District","New River","Long Term Care Facilities",1,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District",Alexandria,"Long Term Care Facilities",11,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District",Southside,"Healthcare Setting",1,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District","New River","Educational Setting",1,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District",Piedmont,"Long Term Care Facilities",4,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District",Richmond,"Congregate Setting",5,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District",Hampton,"Long Term Care Facilities",1,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District",Peninsula,"Healthcare Setting",2,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District",Richmond,"Long Term Care Facilities",7,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District",Alleghany,"Healthcare Setting",2,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District","Thomas Jefferson","Congregate Setting",7,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District",Peninsula,"Long Term Care Facilities",12,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District","Thomas Jefferson","Educational Setting",2,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District",Chickahominy,"Healthcare Setting",3,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District","Virginia Beach","Long Term Care Facilities",10,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District",Chesapeake,"Correctional Facility",3,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District","Rappahannock Rapidan","Congregate Setting",5,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District",Fairfax,"Correctional Facility",1,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District",Crater,"Healthcare Setting",2,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District","Central Virginia","Congregate Setting",4,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District","Prince William","Educational Setting",1,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District","Lord Fairfax","Healthcare Setting",7,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District","Three Rivers","Correctional Facility",1,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District",Piedmont,"Correctional Facility",6,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District","Virginia Beach","Correctional Facility",2,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District",Norfolk,"Congregate Setting",1,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District",Chesterfield,"Educational Setting",1,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District","Central Shenandoah","Congregate Setting",12,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District",Southside,"Correctional Facility",2,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District",Portsmouth,"Healthcare Setting",2,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District","Virginia Beach","Congregate Setting",15,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District",Roanoke,"Congregate Setting",4,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District",Southside,"Long Term Care Facilities",3,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District","Mount Rogers","Long Term Care Facilities",6,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District",Fairfax,"Long Term Care Facilities",59,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District",Chesterfield,"Correctional Facility",4,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District",Southside,"Congregate Setting",1,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District",Alleghany,"Congregate Setting",3,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District",Lenowisco,"Long Term Care Facilities",1,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District",Fairfax,"Educational Setting",3,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District",Pittsylvania-Danville,"Congregate Setting",6,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District","Central Shenandoah","Correctional Facility",1,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District",Richmond,"Educational Setting",1,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District","Rappahannock Rapidan","Healthcare Setting",1,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District",Rappahannock,"Long Term Care Facilities",7,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District","Central Virginia","Long Term Care Facilities",2,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District",Chesapeake,"Educational Setting",1,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District",Henrico,"Correctional Facility",1,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District",Arlington,"Healthcare Setting",3,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District",Alleghany,"Long Term Care Facilities",5,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District",Crater,"Long Term Care Facilities",11,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District",Hampton,"Congregate Setting",3,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District",Loudoun,"Congregate Setting",3,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District",Peninsula,"Congregate Setting",11,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District",Piedmont,"Healthcare Setting",1,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District","Western Tidewater","Congregate Setting",2,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District",Rappahannock,"Educational Setting",2,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District","New River","Congregate Setting",2,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District",Rappahannock,"Congregate Setting",10,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District","Rappahannock Rapidan","Long Term Care Facilities",3,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District",Lenowisco,"Congregate Setting",1,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District","Thomas Jefferson","Correctional Facility",2,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District",Portsmouth,"Congregate Setting",2,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District",Chesterfield,"Long Term Care Facilities",11,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District","West Piedmont","Congregate Setting",5,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District",Crater,"Congregate Setting",6,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District",Arlington,"Long Term Care Facilities",12,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District",Peninsula,"Educational Setting",1,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District",Chickahominy,"Correctional Facility",1,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District","Western Tidewater","Correctional Facility",2,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District",Chesapeake,"Healthcare Setting",3,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District",Norfolk,"Educational Setting",1,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District","West Piedmont","Long Term Care Facilities",4,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District","Cumberland Plateau","Educational Setting",1,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District","Eastern Shore","Congregate Setting",6,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District",Chesapeake,"Congregate Setting",9,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District","Central Shenandoah","Healthcare Setting",1,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District",Roanoke,"Long Term Care Facilities",1,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District",Crater,"Correctional Facility",4,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District",Norfolk,"Long Term Care Facilities",10,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District",Chesapeake,"Long Term Care Facilities",10,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District","Prince William","Correctional Facility",1,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District","Three Rivers","Congregate Setting",3,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District","Central Shenandoah","Long Term Care Facilities",7,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District",Loudoun,"Healthcare Setting",1,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District","Prince William","Congregate Setting",1,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District","Lord Fairfax","Congregate Setting",11,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District",Lenowisco,"Correctional Facility",2,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District",Rappahannock,"Healthcare Setting",2,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District",Portsmouth,"Long Term Care Facilities",6,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District","Three Rivers","Long Term Care Facilities",2,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District",Henrico,"Long Term Care Facilities",17,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District","Lord Fairfax","Long Term Care Facilities",12,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District","Western Tidewater","Long Term Care Facilities",9,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District","Cumberland Plateau","Congregate Setting",2,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District","Eastern Shore","Long Term Care Facilities",4,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District",Norfolk,"Correctional Facility",1,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District",Chesterfield,"Congregate Setting",5,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District","Lord Fairfax","Correctional Facility",1,"Not provided at this time","Not provided at this time"
7/20/2020,"Health District",Alexandria,"Congregate Setting",3,"Not provided at this time","Not provided at this time"
