Locality,Facility,Facility Type,Status,Date VDH Notified,Deaths,Cases
Accomack,Shore Healthcare and Rehab Center,Nursing Home,Outbreak in Progress,2020-05-04,0,12
Albemarle,Heritage Inn,Assisted Living,Outbreak in Progress,2020-06-30,0,*
Albemarle,Our Lady of Peace,Multicare,Pending Closure,2020-04-21,9,56
Albemarle,Westminster Canterbury of The Blue Ridge NH,Multicare,Outbreak Closed,2020-05-04,0,*
Alexandria,Envoy of Alexandria,Nursing Home,Pending Closure,2020-04-03,10,56
Alexandria,Goodwin House - Alexandria,Assisted Living,Outbreak in Progress,2020-06-30,0,14
Alexandria,Hermitage in Northern Virginia,Multicare,Pending Closure,2020-04-16,5,30
Alexandria,Silverado,Assisted Living,Pending Closure,2020-04-11,9,30
Alexandria,Sunrise of Alexandria,Assisted Living,Pending Closure,2020-04-30,*,19
Alexandria,The Fountains at Washington House,Multicare,Pending Closure,2020-04-24,*,27
Alexandria,Woodbine Rehabilitation & Healthcare Center,Nursing Home,Outbreak in Progress,2020-04-17,*,40
Arlington,Brookdale Assisted Living,Multicare,Pending Closure,2020-03-28,10,49
Arlington,Cherrydale Health & Rehabilitation Center,Multicare,Outbreak Closed,2020-04-09,28,144
Arlington,Culpepper Garden,Assisted Living,Outbreak in Progress,2020-06-05,0,*
Arlington,Manor Care Health Services - Arlington,Nursing Home,Pending Closure,2020-04-08,17,86
Arlington,Regency Care of Arlington,Nursing Home,Pending Closure,2020-04-08,30,137
Arlington,Sunrise at Bluemont Park,Assisted Living,Outbreak in Progress,2020-05-15,*,14
Arlington,Sunrise of Arlington,Assisted Living,Pending Closure,2020-05-19,*,21
Arlington,The Jefferson,Multicare,Pending Closure,2020-04-04,9,38
Augusta,Golden Gardens Residential Living,Assisted Living,Pending Closure,2020-05-06,0,*
Bedford,Oakwood Manor Nursing Home,Nursing Home,Outbreak in Progress,2020-05-27,0,*
Botetourt,Carrington Place at Botetourt,Nursing Home,Outbreak in Progress,2020-06-24,0,13
Carroll,Hillsville Health and Rehab,Nursing Home,Pending Closure,2020-05-14,7,65
Chesapeake,Autum Care of Chesapeake,Nursing Home,Outbreak Closed,2020-04-13,*,39
Chesapeake,Cedar Manor,Assisted Living,Outbreak Closed,2020-04-17,*,16
Chesapeake,Chesapeake Health and Rehab Center,Nursing Home,Outbreak in Progress,2020-06-15,*,*
Chesapeake,Greenbrier Regional Medical Center,Nursing Home,Outbreak in Progress,2020-06-09,*,26
Chesapeake,Harmony at Oakbrooke,Assisted Living,Outbreak Closed,2020-04-29,*,11
Chesapeake,Sentara Nursing Center - Chesapeake,Nursing Home,Outbreak Closed,2020-04-23,0,*
Chesapeake,Sentara Nursing Center - Chesapeake,Nursing Home,Outbreak Closed,2020-04-05,0,5
Chesapeake,Virginia Home for Adults,Assisted Living,Outbreak in Progress,2020-06-15,0,*
Chesterfield,Brandermill Woods,Multicare,Outbreak Closed,2020-04-30,7,39
Chesterfield,Elmcroft of Chesterfield,Assisted Living,Outbreak in Progress,2020-06-24,0,*
Chesterfield,Laurels of Bon Air,Nursing Home,Outbreak Closed,2020-04-12,5,12
Chesterfield,Laurels of Willow Creek,Nursing Home,Pending Closure,2020-05-27,6,23
Chesterfield,Lucy Corr Village,Assisted Living,Outbreak Closed,2020-04-03,0,*
Chesterfield,Morningside of Bellgrade,Assisted Living,Outbreak in Progress,2020-04-14,8,31
Chesterfield,Spring Arbor of Salisbury,Assisted Living,Outbreak Closed,2020-04-02,7,37
Colonial Heights,Colonial Heights Health Care Center,Nursing Home,Pending Closure,2020-04-07,14,49
Colonial Heights,Dunlop House,Assisted Living,Outbreak Closed,2020-04-29,*,*
Danville,Brookdale Danville Piedmont,Assisted Living,Pending Closure,2020-04-16,*,*
Dinwiddie,Dinwiddie Health and Rehab Center,Nursing Home,Outbreak in Progress,2020-06-15,0,12
Emporia,Accordius Health and Rehab,Nursing Home,Pending Closure,2020-04-20,*,55
Emporia,Emporia/Greensville Manor,Nursing Home,Pending Closure,2020-05-30,*,10
Fairfax,Aarondale Retirement and Assisted Living Community,Assisted Living,Outbreak Closed,2020-04-09,0,*
Fairfax,Annandale Healthcare Center,Nursing Home,Outbreak in Progress,2020-04-09,55,156
Fairfax,Arbor Terrace at Herndon,Assisted Living,Outbreak in Progress,2020-05-12,*,5
Fairfax,Arbor Terrace Memory Care,Assisted Living,Outbreak Closed,2020-04-15,8,19
Fairfax,Arden Courts of Annandale,Assisted Living,Outbreak Closed,2020-04-09,5,13
Fairfax,Arden Courts of Fair Oaks,Assisted Living,Pending Closure,2020-04-17,*,5
Fairfax,Arleigh Burke Pavilion,Multicare,Pending Closure,2020-04-15,7,46
Fairfax,Bright View Woodburn,Assisted Living,Pending Closure,2020-04-28,10,29
Fairfax,Brightview of Great Falls,Assisted Living,Outbreak Closed,2020-04-24,*,7
Fairfax,Burke Health Care Center,Nursing Home,Outbreak Closed,2020-04-09,22,129
Fairfax,Chesterbrook Residences,Assisted Living,Pending Closure,2020-04-07,7,31
Fairfax,Dulles Health & Rehab,Nursing Home,Outbreak Closed,2020-03-29,22,101
Fairfax,Fairfax Nursing and Rehabilitation Center,Nursing Home,Pending Closure,2020-04-17,12,71
Fairfax,Gardens at Fair Oaks,Assisted Living,Pending Closure,2020-05-21,*,14
Fairfax,Goodwin House - Bailey's Crossroads,Multicare,Pending Closure,2020-04-24,*,28
Fairfax,Great Falls Assisted Living,Assisted Living,Outbreak Closed,2020-04-17,6,19
Fairfax,Greenspring Village Assisted Living,Multicare,Pending Closure,2020-04-17,20,68
Fairfax,Harmony at Chantilly,Assisted Living,Pending Closure,2020-05-01,*,19
Fairfax,Harmony at Spring Hill,Assisted Living,Outbreak in Progress,2020-05-12,0,*
Fairfax,Heatherwood Retirement Community,Assisted Living,Pending Closure,2020-04-11,11,50
Fairfax,Hunter's Woods at Trails Edge,Multicare,Pending Closure,2020-06-04,*,10
Fairfax,Iliff Nursing and Rehabilitation Center,Nursing Home,Outbreak Closed,2020-04-09,12,78
Fairfax,Larmax Homes,Assisted Living,Pending Closure,2020-04-17,*,17
Fairfax,Leewood Healthcare Center,Multicare,Outbreak Closed,2020-05-28,*,*
Fairfax,Leewood Healthcare Center,Multicare,Outbreak in Progress,2020-04-09,35,114
Fairfax,ManorCare Health Services-Alexandria,Nursing Home,Outbreak in Progress,2020-04-24,7,79
Fairfax,ManorCare Health Services-Fair Oaks,Nursing Home,Pending Closure,2020-05-04,12,136
Fairfax,Mount Vernon Nursing and Rehabilitation Center,Nursing Home,Outbreak in Progress,2020-04-09,15,79
Fairfax,Powhatan Nursing Home,Nursing Home,Outbreak Closed,2020-05-12,0,*
Fairfax,Renaissance of Annandale,Assisted Living,Outbreak Closed,2020-05-12,*,27
Fairfax,Spring Hills Mount Vernon,Assisted Living,Outbreak in Progress,2020-05-12,0,*
Fairfax,Stevenson's Place,Assisted Living,Outbreak Closed,2020-06-04,0,*
Fairfax,Sunrise Assisted Living of McLean,Assisted Living,Outbreak Closed,2020-03-20,14,59
Fairfax,Sunrise at Mount Vernon,Assisted Living,Outbreak Closed,2020-04-07,*,16
