Locality,Facility,Facility Type,Status,Date VDH Notified,Cases,Deaths,Active,FIPS,Report Date
Accomack,Shore Healthcare and Rehab Center,Nursing Home,Outbreak Closed,2020-05-04,15,0,0,51001,2020-08-30
Albemarle,Albemarle Health and Rehabilitation Center,Nursing Home,Outbreak Pending Closure,2020-07-10,6,0,0,51003,2020-08-30
Albemarle,Charlottesville Health and Rehab Center,Nursing Home,Outbreak in Progress,2020-08-04,17,0,1,51003,2020-08-30
Albemarle,Heritage Inn,Assisted Living,Outbreak Pending Closure,2020-06-30,53,*,0,51003,2020-08-30
Albemarle,Monroe Health & Rehabilitation Center,Multicare,Outbreak in Progress,2020-08-18,8,0,1,51003,2020-08-30
Albemarle,Our Lady of Peace,Multicare,Outbreak Pending Closure,2020-04-21,56,10,0,51003,2020-08-30
Albemarle,The Colonnades,Nursing Home,Outbreak in Progress,2020-08-14,8,0,1,51003,2020-08-30
Albemarle,Westminster Canterbury of The Blue Ridge NH,Multicare,Outbreak Closed,2020-05-04,*,0,0,51003,2020-08-30
Albemarle,Westminster Canterbury of The Blue Ridge NH,Multicare,Outbreak in Progress,2020-08-14,*,0,1,51003,2020-08-30
Alexandria,Envoy of Alexandria,Nursing Home,Outbreak Pending Closure,2020-04-03,56,10,0,51510,2020-08-30
Alexandria,Goodwin House - Alexandria,Assisted Living,Outbreak in Progress,2020-06-30,14,0,1,51510,2020-08-30
Alexandria,Hermitage in Northern Virginia,Multicare,Outbreak Pending Closure,2020-04-16,30,5,0,51510,2020-08-30
Alexandria,Silverado,Assisted Living,Outbreak Pending Closure,2020-04-11,31,10,0,51510,2020-08-30
Alexandria,Sunrise of Alexandria,Assisted Living,Outbreak Pending Closure,2020-04-30,22,5,0,51510,2020-08-30
Alexandria,The Fountains at Washington House,Multicare,Outbreak Pending Closure,2020-04-24,28,*,0,51510,2020-08-30
Alexandria,Woodbine Rehabilitation & Healthcare Center,Nursing Home,Outbreak in Progress,2020-04-17,55,*,1,51510,2020-08-30
Amelia,Wellspring at Amelia,Nursing Home,Outbreak Pending Closure,2020-07-17,14,*,0,51007,2020-08-30
