Locality,Facility,Facility Type,Status,Date VDH Notified,Cases,Deaths,Active,FIPS
Accomack,Shore Healthcare and Rehab Center,Nursing Home,Outbreak in Progress,2020-05-04,12,0,1,51001
Albemarle,Albemarle Health and Rehabilitation Center,Nursing Home,Outbreak in Progress,2020-07-10,6,0,1,51003
Albemarle,Heritage Inn,Assisted Living,Outbreak in Progress,2020-06-30,*,0,1,51003
Albemarle,Our Lady of Peace,Multicare,Outbreak Pending Closure,2020-04-21,56,10,0,51003
Albemarle,Westminster Canterbury of The Blue Ridge NH,Multicare,Outbreak Closed,2020-05-04,*,0,0,51003
Alexandria,Envoy of Alexandria,Nursing Home,Outbreak Pending Closure,2020-04-03,56,10,0,51510
Alexandria,Goodwin House - Alexandria,Assisted Living,Outbreak in Progress,2020-06-30,14,0,1,51510
Alexandria,Hermitage in Northern Virginia,Multicare,Outbreak Pending Closure,2020-04-16,30,5,0,51510
Alexandria,Silverado,Assisted Living,Outbreak Pending Closure,2020-04-11,30,9,0,51510
Alexandria,Sunrise of Alexandria,Assisted Living,Outbreak Pending Closure,2020-04-30,21,*,0,51510
Alexandria,The Fountains at Washington House,Multicare,Outbreak Pending Closure,2020-04-24,27,*,0,51510
Alexandria,Woodbine Rehabilitation & Healthcare Center,Nursing Home,Outbreak Pending Closure,2020-04-17,40,*,0,51510
Arlington,Brookdale Assisted Living,Multicare,Outbreak Closed,2020-03-28,49,10,0,51013
Arlington,Cherrydale Health & Rehabilitation Center,Multicare,Outbreak Closed,2020-04-09,144,28,0,51013
Arlington,Culpepper Garden,Assisted Living,Outbreak Closed,2020-06-05,*,0,0,51013
Arlington,Manor Care Health Services - Arlington,Nursing Home,Outbreak Pending Closure,2020-04-08,86,19,0,51013
Arlington,Regency Care of Arlington,Nursing Home,Outbreak Pending Closure,2020-04-08,137,30,0,51013
Arlington,Sunrise at Bluemont Park,Assisted Living,Outbreak in Progress,2020-05-15,16,*,1,51013
Arlington,Sunrise of Arlington,Assisted Living,Outbreak in Progress,2020-05-19,21,*,1,51013
Arlington,The Jefferson,Multicare,Outbreak Pending Closure,2020-04-04,38,9,0,51013
Augusta,Golden Gardens Residential Living,Assisted Living,Outbreak Pending Closure,2020-05-06,*,0,0,51015
Bedford,Oakwood Manor Nursing Home,Nursing Home,Outbreak in Progress,2020-05-27,*,0,1,51019
Botetourt,Carrington Place at Botetourt,Nursing Home,Outbreak in Progress,2020-06-24,13,0,1,51023
