Ship Date,FIPS,Locality,Health District,Facility Type,Vaccine Manufacturer,Dose Number,Vaccine Doses Shipped Count
2021-02-07,51720,Norton,Lenowisco,Hospitals,Moderna,1,200
2021-01-28,51630,Fredericksburg,Rappahannock,Hospitals,Moderna,2,2000
2021-02-07,51590,Danville,Pittsylvania-Danville,Local Health Departments,Moderna,1,300
2021-01-23,51683,Manassas City,Prince William,Hospitals,Pfizer,1,975
2021-01-03,51187,Warren,Lord Fairfax,Local Health Departments,Moderna,1,200
2020-12-28,51760,Richmond City,Richmond,Local Health Departments,Moderna,1,900
2021-02-01,51089,Henry,West Piedmont,Pharmacies,Moderna,1,100
2021-02-04,51067,Franklin County,West Piedmont,Local Health Departments,Moderna,2,200
2021-01-24,51183,Sussex,Crater,Local Health Departments,Moderna,1,700
2021-01-03,51107,Loudoun,Loudoun,Local Health Departments,Moderna,1,2000
2020-12-28,51630,Fredericksburg,Rappahannock,Hospitals,Moderna,1,6000
2021-02-01,51041,Chesterfield,Chesterfield,Local Health Departments,Moderna,1,1400
2021-02-01,51067,Franklin County,West Piedmont,Medical Practices,Moderna,1,100
2021-01-30,51107,Loudoun,Loudoun,Local Health Departments,Pfizer,1,2925
2021-02-07,51195,Wise,Lenowisco,Local Health Departments,Moderna,2,500
2021-01-18,51195,Wise,Lenowisco,Local Health Departments,Moderna,1,600
2021-02-04,51840,Winchester,Lord Fairfax,Hospitals,Moderna,2,3800
2021-02-06,51710,Norfolk,Norfolk,Medical Practices,Pfizer,2,975
2021-02-04,51041,Chesterfield,Chesterfield,Pharmacies,Moderna,2,600
2021-02-04,51700,Newport News,Peninsula,Hospitals,Moderna,2,1600
2021-01-11,51013,Arlington,Arlington,Local Health Departments,Moderna,2,1000
2021-01-10,51147,Prince Edward,Piedmont,Local Health Departments,Moderna,1,1000
2021-02-07,51630,Fredericksburg,Rappahannock,Local Health Departments,Moderna,1,1800
2021-01-11,51199,York,Peninsula,Hospitals,Moderna,2,2000
2021-02-04,51013,Arlington,Arlington,Local Health Departments,Moderna,2,1400
2021-01-18,51760,Richmond City,Richmond,Pharmacies,Moderna,1,3000
2021-02-02,51041,Chesterfield,Chesterfield,Other Community Health Providers,Pfizer,1,1950
2021-01-11,51061,Fauquier,Rappahannock Rapidan,Hospitals,Moderna,2,1000
2021-02-01,Not Reported,Not Reported,Not Reported,Medical Practices,Moderna,1,100
2021-02-08,51059,Fairfax,Fairfax,Pharmacies,Moderna,1,200
2021-02-07,51107,Loudoun,Loudoun,Local Health Departments,Moderna,1,1500
2020-12-22,51173,Smyth,Mount Rogers,Hospitals,Moderna,1,500
2021-01-11,51117,Mecklenburg,Southside,Hospitals,Moderna,2,1000
2020-12-22,51041,Chesterfield,Chesterfield,Hospitals,Moderna,1,1000
2021-01-03,51153,Prince William,Prince William,Local Health Departments,Moderna,1,5000
2021-02-04,51169,Scott,Lenowisco,Pharmacies,Moderna,2,100
2021-01-24,51145,Powhatan,Chesterfield,Other Community Health Providers,Moderna,1,100
2021-01-10,51740,Portsmouth,Portsmouth,Local Health Departments,Moderna,1,600
2021-01-18,51107,Loudoun,Loudoun,Other Community Health Providers,Moderna,1,100
2021-02-08,51810,Virginia Beach,Virginia Beach,Medical Practices,Moderna,1,500
2021-02-07,51027,Buchanan,Cumberland Plateau,Other Community Health Providers,Moderna,1,100
2021-02-01,51760,Richmond City,Richmond,Local Health Departments,Moderna,1,300
2021-01-30,51510,Alexandria,Alexandria,Local Health Departments,Pfizer,1,975
2020-12-30,51013,Arlington,Arlington,Hospitals,Pfizer,1,2925
2020-12-30,51690,Martinsville,West Piedmont,Hospitals,Pfizer,1,975
2021-02-07,51083,Halifax,Southside,Other Community Health Providers,Moderna,1,100
2021-01-10,51800,Suffolk,Western Tidewater,Local Health Departments,Moderna,1,400
2021-02-01,51145,Powhatan,Chesterfield,Other Community Health Providers,Moderna,1,200
2021-01-20,51550,Chesapeake,Chesapeake,Local Health Departments,Moderna,2,400
2021-02-04,51730,Petersburg,Crater,Local Health Departments,Moderna,2,500
2021-01-30,51059,Fairfax,Fairfax,Hospitals,Pfizer,2,14625
