"﻿Report Date","Health District",Ethnicity,"Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-05-13,Southside,"Not Reported",126,21,8
2020-05-13,"Lord Fairfax","Hispanic or Latino",178,15,3
2020-05-13,"Eastern Shore","Not Hispanic or Latino",564,31,10
2020-05-13,Portsmouth,"Hispanic or Latino",6,2,0
2020-05-13,Fairfax,"Not Reported",1758,94,81
2020-05-13,Richmond,"Hispanic or Latino",119,19,1
2020-05-13,Chesapeake,"Not Reported",91,7,0
2020-05-13,Arlington,"Hispanic or Latino",350,109,6
2020-05-13,"West Piedmont","Not Hispanic or Latino",46,7,1
2020-05-13,Fairfax,"Not Hispanic or Latino",1893,503,163
2020-05-13,Piedmont,"Hispanic or Latino",18,0,0
2020-05-13,Crater,"Not Hispanic or Latino",153,44,7
2020-05-13,Chickahominy,"Not Hispanic or Latino",152,52,20
2020-05-13,"New River","Not Hispanic or Latino",54,12,1
2020-05-13,"Lord Fairfax","Not Reported",206,10,5
2020-05-13,Rappahannock,"Not Reported",288,20,1
2020-05-13,"Central Shenandoah","Not Reported",213,3,5
2020-05-13,"Central Virginia","Not Hispanic or Latino",57,11,1
2020-05-13,Lenowisco,"Not Hispanic or Latino",23,11,2
2020-05-13,"Cumberland Plateau","Not Hispanic or Latino",15,2,0
2020-05-13,"Western Tidewater","Not Hispanic or Latino",307,54,26
2020-05-13,"New River","Not Reported",31,0,0
2020-05-13,Chesterfield,"Not Reported",584,17,18
2020-05-13,Chesterfield,"Hispanic or Latino",107,4,0
2020-05-13,Hampton,"Not Hispanic or Latino",108,28,3
2020-05-13,Chesapeake,"Not Hispanic or Latino",246,63,8
2020-05-13,Peninsula,"Hispanic or Latino",32,7,1
2020-05-13,Arlington,"Not Reported",747,82,15
2020-05-13,Roanoke,"Not Hispanic or Latino",68,7,1
2020-05-13,"Lord Fairfax","Not Hispanic or Latino",386,47,20
2020-05-13,"Eastern Shore","Hispanic or Latino",120,3,2
2020-05-13,"Mount Rogers","Not Reported",18,2,0
2020-05-13,"Three Rivers","Not Hispanic or Latino",205,19,2
2020-05-13,"Thomas Jefferson","Not Reported",33,0,0
2020-05-13,"Three Rivers","Not Reported",122,9,3
2020-05-13,Arlington,"Not Hispanic or Latino",363,109,48
2020-05-13,Alleghany,"Not Hispanic or Latino",101,17,3
2020-05-13,Loudoun,"Not Reported",449,6,5
2020-05-13,Fairfax,"Hispanic or Latino",3097,417,25
2020-05-13,Peninsula,"Not Reported",87,3,2
2020-05-13,Crater,"Hispanic or Latino",13,1,0
2020-05-13,Piedmont,"Not Hispanic or Latino",226,25,3
2020-05-13,Henrico,"Hispanic or Latino",65,15,3
2020-05-13,Alexandria,"Not Hispanic or Latino",412,78,24
2020-05-13,"Central Virginia","Hispanic or Latino",14,1,1
2020-05-13,Alleghany,"Not Reported",41,2,0
2020-05-13,"Cumberland Plateau","Hispanic or Latino",0,0,0
2020-05-13,"Western Tidewater","Hispanic or Latino",3,0,0
2020-05-13,Chesterfield,"Not Hispanic or Latino",264,49,18
2020-05-13,Pittsylvania-Danville,"Not Hispanic or Latino",45,17,2
2020-05-13,"Mount Rogers","Hispanic or Latino",82,0,0
2020-05-13,Richmond,"Not Reported",176,14,1
2020-05-13,Peninsula,"Not Hispanic or Latino",335,98,27
2020-05-13,Chesapeake,"Hispanic or Latino",17,5,1
2020-05-13,Southside,"Hispanic or Latino",1,0,0
2020-05-13,"Thomas Jefferson","Not Hispanic or Latino",303,64,13
2020-05-13,Norfolk,"Not Hispanic or Latino",232,46,5
2020-05-13,Portsmouth,"Not Reported",110,8,2
2020-05-13,Norfolk,"Not Reported",62,1,0
2020-05-13,"Three Rivers","Hispanic or Latino",23,0,0
2020-05-13,"Eastern Shore","Not Reported",35,0,0
2020-05-13,Alleghany,"Hispanic or Latino",11,4,0
2020-05-13,Henrico,"Not Reported",487,31,23
2020-05-13,Henrico,"Not Hispanic or Latino",594,120,86
2020-05-13,Loudoun,"Not Hispanic or Latino",461,82,30
2020-05-13,Hampton,"Not Reported",31,1,0
2020-05-13,"Rappahannock Rapidan","Not Hispanic or Latino",123,17,7
2020-05-13,Alexandria,"Not Reported",299,7,3
2020-05-13,Rappahannock,"Not Hispanic or Latino",283,59,12
2020-05-13,"Western Tidewater","Not Reported",181,2,1
2020-05-13,"Cumberland Plateau","Not Reported",13,0,0
2020-05-13,Alexandria,"Hispanic or Latino",594,63,4
2020-05-13,"Virginia Beach","Not Hispanic or Latino",377,73,16
2020-05-13,"Prince William","Hispanic or Latino",1357,219,16
2020-05-13,"Virginia Beach","Not Reported",111,7,1
2020-05-13,"Central Shenandoah","Hispanic or Latino",469,26,2
2020-05-13,Pittsylvania-Danville,"Hispanic or Latino",0,0,0
2020-05-13,"Mount Rogers","Not Hispanic or Latino",103,15,4
2020-05-13,Piedmont,"Not Reported",238,11,2
2020-05-13,Southside,"Not Hispanic or Latino",56,8,5
2020-05-13,"Thomas Jefferson","Hispanic or Latino",24,1,0
2020-05-13,Pittsylvania-Danville,"Not Reported",13,4,0
2020-05-13,Norfolk,"Hispanic or Latino",33,5,0
2020-05-13,Portsmouth,"Not Hispanic or Latino",97,29,7
2020-05-13,"West Piedmont","Not Reported",17,3,0
2020-05-13,Richmond,"Not Hispanic or Latino",297,69,16
2020-05-13,"West Piedmont","Hispanic or Latino",3,0,0
2020-05-13,"Prince William","Not Reported",1745,15,3
2020-05-13,"Rappahannock Rapidan","Not Reported",204,7,1
2020-05-13,Chickahominy,"Hispanic or Latino",11,2,0
2020-05-13,Lenowisco,"Not Reported",19,4,2
2020-05-13,"New River","Hispanic or Latino",2,0,0
2020-05-13,Crater,"Not Reported",151,27,7
2020-05-13,Chickahominy,"Not Reported",151,15,4
2020-05-13,Loudoun,"Hispanic or Latino",373,41,3
2020-05-13,"Rappahannock Rapidan","Hispanic or Latino",265,24,3
2020-05-13,Roanoke,"Not Reported",31,0,0
2020-05-13,Rappahannock,"Hispanic or Latino",267,43,1
2020-05-13,Lenowisco,"Hispanic or Latino",0,0,0
2020-05-13,"Virginia Beach","Hispanic or Latino",31,5,1
2020-05-13,"Prince William","Not Hispanic or Latino",690,142,53
2020-05-13,"Central Virginia","Not Reported",96,3,0
2020-05-13,"Central Shenandoah","Not Hispanic or Latino",432,45,17
2020-05-13,Hampton,"Hispanic or Latino",9,0,0
2020-05-13,Roanoke,"Hispanic or Latino",17,0,0
