"﻿Report Date","Geography Type","Geography Name",FacilityTypeGroup,"Number of Outbreaks","Number of Outbreak Associated Cases","Number of Outbreak Associated Deaths"
5/12/2020,"Health District",Chesterfield,Other,0,"Not provided at this time","Not provided at this time"
5/12/2020,"Health District",Richmond,"Healthcare Setting",0,"Not provided at this time","Not provided at this time"
5/12/2020,"Health District","Cumberland Plateau",Other,0,"Not provided at this time","Not provided at this time"
5/12/2020,"Health District","Cumberland Plateau","Healthcare Setting",0,"Not provided at this time","Not provided at this time"
5/12/2020,"Health District",Lenowisco,"Educational Setting",0,"Not provided at this time","Not provided at this time"
5/12/2020,"Health District",Chesterfield,"Healthcare Setting",0,"Not provided at this time","Not provided at this time"
5/12/2020,"Health District",Loudoun,"Educational Setting",0,"Not provided at this time","Not provided at this time"
5/12/2020,"Health District",Chesapeake,Other,0,"Not provided at this time","Not provided at this time"
5/12/2020,"Health District","West Piedmont","Healthcare Setting",0,"Not provided at this time","Not provided at this time"
5/12/2020,"Health District","Mount Rogers","Correctional Facility",0,"Not provided at this time","Not provided at this time"
5/12/2020,"Health District",Crater,"Healthcare Setting",0,"Not provided at this time","Not provided at this time"
5/12/2020,"Health District","Cumberland Plateau","Correctional Facility",0,"Not provided at this time","Not provided at this time"
5/12/2020,"Health District","Eastern Shore",Other,0,"Not provided at this time","Not provided at this time"
5/12/2020,"Health District","Eastern Shore","Educational Setting",0,"Not provided at this time","Not provided at this time"
5/12/2020,"Health District",Richmond,"Correctional Facility",0,"Not provided at this time","Not provided at this time"
5/12/2020,"Health District",Rappahannock,"Healthcare Setting",0,"Not provided at this time","Not provided at this time"
5/12/2020,"Health District",Piedmont,"Educational Setting",0,"Not provided at this time","Not provided at this time"
5/12/2020,"Health District",Chesapeake,"Educational Setting",0,"Not provided at this time","Not provided at this time"
5/12/2020,"Health District",Rappahannock,"Correctional Facility",0,"Not provided at this time","Not provided at this time"
5/12/2020,"Health District","Central Virginia","Correctional Facility",0,"Not provided at this time","Not provided at this time"
5/12/2020,"Health District",Loudoun,"Healthcare Setting",0,"Not provided at this time","Not provided at this time"
5/12/2020,"Health District",Piedmont,"Congregate Setting",0,"Not provided at this time","Not provided at this time"
5/12/2020,"Health District",Portsmouth,Other,0,"Not provided at this time","Not provided at this time"
5/12/2020,"Health District","West Piedmont","Long Term Care Facilities",0,"Not provided at this time","Not provided at this time"
5/12/2020,"Health District",Lenowisco,Other,0,"Not provided at this time","Not provided at this time"
5/12/2020,"Health District",Southside,"Educational Setting",0,"Not provided at this time","Not provided at this time"
5/12/2020,"Health District",Peninsula,Other,0,"Not provided at this time","Not provided at this time"
5/12/2020,"Health District","Prince William",Other,0,"Not provided at this time","Not provided at this time"
5/12/2020,"Health District",Alexandria,"Healthcare Setting",0,"Not provided at this time","Not provided at this time"
5/12/2020,"Health District",Roanoke,Other,0,"Not provided at this time","Not provided at this time"
5/12/2020,"Health District","Virginia Beach","Educational Setting",0,"Not provided at this time","Not provided at this time"
5/12/2020,"Health District","New River","Educational Setting",0,"Not provided at this time","Not provided at this time"
5/12/2020,"Health District",Crater,Other,0,"Not provided at this time","Not provided at this time"
5/12/2020,"Health District","Thomas Jefferson","Educational Setting",0,"Not provided at this time","Not provided at this time"
5/12/2020,"Health District","New River","Healthcare Setting",0,"Not provided at this time","Not provided at this time"
5/12/2020,"Health District",Alleghany,"Educational Setting",0,"Not provided at this time","Not provided at this time"
5/12/2020,"Health District",Arlington,Other,0,"Not provided at this time","Not provided at this time"
5/12/2020,"Health District","Central Virginia","Long Term Care Facilities",0,"Not provided at this time","Not provided at this time"
5/12/2020,"Health District",Richmond,Other,0,"Not provided at this time","Not provided at this time"
5/12/2020,"Health District",Arlington,"Correctional Facility",0,"Not provided at this time","Not provided at this time"
5/12/2020,"Health District",Loudoun,"Correctional Facility",0,"Not provided at this time","Not provided at this time"
5/12/2020,"Health District",Alleghany,Other,0,"Not provided at this time","Not provided at this time"
5/12/2020,"Health District",Hampton,"Healthcare Setting",0,"Not provided at this time","Not provided at this time"
5/12/2020,"Health District","Thomas Jefferson","Healthcare Setting",0,"Not provided at this time","Not provided at this time"
5/12/2020,"Health District",Piedmont,"Healthcare Setting",0,"Not provided at this time","Not provided at this time"
5/12/2020,"Health District","Rappahannock Rapidan","Long Term Care Facilities",0,"Not provided at this time","Not provided at this time"
5/12/2020,"Health District",Pittsylvania-Danville,"Educational Setting",0,"Not provided at this time","Not provided at this time"
5/12/2020,"Health District","Western Tidewater","Congregate Setting",0,"Not provided at this time","Not provided at this time"
5/12/2020,"Health District",Lenowisco,"Long Term Care Facilities",0,"Not provided at this time","Not provided at this time"
5/12/2020,"Health District",Lenowisco,"Healthcare Setting",0,"Not provided at this time","Not provided at this time"
5/12/2020,"Health District",Pittsylvania-Danville,"Congregate Setting",0,"Not provided at this time","Not provided at this time"
5/12/2020,"Health District","Lord Fairfax","Educational Setting",0,"Not provided at this time","Not provided at this time"
5/12/2020,"Health District","Thomas Jefferson",Other,0,"Not provided at this time","Not provided at this time"
5/12/2020,"Health District","Central Shenandoah",Other,0,"Not provided at this time","Not provided at this time"
5/12/2020,"Health District","West Piedmont","Educational Setting",0,"Not provided at this time","Not provided at this time"
5/12/2020,"Health District","Western Tidewater",Other,0,"Not provided at this time","Not provided at this time"
5/12/2020,"Health District","Prince William","Healthcare Setting",0,"Not provided at this time","Not provided at this time"
5/12/2020,"Health District","Central Virginia","Healthcare Setting",0,"Not provided at this time","Not provided at this time"
5/12/2020,"Health District","Mount Rogers",Other,0,"Not provided at this time","Not provided at this time"
5/12/2020,"Health District",Chesterfield,"Educational Setting",0,"Not provided at this time","Not provided at this time"
5/12/2020,"Health District","New River","Correctional Facility",0,"Not provided at this time","Not provided at this time"
5/12/2020,"Health District","Virginia Beach",Other,0,"Not provided at this time","Not provided at this time"
5/12/2020,"Health District","Rappahannock Rapidan","Educational Setting",0,"Not provided at this time","Not provided at this time"
5/12/2020,"Health District",Norfolk,"Educational Setting",0,"Not provided at this time","Not provided at this time"
5/12/2020,"Health District",Fairfax,"Congregate Setting",0,"Not provided at this time","Not provided at this time"
5/12/2020,"Health District",Roanoke,"Correctional Facility",0,"Not provided at this time","Not provided at this time"
5/12/2020,"Health District",Pittsylvania-Danville,"Healthcare Setting",0,"Not provided at this time","Not provided at this time"
5/12/2020,"Health District",Henrico,Other,0,"Not provided at this time","Not provided at this time"
5/12/2020,"Health District",Roanoke,"Healthcare Setting",0,"Not provided at this time","Not provided at this time"
5/12/2020,"Health District","Lord Fairfax",Other,0,"Not provided at this time","Not provided at this time"
5/12/2020,"Health District","Three Rivers","Healthcare Setting",0,"Not provided at this time","Not provided at this time"
5/12/2020,"Health District",Crater,"Educational Setting",0,"Not provided at this time","Not provided at this time"
5/12/2020,"Health District","Central Virginia","Educational Setting",0,"Not provided at this time","Not provided at this time"
5/12/2020,"Health District","Prince William","Correctional Facility",0,"Not provided at this time","Not provided at this time"
5/12/2020,"Health District","West Piedmont","Correctional Facility",0,"Not provided at this time","Not provided at this time"
5/12/2020,"Health District","Central Virginia",Other,0,"Not provided at this time","Not provided at this time"
5/12/2020,"Health District",Chickahominy,Other,0,"Not provided at this time","Not provided at this time"
5/12/2020,"Health District",Norfolk,"Healthcare Setting",0,"Not provided at this time","Not provided at this time"
5/12/2020,"Health District",Roanoke,"Congregate Setting",0,"Not provided at this time","Not provided at this time"
5/12/2020,"Health District","Three Rivers",Other,0,"Not provided at this time","Not provided at this time"
5/12/2020,"Health District","Eastern Shore","Correctional Facility",0,"Not provided at this time","Not provided at this time"
5/12/2020,"Health District",Rappahannock,"Educational Setting",0,"Not provided at this time","Not provided at this time"
5/12/2020,"Health District",Roanoke,"Educational Setting",0,"Not provided at this time","Not provided at this time"
5/12/2020,"Health District","Eastern Shore","Healthcare Setting",0,"Not provided at this time","Not provided at this time"
5/12/2020,"Health District","Western Tidewater","Healthcare Setting",0,"Not provided at this time","Not provided at this time"
5/12/2020,"Health District",Southside,"Correctional Facility",0,"Not provided at this time","Not provided at this time"
5/12/2020,"Health District",Hampton,"Educational Setting",0,"Not provided at this time","Not provided at this time"
5/12/2020,"Health District",Henrico,"Educational Setting",0,"Not provided at this time","Not provided at this time"
5/12/2020,"Health District",Southside,Other,0,"Not provided at this time","Not provided at this time"
5/12/2020,"Health District","Rappahannock Rapidan",Other,0,"Not provided at this time","Not provided at this time"
5/12/2020,"Health District",Rappahannock,Other,0,"Not provided at this time","Not provided at this time"
5/12/2020,"Health District",Henrico,"Correctional Facility",0,"Not provided at this time","Not provided at this time"
5/12/2020,"Health District",Arlington,"Educational Setting",0,"Not provided at this time","Not provided at this time"
5/12/2020,"Health District",Fairfax,Other,0,"Not provided at this time","Not provided at this time"
5/12/2020,"Health District",Alexandria,"Correctional Facility",0,"Not provided at this time","Not provided at this time"
5/12/2020,"Health District","Cumberland Plateau","Long Term Care Facilities",0,"Not provided at this time","Not provided at this time"
5/12/2020,"Health District","New River",Other,0,"Not provided at this time","Not provided at this time"
5/12/2020,"Health District",Southside,"Congregate Setting",0,"Not provided at this time","Not provided at this time"
5/12/2020,"Health District","Cumberland Plateau","Congregate Setting",0,"Not provided at this time","Not provided at this time"
5/12/2020,"Health District",Hampton,"Correctional Facility",0,"Not provided at this time","Not provided at this time"
5/12/2020,"Health District",Hampton,Other,0,"Not provided at this time","Not provided at this time"
5/12/2020,"Health District",Loudoun,Other,0,"Not provided at this time","Not provided at this time"
5/12/2020,"Health District","Mount Rogers","Educational Setting",0,"Not provided at this time","Not provided at this time"
5/12/2020,"Health District","Three Rivers","Congregate Setting",0,"Not provided at this time","Not provided at this time"
5/12/2020,"Health District",Pittsylvania-Danville,"Correctional Facility",0,"Not provided at this time","Not provided at this time"
5/12/2020,"Health District","Lord Fairfax","Correctional Facility",0,"Not provided at this time","Not provided at this time"
5/12/2020,"Health District","Rappahannock Rapidan","Correctional Facility",0,"Not provided at this time","Not provided at this time"
5/12/2020,"Health District",Norfolk,Other,0,"Not provided at this time","Not provided at this time"
5/12/2020,"Health District",Alleghany,"Correctional Facility",0,"Not provided at this time","Not provided at this time"
5/12/2020,"Health District","New River","Long Term Care Facilities",0,"Not provided at this time","Not provided at this time"
5/12/2020,"Health District","Thomas Jefferson","Congregate Setting",0,"Not provided at this time","Not provided at this time"
5/12/2020,"Health District",Portsmouth,"Congregate Setting",0,"Not provided at this time","Not provided at this time"
5/12/2020,"Health District",Alexandria,Other,0,"Not provided at this time","Not provided at this time"
5/12/2020,"Health District",Henrico,"Healthcare Setting",0,"Not provided at this time","Not provided at this time"
5/12/2020,"Health District","Western Tidewater","Educational Setting",0,"Not provided at this time","Not provided at this time"
5/12/2020,"Health District",Pittsylvania-Danville,Other,0,"Not provided at this time","Not provided at this time"
5/12/2020,"Health District","West Piedmont",Other,0,"Not provided at this time","Not provided at this time"
5/12/2020,"Health District",Chickahominy,"Educational Setting",0,"Not provided at this time","Not provided at this time"
5/12/2020,"Health District",Lenowisco,"All Outbreaks",2,24,"Not provided at this time"
5/12/2020,"Health District",Chesterfield,"All Outbreaks",15,213,"Not provided at this time"
5/12/2020,"Health District",Portsmouth,"All Outbreaks",5,77,"Not provided at this time"
5/12/2020,"Health District","Western Tidewater","All Outbreaks",6,312,"Not provided at this time"
5/12/2020,"Health District","Cumberland Plateau","All Outbreaks",1,15,"Not provided at this time"
5/12/2020,"Health District","Prince William","All Outbreaks",12,100,"Not provided at this time"
5/12/2020,"Health District",Hampton,"All Outbreaks",3,42,"Not provided at this time"
5/12/2020,"Health District",Southside,"All Outbreaks",4,99,"Not provided at this time"
5/12/2020,"Health District",Henrico,"All Outbreaks",15,468,"Not provided at this time"
5/12/2020,"Health District",Alexandria,"All Outbreaks",11,93,"Not provided at this time"
5/12/2020,"Health District",Chickahominy,"All Outbreaks",10,191,"Not provided at this time"
5/12/2020,"Health District","New River","All Outbreaks",1,13,"Not provided at this time"
5/12/2020,"Health District",Fairfax,"All Outbreaks",45,1247,"Not provided at this time"
5/12/2020,"Health District","Lord Fairfax","All Outbreaks",15,280,"Not provided at this time"
5/12/2020,"Health District","Rappahannock Rapidan","All Outbreaks",3,25,"Not provided at this time"
5/12/2020,"Health District",Pittsylvania-Danville,"All Outbreaks",1,2,"Not provided at this time"
5/12/2020,"Health District",Crater,"All Outbreaks",7,76,"Not provided at this time"
5/12/2020,"Health District","Virginia Beach","All Outbreaks",9,84,"Not provided at this time"
5/12/2020,"Health District",Richmond,"All Outbreaks",8,55,"Not provided at this time"
5/12/2020,"Health District",Norfolk,"All Outbreaks",2,61,"Not provided at this time"
5/12/2020,"Health District","Thomas Jefferson","All Outbreaks",4,114,"Not provided at this time"
5/12/2020,"Health District","Eastern Shore","All Outbreaks",8,417,"Not provided at this time"
5/12/2020,"Health District","West Piedmont","All Outbreaks",1,3,"Not provided at this time"
5/12/2020,"Health District",Piedmont,"All Outbreaks",6,344,"Not provided at this time"
5/12/2020,"Health District",Peninsula,"All Outbreaks",15,111,"Not provided at this time"
5/12/2020,"Health District",Alleghany,"All Outbreaks",6,46,"Not provided at this time"
5/12/2020,"Health District",Chesapeake,"All Outbreaks",11,95,"Not provided at this time"
5/12/2020,"Health District",Rappahannock,"All Outbreaks",3,17,"Not provided at this time"
5/12/2020,"Health District","Three Rivers","All Outbreaks",2,180,"Not provided at this time"
5/12/2020,"Health District","Central Shenandoah","All Outbreaks",11,409,"Not provided at this time"
5/12/2020,"Health District","Mount Rogers","All Outbreaks",5,19,"Not provided at this time"
5/12/2020,"Health District",Loudoun,"All Outbreaks",12,181,"Not provided at this time"
5/12/2020,"Health District","Central Virginia","All Outbreaks",3,17,"Not provided at this time"
5/12/2020,"Health District",Roanoke,"All Outbreaks",1,50,"Not provided at this time"
5/12/2020,"Health District",Arlington,"All Outbreaks",12,300,"Not provided at this time"
