Facility Name,Facility Longitude,Facility Latitude,VA Confirmed,VA Deaths
(629) SE LOUISIANA VETERANS HCS,-1081.0144335600003,359.56196687999994,436,30
(526) BRONX VAMC,-517.32190223,286.08362761999996,387,33
(630) NEW YORK HHS,-961.7089847299998,529.5748519100001,338,36
(561) EAST ORANGE-VA NEW JERSEY HCS,-1633.1558194600007,896.5851193199994,288,25
(537) JESSE BROWN VAMC,-789.08741487,376.83838197,160,10
(554) ROCKY MOUNTAIN REGIONAL VAMC,-3564.253013999999,1351.3143599999999,146,1
(620) HUDSON VALLEY HCS VAMC,-1256.7490143699995,701.1673269600001,138,2
(688) WASHINGTON VA MEDICAL CENTER,-1848.2618652,934.3467287999995,137,11
(523) BOSTON HCS VAMC,-1137.7775905599997,677.2323904000002,134,6
"(553) DETROIT, MI VAMC",-747.54307152,381.19626918,132,17
(583) RICHARD L. ROUDEBUSH VAMC,-1551.35623608,716.0360956200002,120,10
(689) CONNECTICUT HCS,-1313.2316336400002,743.1184605600001,119,0
"(642) PHILADELPHIA, PA VAMC",-827.2140615200002,439.4477115599999,114,3
(556) CAPTN JAMES LOVELL FED HLT CTR,-702.8997869599999,338.4673304,113,1
(632) NORTHPORT VAMC,-879.6683986800002,490.7829847200001,110,10
(508) ATLANTA VAMC,-2276.37609282,912.6605653199998,100,5
(518) EDITH NOURSE ROGERS VAMC,-641.4540961499999,382.53314862,82,0
(546) MIAMI VAMC,-1203.2425786499998,386.85656685,77,3
"(544) COLUMBIA, SC VAMC",-1376.35172438,577.6596203899999,76,3
(541) CLEVELAND VAMC,-2285.169710319999,1162.353864559999,74,1
(506) ANN ARBOR VA MEDICAL CENTER,-585.9861024500001,296.01099472,64,3
(691) WEST LA VAMC,-3079.919581440002,885.3621649600004,64,4
(675) ORLANDO VAMC,-1544.25356441,538.96713983,63,0
(672) SAN JUAN VA MEDICAL CENTER,-991.2493501500003,275.8645497,61,0
(589) KANSAS CITY VAMC,-1606.9888061000006,664.1432652999998,57,1
(652) HUNTER HOLMES MCGUIRE HOSPITAL,-1007.1131857800002,487.48347829999994,55,3
(695) MILWAUKEE VAMC,-1319.64237045,645.2940943499999,53,3
(657) ST. LOUIS VAMC,-1985.0572387799996,850.1127377600003,52,3
(663) SEATTLE VA MEDICAL CENTER,-3180.086035880002,1236.6119942799994,52,0
(590) HAMPTON VA MEDICAL CENTER,-992.33240808,481.1988759499999,45,1
"(578) HINES, IL VAMC",-1317.61024455,627.9092427,44,3
(593) SOUTHERN NEVADA HCS,-1150.9868597,362.8298333999999,39,0
(600) LONG BEACH VAMC,-1299.31922527,371.5286132799999,37,1
(528) UPSTATE NEW YORK HCS,-1497.4599741500003,816.0731830400003,35,3
(595) LEBANON VA MEDICAL CENTER,-840.49187486,443.46309887,33,0
(664) SAN DIEGO HCS,-1875.7027691199992,525.94915888,33,0
(603) ROBLEY REX VAMC,-1199.7184934000004,535.79109248,31,3
(539) CINCINNATI,-1521.1685746800003,704.52194184,30,1
(667) SHREVEPORT VAMC,-843.50564892,292.50006741000004,30,3
(618) MINNEAPOLIS VA HCS,-2143.6889577899997,1032.7427919600002,29,3
(626) TENNESSEE VALLEY HCS,-2604.1430210999993,1084.2700599000002,29,1
(548) WEST PALM BEACH VAMC,-720.9654428699998,241.07302953000004,28,2
(549) DALLAS VA MEDICAL CENTER,-2903.786970599999,980.8232411999993,27,3
(631) VA CNTRL WSTRN MASSCHUSETS HCS,-1017.6247122999997,592.8727365400001,27,0
(598) CENTRAL ARKANSAS HCS,-1661.7951334799993,625.4100579599999,26,1
(640) PALO ALTO VA MEDICAL CENTER,-2442.7817125999995,748.0254078000002,23,1
(558) DURHAM VA MEDICAL CENTER,-1105.1222562800003,504.1366638000001,21,0
(612A4) SACRAMENTO VA MEDICAL CENTER,-2304.6378929899997,732.8700487700003,21,2
(646) PITTSBURGH VAMC UNIVERSITY DR.,-799.5960314,404.4473467,21,1
(580) HOUSTON VAMC,-1526.21989968,475.3042140799999,20,2
(605) LOMA LINDA HCS,-1524.2807322599997,442.6520065500001,18,0
(659) W.G. HEFNER SALISBURY VAMC,-965.8344051600002,428.20215,18,1
(509) AUGUSTA VAMC,-1068.2431454499997,434.57248302000016,17,1
(573) N. FLORIDA/S. GEORGIA HCS,-3046.7661436699996,1096.6235446599999,17,0
(460) WILMINGTON VA MEDICAL CENTER,-1134.0843706500002,596.0815194,16,1
(565) FAYETTEVILLE VA MEDICAL CENTER,-1893.0626971200006,842.1733288799995,16,0
(678) SOUTHERN ARIZONA VA HCS,-1775.4921193599994,514.9016470400001,16,1
(552) DAYTON,-926.7856873000001,437.24334775000005,15,0
(589A5) EKHCS TOPEKA VAMC,-2105.9482754199994,858.6008428799996,15,0
(671) AUDIE L. MURPHY MEMORIAL HOSP,-3450.328983499999,1032.7946258000006,15,2
(654) IOANNIS A. LOUGARIS VAMC,-1437.5819457599998,474.19598016000003,14,2
(662) SAN FRANCISCO VAMC,-1960.0580472,604.49867024,14,2
(693) WILKES-BARRE VAMC,-1137.5571526500003,618.72148875,14,0
(516) C.W. BILL YOUNG DEPT OF VAMC,-1076.1329502299998,361.58014450999997,13,0
(636A8) IOWA CITY HCS,-1739.41871175,791.6282251699998,13,0
(528A8) SAMUEL S. STRATTON VAMC,-1180.4197256000002,682.42254144,11,3
(614) MEMPHIS VA MEDICAL CENTER,-1800.5079624000007,702.8497612,11,0
(635) OKLAHOMA CITY VAMC,-2632.38443541,958.0261122,11,0
(650) PROVIDENCE VAMC,-571.47863848,334.67141704,11,1
(660) GEORGE E. WAHLEN VAMC,-2124.93257084,774.4075658600002,11,0
(673) TAMPA FL VAMC,-1895.8019530099996,645.47570254,11,1
(674) OLIN E. TEAGUE VET CENTER,-1654.9372256900006,528.3244138999997,11,0
(501) RAYMOND G. MURPHY VAMC,-2984.175153399998,981.5454062399997,10,0
(512) VA MARYLAND HEALTH CARE SYS,-1532.4747179999997,785.7945722,10,0
(644) PHOENIX VAMC,-2129.2522905699993,636.40039991,10,2
(649) NORTHERN ARIZONA HCS,-1799.22678768,552.82323216,10,0
(619) CENTRAL ALABAMA HCS,-1034.9595127200002,388.5587528399999,9,0
(442) CHEYENNE VA MEDICAL,-1571.8439234999996,617.18592,8,0
