"﻿Report Date","Health District",Ethnicity,"Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-05-27,Southside,"Not Reported",164,26,14
2020-05-27,"Lord Fairfax","Hispanic or Latino",292,23,4
2020-05-27,"Eastern Shore","Not Hispanic or Latino",744,60,27
2020-05-27,Portsmouth,"Hispanic or Latino",7,2,0
2020-05-27,Fairfax,"Not Reported",2611,119,114
2020-05-27,Richmond,"Hispanic or Latino",341,34,2
2020-05-27,Chesapeake,"Not Reported",106,7,0
2020-05-27,Arlington,"Hispanic or Latino",654,151,12
2020-05-27,"West Piedmont","Not Hispanic or Latino",95,13,4
2020-05-27,Fairfax,"Not Hispanic or Latino",2634,602,221
2020-05-27,Piedmont,"Hispanic or Latino",17,0,0
2020-05-27,Crater,"Not Hispanic or Latino",265,53,8
2020-05-27,Chickahominy,"Not Hispanic or Latino",198,61,27
2020-05-27,"New River","Not Hispanic or Latino",62,13,1
2020-05-27,"Lord Fairfax","Not Reported",352,23,11
2020-05-27,Rappahannock,"Not Reported",497,21,1
2020-05-27,"Central Shenandoah","Not Reported",215,5,5
2020-05-27,"Central Virginia","Not Hispanic or Latino",74,12,3
2020-05-27,Lenowisco,"Not Hispanic or Latino",23,11,2
2020-05-27,"Cumberland Plateau","Not Hispanic or Latino",18,2,0
2020-05-27,"Western Tidewater","Not Hispanic or Latino",362,62,36
2020-05-27,"New River","Not Reported",32,0,0
2020-05-27,Chesterfield,"Not Reported",852,16,18
2020-05-27,Chesterfield,"Hispanic or Latino",215,9,0
2020-05-27,Hampton,"Not Hispanic or Latino",125,29,3
2020-05-27,Chesapeake,"Not Hispanic or Latino",338,73,13
2020-05-27,Peninsula,"Hispanic or Latino",49,10,1
2020-05-27,Arlington,"Not Reported",761,72,19
2020-05-27,Roanoke,"Not Hispanic or Latino",75,9,8
2020-05-27,"Lord Fairfax","Not Hispanic or Latino",562,66,30
2020-05-27,"Eastern Shore","Hispanic or Latino",151,5,3
2020-05-27,"Mount Rogers","Not Reported",20,2,0
2020-05-27,"Three Rivers","Not Hispanic or Latino",292,24,3
2020-05-27,"Thomas Jefferson","Not Reported",61,0,0
2020-05-27,"Three Rivers","Not Reported",165,10,3
2020-05-27,Arlington,"Not Hispanic or Latino",573,148,78
2020-05-27,Alleghany,"Not Hispanic or Latino",119,17,15
2020-05-27,Loudoun,"Not Reported",1121,6,7
2020-05-27,Fairfax,"Hispanic or Latino",4936,564,41
2020-05-27,Peninsula,"Not Reported",151,3,2
2020-05-27,Crater,"Hispanic or Latino",29,1,0
2020-05-27,Piedmont,"Not Hispanic or Latino",324,31,3
2020-05-27,Henrico,"Hispanic or Latino",154,15,4
2020-05-27,Alexandria,"Not Hispanic or Latino",562,96,33
2020-05-27,"Central Virginia","Hispanic or Latino",14,1,1
2020-05-27,Alleghany,"Not Reported",52,3,1
2020-05-27,"Cumberland Plateau","Hispanic or Latino",0,0,0
2020-05-27,"Western Tidewater","Hispanic or Latino",3,0,0
2020-05-27,Chesterfield,"Not Hispanic or Latino",310,51,24
2020-05-27,Pittsylvania-Danville,"Not Hispanic or Latino",59,19,3
2020-05-27,"Mount Rogers","Hispanic or Latino",126,0,0
2020-05-27,Richmond,"Not Reported",432,28,2
