Report Date,Health District,Number of Cases,Number of Hospitalizations,Number of Deaths
2020-04-14,Alexandria,247,23,2
2020-04-14,Alleghany,49,10,2
2020-04-14,Arlington,401,36,12
2020-04-14,Central Shenandoah,186,15,1
2020-04-14,Central Virginia,77,6,1
2020-04-14,Chesapeake,136,34,3
2020-04-14,Chesterfield,262,24,5
2020-04-14,Chickahominy,115,16,4
2020-04-14,Crater,101,12,6
2020-04-14,Cumberland Plateau,18,1,0
2020-04-14,Eastern Shore,19,10,1
2020-04-14,Fairfax,1207,235,21
2020-04-14,Hampton,73,19,1
2020-04-14,Henrico,432,40,33
2020-04-14,Lenowisco,23,7,1
2020-04-14,Lord Fairfax,144,11,0
2020-04-14,Loudoun,344,37,5
2020-04-14,Mount Rogers,50,12,4
2020-04-14,New River,43,6,0
2020-04-14,Norfolk,97,24,1
2020-04-14,Peninsula,282,83,11
2020-04-14,Piedmont,60,11,2
2020-04-14,Pittsylvania-Danville,26,16,1
2020-04-14,Portsmouth,59,21,4
2020-04-14,Prince William,570,68,10
2020-04-14,Rappahannock,188,38,2
2020-04-14,Rappahannock Rapidan,75,14,2
2020-04-14,Richmond,175,20,7
2020-04-14,Roanoke,21,3,0
2020-04-14,Southside,73,12,1
2020-04-14,Thomas Jefferson,163,29,3
2020-04-14,Three Rivers,50,7,0
2020-04-14,Virginia Beach,252,51,5
2020-04-14,West Piedmont,23,3,0
2020-04-14,Western Tidewater,130,24,3
