Locality,Facility,Facility Type,Status,Date VDH Notified,Cases,Deaths,Report Date
Accomack,Shore Healthcare and Rehab Center,Nursing Home,Outbreak in Progress,2020-05-04,11,0,2020-06-24
Albemarle,Our Lady of Peace,Multicare,Pending Closure,2020-04-21,56,5,2020-06-24
Albemarle,Westminster Canterbury of The Blue Ridge NH,Multicare,Outbreak Closed,2020-05-04,*,0,2020-06-24
Alexandria,Envoy of Alexandria,Nursing Home,Pending Closure,2020-04-03,56,9,2020-06-24
Alexandria,Hermitage in Northern Virginia,Multicare,Pending Closure,2020-04-16,30,5,2020-06-24
Alexandria,Silverado,Assisted Living,Pending Closure,2020-04-11,29,7,2020-06-24
Alexandria,Sunrise of Alexandria,Assisted Living,Pending Closure,2020-04-30,19,*,2020-06-24
Alexandria,The Fountains at Washington House,Multicare,Outbreak in Progress,2020-04-24,19,*,2020-06-24
Alexandria,Woodbine Rehabilitation & Healthcare Center,Nursing Home,Outbreak in Progress,2020-04-17,32,*,2020-06-24
Arlington,Brookdale Assisted Living,Multicare,Pending Closure,2020-03-28,49,10,2020-06-24
Arlington,Cherrydale Health & Rehabilitation Center,Multicare,Pending Closure,2020-04-09,143,28,2020-06-24
Arlington,Culpepper Garden,Assisted Living,Outbreak in Progress,2020-06-05,*,0,2020-06-24
Arlington,Manor Care Health Services - Arlington,Nursing Home,Pending Closure,2020-04-08,87,15,2020-06-24
Arlington,Regency Care of Arlington,Nursing Home,Pending Closure,2020-04-08,137,30,2020-06-24
Arlington,Sunrise at Bluemont Park,Assisted Living,Outbreak in Progress,2020-05-15,14,*,2020-06-24
Arlington,Sunrise of Arlington,Assisted Living,Outbreak in Progress,2020-05-19,21,*,2020-06-24
Arlington,The Jefferson,Multicare,Pending Closure,2020-04-04,38,9,2020-06-24
Augusta,Golden Gardens Residential Living,Assisted Living,Pending Closure,2020-05-06,*,0,2020-06-24
Bedford,Oakwood Manor Nursing Home,Nursing Home,Outbreak in Progress,2020-05-27,*,0,2020-06-24
Carroll,Hillsville Health and Rehab,Nursing Home,Outbreak in Progress,2020-05-14,63,6,2020-06-24
Chesapeake,Autum Care of Chesapeake,Nursing Home,Outbreak Closed,2020-04-13,37,*,2020-06-24
Chesapeake,Cedar Manor,Assisted Living,Outbreak Closed,2020-04-17,16,*,2020-06-24
Chesapeake,Greenbrier Regional Medical Center,Nursing Home,Outbreak in Progress,2020-06-09,*,0,2020-06-24
Chesapeake,Harmony at Oakbrooke,Assisted Living,Outbreak Closed,2020-04-29,11,*,2020-06-24
Chesapeake,Sentara Nursing Center - Chesapeake,Nursing Home,Outbreak Closed,2020-04-23,*,0,2020-06-24
Chesapeake,Sentara Nursing Center - Chesapeake,Nursing Home,Outbreak Closed,2020-04-05,5,0,2020-06-24
Chesapeake,Virginia Home for Adults,Assisted Living,Outbreak in Progress,2020-06-15,*,0,2020-06-24
Chesterfield,Brandermill Woods,Multicare,Outbreak Closed,2020-04-30,39,7,2020-06-24
Chesterfield,Laurels of Bon Air,Nursing Home,Outbreak Closed,2020-04-12,12,*,2020-06-24
Chesterfield,Laurels of Willow Creek,Nursing Home,Outbreak in Progress,2020-05-27,22,6,2020-06-24
Chesterfield,Lucy Corr Village,Assisted Living,Outbreak Closed,2020-04-03,*,0,2020-06-24
Chesterfield,Morningside of Bellgrade,Assisted Living,Outbreak in Progress,2020-04-14,32,8,2020-06-24
Chesterfield,Spring Arbor of Salisbury,Assisted Living,Outbreak Closed,2020-04-02,37,7,2020-06-24
Colonial Heights,Colonial Heights Health Care Center,Nursing Home,Pending Closure,2020-04-07,49,13,2020-06-24
Colonial Heights,Dunlop House,Assisted Living,Outbreak Closed,2020-04-29,*,*,2020-06-24
Danville,Brookdale Danville Piedmont,Assisted Living,Pending Closure,2020-04-16,*,*,2020-06-24
Dinwiddie,Dinwiddie Health and Rehab Center,Nursing Home,Outbreak in Progress,2020-06-15,*,0,2020-06-24
Emporia,Accordius Health and Rehab,Nursing Home,Outbreak in Progress,2020-04-20,55,*,2020-06-24
Emporia,Emporia/Greensville Manor,Nursing Home,Outbreak in Progress,2020-05-30,8,0,2020-06-24
Fairfax,Aarondale Retirement and Assisted Living Community,Assisted Living,Pending Closure,2020-04-09,*,0,2020-06-24
Fairfax,Annandale Healthcare Center,Nursing Home,Outbreak in Progress,2020-04-09,156,51,2020-06-24
Fairfax,Arbor Terrace at Herndon,Assisted Living,Outbreak Closed,2020-05-12,5,*,2020-06-24
Fairfax,Arbor Terrace Memory Care,Assisted Living,Outbreak Closed,2020-04-15,19,8,2020-06-24
Fairfax,Arden Courts of Annandale,Assisted Living,Outbreak Closed,2020-04-09,13,5,2020-06-24
