Report Date,Health District,Number of Cases,Number of Hospitalizations,Number of Deaths
2020-04-13,Alexandria,235,23,1
2020-04-13,Alleghany,50,11,2
2020-04-13,Arlington,390,35,11
2020-04-13,Central Shenandoah,171,15,1
2020-04-13,Central Virginia,76,6,1
2020-04-13,Chesapeake,126,31,3
2020-04-13,Chesterfield,226,24,5
2020-04-13,Chickahominy,99,13,4
2020-04-13,Crater,94,12,6
2020-04-13,Cumberland Plateau,7,1,0
2020-04-13,Eastern Shore,19,10,1
2020-04-13,Fairfax,1167,218,21
2020-04-13,Hampton,72,19,1
2020-04-13,Henrico,397,31,33
2020-04-13,Lenowisco,23,6,1
2020-04-13,Lord Fairfax,129,10,0
2020-04-13,Loudoun,324,35,5
2020-04-13,Mount Rogers,51,11,5
2020-04-13,New River,42,6,0
2020-04-13,Norfolk,99,21,1
2020-04-13,Peninsula,273,83,11
2020-04-13,Piedmont,59,11,2
2020-04-13,Pittsylvania-Danville,25,16,1
2020-04-13,Portsmouth,54,18,2
2020-04-13,Prince William,485,53,9
2020-04-13,Rappahannock,171,37,2
2020-04-13,Rappahannock Rapidan,69,12,2
2020-04-13,Richmond,167,18,6
2020-04-13,Roanoke,21,3,0
2020-04-13,Southside,67,12,1
2020-04-13,Thomas Jefferson,142,28,3
2020-04-13,Three Rivers,48,0,0
2020-04-13,Virginia Beach,251,51,5
2020-04-13,West Piedmont,22,1,0
2020-04-13,Western Tidewater,96,22,3
