Facility Name,Facility Longitude,Facility Latitude,VA Confirmed,VA Deaths 
(358) MANILA-RO,120.99139,14.54408,0,0
(402) VA MAINE HCS,-975.8579020399997,619.9237814000002,11,1
(405) WHITE RIVER JCT VAMROC,-1012.7932508399999,611.0705574400001,8,1
(436) FORT HARRISON MEDICAL CENTER,-2690.44393464,1118.8229584799997,7,0
(437) FARGO VA HCS,-1838.7591901199994,891.2236286299998,4,1
(438) SIOUX FALLS VA HCS,-870.80804793,391.79710323000006,13,0
(442) CHEYENNE VA MEDICAL,-1571.8439234999996,617.18592,9,0
(459) SPARK M. MATSUNAGA VAMC,-2841.9992199000003,384.50267748000005,5,0
(460) WILMINGTON VA MEDICAL CENTER,-1134.0843706500002,596.0815194,48,1
(463) ANCHORAGE VA MEDICAL CENTER,-2545.65867566,1040.9330628800005,4,0
(501) RAYMOND G. MURPHY VAMC,-2984.175153399998,981.5454062399997,17,1
(502) ALEXANDRIA VA MEDICAL CENTER,-924.3432658999998,313.5521394,9,0
(503) JAMES E VAN ZANDT VAMC,-705.5880267599999,364.39601426999997,5,0
(504) AMARILLO HCS,-1120.9561062700002,387.2361180600001,5,0
(506) ANN ARBOR VA MEDICAL CENTER,-585.9861024500001,296.01099472,91,5
(508) ATLANTA VAMC,-2276.37609282,912.6605653199998,160,7
(509) AUGUSTA VAMC,-1068.2431454499997,434.57248302000016,23,1
(512) VA MARYLAND HEALTH CARE SYS,-1532.4747179999997,785.7945722,31,0
(515) BATTLE CREEK VA MEDICAL CENTER,-938.2772728999998,465.81953109999995,7,0
(516) C.W. BILL YOUNG DEPT OF VAMC,-1076.1329502299998,361.58014450999997,15,0
(517) BECKLEY VA MEDICAL CENTER,-487.15194252000003,226.59623826,0,0
(518) EDITH NOURSE ROGERS VAMC,-641.4540961499999,382.53314862,134,13
(519) WEST TEXAS HCS,-1217.65387608,386.78257824,3,0
(520) BILOXI VA MEDICAL CENTER,-2045.7858260900002,699.40725093,5,1
