"Event Date","Case Status","Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-05-04,Confirmed,15,0,1
2020-05-04,Probable,3,0,0
2020-05-03,Confirmed,63,11,5
2020-05-02,Confirmed,166,11,6
2020-05-02,Probable,4,1,1
2020-05-01,Confirmed,557,27,1
2020-05-01,Probable,15,0,0
2020-04-30,Confirmed,596,32,14
2020-04-30,Probable,8,0,0
2020-04-29,Confirmed,589,40,8
2020-04-29,Probable,15,0,1
2020-04-28,Confirmed,634,50,10
2020-04-28,Probable,16,0,0
2020-04-27,Confirmed,688,56,15
2020-04-27,Probable,17,1,0
2020-04-26,Confirmed,449,39,13
2020-04-26,Probable,16,0,2
2020-04-25,Confirmed,452,46,10
2020-04-25,Probable,37,1,2
2020-04-24,Confirmed,711,59,10
2020-04-24,Probable,39,0,0
2020-04-23,Confirmed,609,50,11
2020-04-23,Probable,28,0,2
2020-04-22,Confirmed,621,57,7
2020-04-22,Probable,36,0,0
2020-04-21,Confirmed,598,78,13
2020-04-21,Probable,26,2,2
2020-04-20,Confirmed,687,69,11
2020-04-20,Probable,44,0,2
2020-04-19,Confirmed,391,48,14
2020-04-19,Probable,24,1,0
2020-04-18,Confirmed,381,59,10
2020-04-18,Probable,16,1,0
2020-04-17,Confirmed,602,55,13
2020-04-17,Probable,29,0,1
2020-04-16,Confirmed,539,65,16
2020-04-16,Probable,14,0,0
2020-04-15,Confirmed,446,71,15
2020-04-15,Probable,19,0,0
2020-04-14,Confirmed,560,55,18
2020-04-14,Probable,29,1,1
2020-04-13,Confirmed,556,82,13
2020-04-13,Probable,36,2,1
2020-04-12,Confirmed,348,64,15
2020-04-12,Probable,32,0,1
2020-04-11,Confirmed,329,44,9
2020-04-11,Probable,25,0,0
2020-04-10,Confirmed,514,59,11
2020-04-10,Probable,30,0,0
2020-04-09,Confirmed,389,70,5
2020-04-09,Probable,21,0,0
2020-04-08,Confirmed,416,51,6
2020-04-08,Probable,33,0,0
2020-04-07,Confirmed,395,58,8
2020-04-07,Probable,18,0,0
2020-04-06,Confirmed,429,79,8
2020-04-06,Probable,31,0,0
2020-04-05,Confirmed,277,57,6
2020-04-05,Probable,22,0,0
2020-04-04,Confirmed,271,56,3
2020-04-04,Probable,15,0,0
2020-04-03,Confirmed,304,57,5
2020-04-03,Probable,15,1,0
2020-04-02,Confirmed,284,52,7
2020-04-02,Probable,16,0,0
2020-04-01,Confirmed,282,70,4
2020-04-01,Probable,21,0,1
2020-03-31,Confirmed,274,46,6
2020-03-31,Probable,9,0,0
2020-03-30,Confirmed,359,65,3
2020-03-30,Probable,16,0,0
2020-03-29,Confirmed,181,63,5
2020-03-29,Probable,8,0,0
2020-03-28,Confirmed,210,60,3
2020-03-28,Probable,4,0,0
2020-03-27,Confirmed,232,51,4
2020-03-27,Probable,3,0,0
2020-03-26,Confirmed,243,48,4
2020-03-26,Probable,12,0,1
2020-03-25,Confirmed,231,55,2
2020-03-25,Probable,6,0,0
2020-03-24,Confirmed,225,52,2
2020-03-24,Probable,10,0,0
2020-03-23,Confirmed,241,40,1
2020-03-23,Probable,14,0,0
2020-03-22,Confirmed,157,22,2
2020-03-22,Probable,6,0,0
2020-03-21,Confirmed,165,27,5
2020-03-21,Probable,7,0,0
2020-03-20,Confirmed,197,19,1
2020-03-20,Probable,4,0,0
2020-03-19,Confirmed,179,17,0
2020-03-19,Probable,3,0,0
2020-03-18,Confirmed,192,15,0
2020-03-18,Probable,6,0,0
2020-03-17,Confirmed,172,12,0
2020-03-17,Probable,7,0,0
2020-03-16,Confirmed,183,11,0
2020-03-16,Probable,4,0,0
2020-03-15,Confirmed,108,9,1
2020-03-15,Probable,4,0,0
2020-03-14,Confirmed,135,6,1
2020-03-14,Probable,3,0,0
2020-03-13,Confirmed,108,6,0
2020-03-13,Probable,4,0,0
2020-03-12,Confirmed,93,5,0
2020-03-12,Probable,2,0,0
2020-03-11,Confirmed,71,4,0
2020-03-11,Probable,2,0,0
2020-03-10,Confirmed,55,2,0
2020-03-10,Probable,1,0,0
2020-03-09,Confirmed,45,3,0
2020-03-09,Probable,1,0,0
2020-03-08,Confirmed,20,0,0
2020-03-08,Probable,1,0,0
2020-03-07,Confirmed,20,1,0
2020-03-06,Confirmed,24,1,0
2020-03-05,Confirmed,13,1,0
2020-03-04,Confirmed,16,0,0
2020-03-03,Confirmed,12,0,0
2020-03-03,Probable,1,0,0
2020-03-02,Confirmed,10,0,0
2020-03-02,Probable,2,0,0
2020-03-01,Confirmed,10,0,0
2020-03-01,Probable,1,0,0
2020-02-29,Confirmed,2,0,0
2020-02-28,Confirmed,5,0,0
2020-02-27,Confirmed,1,0,0
2020-02-26,Confirmed,3,1,0
2020-02-26,Probable,1,0,0
2020-02-25,Probable,1,0,0
2020-02-24,Confirmed,2,0,0
2020-02-23,Confirmed,2,0,0
2020-02-23,Probable,1,0,0
2020-02-19,Confirmed,1,0,0
2020-02-18,Confirmed,1,1,0
2020-02-16,Confirmed,1,0,0
,,,,
,,,,
