"﻿Report Date","Health District","Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-06-21,Southside,364,47,26
2020-06-21,Chesapeake,733,105,16
2020-06-21,"Thomas Jefferson",784,81,19
2020-06-21,Roanoke,313,13,10
2020-06-21,"Eastern Shore",1301,106,42
2020-06-21,"Mount Rogers",632,64,23
2020-06-21,Chickahominy,604,104,34
2020-06-21,"New River",177,20,4
2020-06-21,"Central Virginia",304,17,4
2020-06-21,Piedmont,948,79,7
2020-06-21,"Lord Fairfax",1844,156,62
2020-06-21,Crater,1336,126,21
2020-06-21,Hampton,264,37,5
2020-06-21,Alexandria,2227,231,49
2020-06-21,Fairfax,13546,1573,448
2020-06-21,Richmond,1985,199,29
2020-06-21,Arlington,2418,412,126
2020-06-21,"Rappahannock Rapidan",1395,103,18
2020-06-21,Rappahannock,2275,205,33
2020-06-21,Pittsylvania-Danville,158,33,3
2020-06-21,"Prince William",8652,762,154
2020-06-21,"Cumberland Plateau",37,2,0
2020-06-21,Portsmouth,406,60,13
2020-06-21,"Virginia Beach",988,115,27
2020-06-21,"West Piedmont",373,36,5
2020-06-21,"Three Rivers",624,48,11
2020-06-21,Alleghany,319,30,14
2020-06-21,Lenowisco,46,16,4
2020-06-21,Norfolk,737,90,7
2020-06-21,"Western Tidewater",725,79,46
2020-06-21,Henrico,2413,240,138
2020-06-21,"Central Shenandoah",1882,149,32
2020-06-21,Loudoun,3585,248,83
2020-06-21,Chesterfield,2750,130,65
2020-06-21,Peninsula,849,124,33
