Locality,Facility,Facility Type,Status,Date VDH Notified,Cases,Deaths
Accomack,Shore Healthcare and Rehab Center,Nursing Home,Outbreak in Progress,2020-05-04,11,0
Albemarle,Our Lady of Peace,Multicare,Pending Closure,2020-04-21,56,5
Albemarle,Westminster Canterbury of The Blue Ridge ..,Multicare,Outbreak in Progress,2020-05-04,*,0
Alexandria,Envoy of Alexandria,Nursing Home,Pending Closure,2020-04-03,56,8
Alexandria,Hermitage in Northern Virginia,Multicare,Pending Closure,2020-04-16,30,5
Alexandria,Silverado,Assisted Living,Outbreak in Progress,2020-04-11,29,7
Alexandria,Sunrise of Alexandria,Assisted Living,Pending Closure,2020-04-30,17,*
Alexandria,The Fountains at Washington House,Multicare,Pending Closure,2020-04-24,19,*
Alexandria,Woodbine Rehabilitation & Healthcare Cent..,Nursing Home,Outbreak in Progress,2020-04-17,33,*
Arlington,Brookdale Assisted Living,Multicare,Pending Closure,2020-03-28,49,10
Arlington,Cherrydale Health & Rehabilita on Center,Multicare,Pending Closure,2020-04-09,143,28
Arlington,Culpepper Garden,Assisted Living,Outbreak in Progress,2020-06-05,*,0
Arlington,Manor Care Health Services - Arlington,Nursing Home,Pending Closure,2020-04-08,87,15
Arlington,Regency Care of Arlington,Nursing Home,Pending Closure,2020-04-08,137,30
Arlington,Sunrise at Bluemont Park,Assisted Living,Outbreak in Progress,2020-05-15,14,*
Arlington,Sunrise of Arlington,Assisted Living,Outbreak in Progress,2020-05-19,21,*
Arlington,The Jefferson,Multicare,Pending Closure,2020-04-04,38,9
Augusta,Golden Gardens Residential Living,Assisted Living,Pending Closure,2020-05-06,*,0
Bedford,Oakwood Manor Nursing Home,Nursing Home,Outbreak in Progress,2020-05-27,*,0
Carroll,Hillsville Health and Rehab,Nursing Home,Outbreak in Progress,2020-05-14,63,5
Chesapeake,Autum Care of Chesapeake,Nursing Home,Pending Closure,2020-04-13,37,*
Chesapeake,Cedar Manor,Assisted Living,Outbreak in Progress,2020-04-17,16,*
Chesapeake,Greenbrier Regional Medical Center,Nursing Home,Outbreak in Progress,2020-06-09,*,0
Chesapeake,Harmony at Oakbrooke,Assisted Living,Pending Closure,2020-04-29,11,*
Chesapeake,Sentara Nursing Center - Chesapeake,Nursing Home,Outbreak in Progress,2020-04-23,*,
Chesapeake,Sentara Nursing Center - Chesapeake,Nursing Home,Pending Closure,2020-04-05,5,0
Chesapeake,Virginia Home for Adults,Assisted Living,Outbreak in Progress,2020-06-15,*,0
Chesterfield,Brandermill Woods,Multicare,Outbreak Closed,2020-04-30,48,11
Chesterfield,Laurels of Bon Air,Nursing Home,Outbreak Closed,2020-04-12,12,*
Chesterfield,Laurels of Willow Creek,Nursing Home,Outbreak in Progress,2020-05-27,22,6
Chesterfield,Lucy Corr Village,Assisted Living,Outbreak Closed,2020-04-03,*,0
Chesterfield,Morningside of Bellgrade,Assisted Living,Outbreak in Progress,2020-04-14,32,8
Chesterfield,Spring Arbor of Salisbury,Assisted Living,Outbreak Closed,2020-04-02,37,7
Colonial Heights,Colonial Heights Health Care Center,Nursing Home,Pending Closure,2020-04-07,49,13
Colonial Heights,Dunlop House,Assisted Living,Outbreak Closed,2020-04-29,*,*
Danville,Brookdale Danville Piedmont,Assisted Living,Pending Closure,2020-04-16,*,*
Dinwiddie,Dinwiddie Health and Rehab Center,Nursing Home,Outbreak in Progress,2020-06-15,*,0
Emporia,Accordius Health and Rehab,Nursing Home,Outbreak in Progress,2020-04-20,55,*
Emporia,Emporia/Greensville Manor,Nursing Home,Outbreak in Progress,2020-05-30,7,0
Fairfax,Aarondale Retirement and Assisted Living C..,Assisted Living,Pending Closure,2020-04-09,*,0
Fairfax,Annandale Healthcare Center,Nursing Home,Outbreak in Progress,2020-04-09,156,51
Fairfax,Arbor Terrace at Herndon,Assisted Living,Outbreak Closed,2020-05-12,5,*
Fairfax,Arbor Terrace Memory Care,Assisted Living,Outbreak Closed,2020-04-15,19,8
Fairfax,Arden Courts of Annandale,Assisted Living,Outbreak Closed,2020-04-09,13,5
Fairfax,Arden Courts of Fair Oaks,Assisted Living,Outbreak Closed,2020-04-17,5,*
Fairfax,Arleigh Burke Pavilion,Multicare,Pending Closure,2020-04-15,46,6
Fairfax,Bright View Woodburn,Assisted Living,Outbreak in Progress,2020-04-28,28,9
Fairfax,Brightview of Great Falls,Assisted Living,Pending Closure,2020-04-24,7,*
Fairfax,Burke Health Care Center,Nursing Home,Outbreak Closed,2020-04-09,129,20
Fairfax,Chesterbrook Residences,Assisted Living,Pending Closure,2020-04-07,31,7
Fairfax,Dulles Health & Rehab,Nursing Home,Outbreak Closed,2020-03-29,101,18
Fairfax,Fairfax Nursing and Rehabilitation Center,Nursing Home,Pending Closure,2020-04-17,68,9
Fairfax,Gardens at Fair Oaks,Assisted Living,Pending Closure,2020-05-21,9,*
Fairfax,Goodwin House - Bailey's Crossroads,Multicare,Pending Closure,2020-04-24,25,*
Fairfax,Great Falls Assisted Living,Assisted Living,Outbreak Closed,2020-04-17,19,6
Fairfax,Greenspring Village Assisted Living,Multicare,Outbreak in Progress,2020-04-17,67,19
Fairfax,Harmony at Chantilly,Assisted Living,Outbreak in Progress,2020-05-01,19,*
Fairfax,Harmony at Spring Hill,Assisted Living,Outbreak in Progress,2020-05-12,6,0
Fairfax,Heatherwood Retirement Community,Assisted Living,Outbreak in Progress,2020-04-11,50,11
Fairfax,Hunter's Woods at Trails Edge,Multicare,Pending Closure,2020-06-04,7,*
Fairfax,Iliff Nursing and Rehabilitation Center,Nursing Home,Outbreak Closed,2020-04-09,78,12
Fairfax,Larmax Homes,Assisted Living,Outbreak Closed,2020-04-17,17,*
Fairfax,Leewood Healthcare Center,Multicare,Outbreak in Progress,2020-04-09,115,
Fairfax,Leewood Healthcare Center,Multicare,Outbreak Closed,2020-05-28,*,*
Fairfax,ManorCare Health Services-Alexandria,Nursing Home,Outbreak in Progress,2020-04-24,76,6
Fairfax,ManorCare Health Services-Fair Oaks,Nursing Home,Pending Closure,2020-05-04,134,9
Fairfax,Mount Vernon Nursing and Rehabilitation C..,Nursing Home,Outbreak in Progress,2020-04-09,76,13
Fairfax,Powhatan Nursing Home,Nursing Home,Outbreak Closed,2020-05-12,*,0
Fairfax,Renaissance of Annandale,Assisted Living,Pending Closure,2020-05-12,27,*
Fairfax,Spring Hills Mount Vernon,Assisted Living,Outbreak Closed,2020-05-12,*,0
Fairfax,Stevenson's Place,Assisted Living,Outbreak in Progress,2020-06-04,*,0
Fairfax,Sunrise Assisted Living of McLean,Assisted Living,Outbreak Closed,2020-03-20,59,14
Fairfax,Sunrise at Mount Vernon,Assisted Living,Outbreak in Progress,2020-04-07,16,*
Fairfax,Sunrise of Hunter Mill,Assisted Living,Outbreak in Progress,2020-05-27,*,0
Fairfax,Sunrise of Springfield,Assisted Living,Pending Closure,2020-04-10,22,*
Fairfax,Sylvestery of Vinson Hall,Multicare,Outbreak in Progress,2020-05-27,8,0
Fairfax,Tall Oaks,Assisted Living,Outbreak in Progress,2020-04-30,48,11
Fairfax,The Fairfax at Belvoir Woods,Multicare,Outbreak Closed,2020-04-24,11,*
Fairfax,The Kensington Falls Church,Assisted Living,Outbreak in Progress,2020-03-17,33,6
Fairfax,The Lincolnian,Assisted Living,Pending Closure,2020-04-24,26,*
Fairfax,The Virginian Retirement Community,Multicare,Outbreak in Progress,2020-04-09,146,26
Fairfax,Tysons Woods Assisted Living,Assisted Living,Pending Closure,2020-05-20,10,*
Fluvanna,Envoy at the Village,Nursing Home,Pending Closure,2020-04-08,54,6
Fredericksburg,Poets Walk,Assisted Living,Outbreak in Progress,2020-06-03,11,0
Galax,Galax Health and Rehab,Nursing Home,Outbreak in Progress,2020-05-27,55,8
Hampton,Waddell Nursing and Rehab,Nursing Home,Pending Closure,2020-04-01,37,0
Hanover,Hampton VA Hospital- LTC unit,Nursing Home,Outbreak in Progress,2020-05-06,11,0
Hanover,Ashland Convalescent Center,Nursing Home,Outbreak Closed,2020-04-05,45,6
Hanover,Autumn Care of Mechanicsville,Nursing Home,Outbreak in Progress,2020-05-20,*,0
Hanover,Covenant Woods Nursing Home,Assisted Living,Outbreak Closed,2020-04-03,60,12
Harrisonburg,The Crossings at Hanover,Nursing Home,Pending Closure,2020-04-08,112,21
Harrisonburg,Accordius Health at Harrisonburg,Nursing Home,Outbreak in Progress,2020-05-27,33,0
Henrico,Harrisonburg Health and Rehabilitation Cen..,Multicare,Pending Closure,2020-03-28,62,
Henrico,Beth Sholom Home of Virginia,Multicare,Outbreak Closed,2020-04-17,*,*
Henrico,Beth Sholom Home of Virginia,Nursing Home,Outbreak Closed,2020-03-17,154,49
Henrico,Canterbury Health and Rehab,Assisted Living,Pending Closure,2020-04-24,16,*
Henrico,Cedarfield Re rement Community,Assisted Living,Outbreak in Progress,2020-06-02,*,0
Henrico,Chestnut Grove Assisted Living Facility,Assisted Living,Pending Closure,2020-04-12,61,*
Henrico,Discovery Village At The West End,Nursing Home,Pending Closure,2020-04-30,86,6
Henrico,Glenburnie Nursing & Rehab,Nursing Home,Pending Closure,2020-04-05,112,14
Henrico,Henrico Health and Rehabilitation Center,Multicare,Outbreak Closed,2020-04-09,10,*
Henrico,Lakewood Manor Baptist Retirement Comm..,Nursing Home,Pending Closure,2020-04-01,9,*
Henrico,Manor Care Health Services,Assisted Living,Outbreak Closed,2020-03-28,45,5
Henrico,Masonic Home of Virginia,Multicare,Outbreak in Progress,2020-05-26,*,0
Henrico,Our Lady of Hope,Nursing Home,Outbreak in Progress,2020-04-24,95,6
Hopewell,Westport Rehabilitation & Nursing Center,Nursing Home,Outbreak in Progress,2020-05-10,23,*
Isle of Wight,Hopewell Healthcare Center,Nursing Home,Outbreak Closed,2020-03-31,54,8
James City,Consulate Health Care of Windsor,Assisted Living,Pending Closure,2020-04-16,20,*
James City,Chambrel at Williamsburg Assisted Living,Nursing Home,Pending Closure,2020-04-06,9,*
James City,Consulate Health Care of Williamsburg,Multicare,Pending Closure,2020-04-23,5,0
King George,WindsorMeade of Williamsburg,Nursing Home,Pending Closure,2020-05-02,10,0
Loudoun,Heritage Hall - King George,Multicare,Pending Closure,2020-04-06,62,10
Loudoun,Ashby Ponds,Assisted Living,Pending Closure,2020-04-23,19,*
Loudoun,Atria Sterling,Nursing Home,Outbreak in Progress,2020-05-19,90,14
Loudoun,Heritage Hall Nursing and Rehab,Multicare,Pending Closure,2020-03-28,47,*
Loudoun,Johnson Center at Falcons Landing,Multicare,Pending Closure,2020-04-10,86,21
Loudoun,Potomac Falls Health and Rehab Center,Assisted Living,Pending Closure,2020-04-07,14,5
Loudoun,Sunrise at Countryside,Multicare,Pending Closure,2020-04-16,48,10
Loudoun,Tribute at One Loudoun,Multicare,Pending Closure,2020-04-13,9,*
Martinsville,Waltonwood at Ashburn,Nursing Home,Outbreak in Progress,2020-05-18,6,0
Mecklenburg,Mulberry Creek Nursing and Rehab,Nursing Home,Pending Closure,2020-05-08,92,8
Mecklenburg,Chase City Health and Rehab Center,Nursing Home,Pending Closure,2020-04-04,83,13
Newport News,Meadow View Terrace,Nursing Home,Pending Closure,2020-05-14,*,0
Newport News,James River Convalescent and Rehabilitatio..,Nursing Home,Pending Closure,2020-04-25,7,0
Norfolk,The Gardens at Warwick Forest,Nursing Home,Pending Closure,2020-03-28,*,0
Norfolk,Norfolk Health and Rehab Center,Nursing Home,Outbreak in Progress,2020-06-05,7,0
Northampton,"Signature HealthCare, LLC",Nursing Home,Pending Closure,2020-04-22,114,18
Nottoway,Heritage Hall - Nassawadox,Assisted Living,Outbreak in Progress,2020-05-28,34,*
Orange,Hickory Hill Retirement Community,Nursing Home,Outbreak in Progress,2020-06-03,*,0
Orange,Dogwood Village of Orange County,Assisted Living,Pending Closure,2020-05-28,5,0
Page,The Village at Gordon House,Nursing Home,Outbreak in Progress,2020-04-21,150,22
Petersburg,Skyview Springs Nursing Home (frmly Mont..,Assisted Living,Outbreak in Progress,2020-06-08,*,0
Petersburg,Fillmore Place,Nursing Home,Outbreak in Progress,2020-05-25,10,0
Portsmouth,Petersburg Healthcare Center,Assisted Living,Outbreak in Progress,2020-05-06,*,0
Portsmouth,Mayfair House Assisted Living,Assisted Living,Pending Closure,2020-04-27,8,0
Prince Edward,Mayfair House Assisted Living,Nursing Home,Outbreak Closed,2020-04-08,46,*
Prince William,Farmville Health and Rehab Center,Assisted Living,Pending Closure,2020-04-18,22,9
Prince William,Arbor Terrace Sudley Manor,Multicare,Pending Closure,2020-04-19,132,33
Prince William,Birmingham Green,Nursing Home,Outbreak in Progress,2020-05-16,71,*
Prince William,Envoy of Woodbridge,Nursing Home,Pending Closure,2020-04-18,67,8
Prince William,Gainesville Health and Rehabilitation,Multicare,Pending Closure,2020-05-09,14,5
Prince William,Harbor Chase,Nursing Home,Pending Closure,2020-03-27,8,*
Prince William,Lake Manassas Health and Rehabilitation,Nursing Home,Pending Closure,2020-05-18,11,*
Prince William,Manassas Health & Rehabilitti on Center,Assisted Living,Pending Closure,2020-05-09,28,*
Prince William,Potomac Place,Assisted Living,Pending Closure,2020-05-09,9,*
Prince William,Tribute at the Glen,Multicare,Pending Closure,2020-04-18,27,*
Prince William,Westminster at Lake Ridge,Assisted Living,Pending Closure,2020-04-17,28,*
Richmond City,Willow Oaks Assisted Living at Birmingham ..,Assisted Living,Pending Closure,2020-04-20,*,0
Richmond City,The Towers Retirement Home and Assisted ..,Nursing Home,Pending Closure,2020-03-28,13,0
Richmond County,The Virginia Home,Multicare,Pending Closure,2020-04-17,15,*
Roanoke City,Riverside The Orchard Dogwood Manor,Nursing Home,Pending Closure,2020-04-19,55,13
Rockingham,South Roanoke Nursing Home,Assisted Living,Outbreak in Progress,2020-06-02,6,*
Salem,Sunnyside Re rement Community,Nursing Home,Pending Closure,2020-04-24,5,0
Shenandoah,Richfield Recovery and Care Center,Nursing Home,Outbreak in Progress,2020-04-30,82,10
Shenandoah,Consulate Health Care of Woodstock,Assisted Living,Pending Closure,2020-05-03,44,11
Shenandoah,Dutch Haven Assisted Living,Assisted Living,Outbreak Closed,2020-05-06,5,0
Shenandoah,Pine Meadow,Nursing Home,Outbreak Closed,2020-03-30,*,0
Southampton,Skyline Terrace,Nursing Home,Pending Closure,2020-04-15,47,*
Spotsylvania,Courtland Healthcare,Nursing Home,Outbreak in Progress,2020-06-02,78,10
