"﻿Event Date","Case Status","Number of Cases","Number of Hospitalizations","Number of Deaths","Health Planning Region"
2020-05-25,Confirmed,84,5,0,Northwest
2020-06-18,Confirmed,92,8,0,Northwest
2020-03-09,Confirmed,26,1,0,Northern
2020-04-03,Probable,1,0,0,Eastern
2020-06-23,Probable,4,0,0,Northwest
2020-05-25,Confirmed,392,32,4,Northern
2020-04-30,Probable,1,0,1,Central
2020-03-02,Confirmed,1,0,0,Southwest
2020-04-27,Confirmed,120,11,3,Northwest
2020-06-18,Probable,3,0,0,Eastern
2020-06-16,Confirmed,56,6,0,Southwest
2020-05-23,Confirmed,25,10,1,Southwest
2020-05-29,Confirmed,357,22,6,Northern
2020-06-27,Probable,2,0,0,Northwest
2020-03-30,Confirmed,17,4,0,Southwest
2020-04-25,Probable,15,0,0,Northwest
2020-06-21,Probable,1,0,0,Central
2020-04-25,Confirmed,19,2,1,Southwest
2020-03-24,Confirmed,109,26,2,Northern
2020-03-21,Confirmed,19,3,0,Central
2020-05-05,Probable,21,0,0,Northern
2020-03-20,Confirmed,38,7,1,Eastern
2020-04-04,Confirmed,41,9,0,Northwest
2020-06-15,Probable,3,0,0,Central
2020-05-27,Probable,6,0,0,Northwest
2020-06-29,Confirmed,14,0,0,Northern
2020-04-06,Probable,5,0,0,Central
2020-06-10,Confirmed,47,2,1,Southwest
2020-06-02,Confirmed,35,1,2,Southwest
2020-03-27,Confirmed,121,20,3,Northern
2020-03-09,Confirmed,3,0,0,Northwest
2020-04-12,Probable,22,0,1,Northern
2020-05-17,Confirmed,102,11,2,Northwest
2020-05-23,Confirmed,108,9,4,Central
2020-06-26,Confirmed,45,2,1,Northwest
2020-05-24,Confirmed,35,4,1,Eastern
2020-06-07,Probable,4,1,0,Northern
2020-04-22,Probable,12,0,0,Northwest
2020-03-05,Probable,1,0,0,Central
2020-04-11,Probable,4,0,0,Eastern
2020-05-10,Probable,1,0,0,Southwest
2020-05-31,Confirmed,52,11,3,Northwest
2020-06-08,Confirmed,96,4,1,Northwest
2020-05-16,Probable,1,0,0,Central
2020-06-02,Confirmed,234,19,9,Northern
2020-04-12,Probable,0,0,1,Central
2020-05-23,Confirmed,340,34,12,Northern
2020-03-16,Probable,4,0,0,Eastern
2020-06-25,Probable,4,0,0,Northwest
2020-04-29,Probable,11,0,0,Northwest
2020-03-13,Confirmed,30,2,0,Eastern
2020-04-03,Confirmed,45,7,1,Northwest
2020-03-12,Confirmed,9,0,0,Central
2020-05-21,Probable,3,0,0,Eastern
2020-06-09,Confirmed,170,8,1,Central
2020-06-08,Confirmed,67,4,1,Eastern
2020-06-02,Confirmed,205,9,0,Central
2020-04-21,Confirmed,75,24,3,Northwest
2020-05-30,Confirmed,61,6,1,Eastern
2020-03-27,Probable,2,0,0,Northern
2020-05-04,Confirmed,112,14,5,Northwest
2020-05-17,Probable,1,0,0,Southwest
2020-05-03,Probable,7,0,0,Northwest
2020-04-05,Confirmed,16,7,3,Eastern
2020-04-06,Confirmed,91,18,7,Central
2020-06-21,Confirmed,57,2,1,Southwest
2020-05-06,Probable,1,0,0,Central
2020-05-28,Confirmed,53,2,2,Southwest
2020-05-14,Confirmed,74,5,3,Eastern
2020-04-01,Confirmed,16,4,0,Southwest
2020-05-17,Confirmed,117,9,1,Central
2020-03-15,Probable,8,0,0,Northern
2020-06-09,Confirmed,66,7,2,Northwest
2020-06-01,Confirmed,107,6,1,Northwest
2020-04-01,Probable,12,0,2,Northern
2020-04-12,Confirmed,231,43,11,Northern
2020-04-21,Probable,20,0,0,Northern
2020-05-18,Confirmed,103,7,2,Eastern
2020-05-21,Confirmed,411,6,1,Central
2020-03-12,Probable,3,0,0,Northern
2020-04-16,Probable,15,0,0,Northern
2020-03-30,Probable,11,0,0,Northern
2020-06-30,Confirmed,2,0,0,Southwest
2020-05-21,Confirmed,25,2,0,Southwest
2020-05-21,Confirmed,472,36,14,Northern
2020-03-23,Probable,1,0,0,Eastern
2020-06-19,Probable,7,0,0,Northwest
2020-06-04,Confirmed,30,4,1,Southwest
2020-04-21,Probable,1,0,0,Central
2020-06-12,Confirmed,36,0,1,Southwest
2020-04-13,Probable,33,1,3,Northern
2020-06-04,Probable,12,0,1,Northwest
2020-04-15,Probable,1,0,0,Southwest
2020-05-19,Confirmed,117,16,1,Northwest
2020-06-28,Confirmed,6,2,0,Northwest
2020-05-01,Probable,37,0,0,Northern
2020-05-22,Probable,2,0,0,Eastern
2020-05-13,Confirmed,27,2,0,Southwest
2020-04-26,Confirmed,58,3,0,Southwest
2020-06-24,Probable,8,0,0,Northern
2020-05-02,Confirmed,92,7,6,Central
2020-05-05,Confirmed,151,8,8,Eastern
2020-05-07,Probable,17,1,1,Northern
2020-04-03,Probable,3,0,0,Northwest
2020-03-14,Confirmed,12,0,0,Central
2020-03-11,Confirmed,19,2,0,Eastern
2020-04-23,Probable,1,0,0,Central
2020-03-25,Probable,1,0,0,Eastern
2020-03-01,Confirmed,5,0,0,Eastern
2020-02-29,Confirmed,1,0,0,Central
2020-02-25,Probable,2,0,0,Eastern
2020-03-30,Probable,8,0,0,Northwest
2020-03-04,Confirmed,8,0,0,Northern
2020-06-05,Confirmed,48,2,1,Southwest
2020-04-18,Probable,15,1,0,Northern
2020-06-13,Confirmed,36,1,0,Southwest
2020-05-16,Confirmed,66,3,4,Eastern
2020-05-15,Confirmed,178,7,5,Central
2020-02-24,Confirmed,4,0,0,Northern
2020-04-29,Confirmed,93,5,3,Northwest
2020-03-20,Confirmed,94,5,0,Northern
2020-02-18,Confirmed,1,0,0,Northwest
2020-05-05,Probable,5,0,1,Eastern
2020-04-15,Confirmed,81,7,0,Northwest
2020-06-03,Confirmed,67,6,3,Northwest
2020-03-17,Probable,12,0,0,Northern
2020-05-09,Confirmed,356,49,14,Northern
2020-06-07,Probable,10,0,0,Northwest
2020-06-11,Confirmed,56,4,1,Northwest
2020-05-12,Probable,16,1,0,Northern
2020-02-18,Confirmed,1,1,0,Central
2020-05-01,Confirmed,36,2,3,Southwest
2020-06-22,Probable,2,0,0,Southwest
2020-04-30,Confirmed,536,59,22,Northern
2020-03-21,Confirmed,39,7,4,Eastern
2020-03-29,Probable,5,0,0,Northern
2020-03-20,Confirmed,48,5,0,Central
2020-04-23,Confirmed,114,13,2,Eastern
2020-04-20,Confirmed,89,14,2,Central
2020-03-24,Confirmed,50,8,2,Central
2020-03-25,Confirmed,48,17,1,Eastern
2020-04-22,Confirmed,179,6,1,Northwest
2020-04-26,Probable,16,0,0,Northwest
2020-05-08,Probable,1,0,0,Southwest
2020-04-06,Confirmed,23,9,2,Southwest
2020-06-20,Probable,3,0,0,Eastern
2020-04-24,Probable,18,0,0,Northwest
2020-06-29,Confirmed,19,1,1,Central
2020-04-12,Confirmed,84,7,0,Northwest
2020-06-28,Confirmed,53,7,0,Eastern
2020-06-09,Probable,4,1,0,Northern
2020-04-20,Confirmed,31,1,0,Southwest
2020-05-26,Confirmed,88,2,2,Eastern
2020-05-29,Confirmed,138,18,4,Central
2020-06-12,Confirmed,65,8,0,Eastern
2020-03-07,Confirmed,1,0,0,Southwest
2020-06-13,Confirmed,80,5,1,Central
2020-04-14,Confirmed,19,3,0,Southwest
2020-06-25,Probable,1,0,0,Southwest
2020-04-11,Confirmed,215,32,3,Northern
2020-04-08,Confirmed,222,28,8,Northern
2020-06-24,Probable,2,0,0,Southwest
2020-05-11,Probable,6,0,0,Northwest
2020-06-13,Confirmed,86,7,3,Northern
2020-03-22,Confirmed,104,8,0,Northern
2020-04-17,Probable,7,0,0,Eastern
2020-03-11,Probable,1,0,0,Central
2020-04-21,Probable,1,0,0,Southwest
2020-06-11,Confirmed,141,8,4,Northern
2020-05-13,Probable,6,0,0,Northwest
2020-05-05,Confirmed,105,10,5,Northwest
2020-06-09,Confirmed,195,8,4,Northern
2020-05-07,Probable,5,0,0,Northwest
2020-04-27,Probable,1,0,0,Southwest
2020-05-10,Confirmed,17,4,0,Southwest
2020-03-28,Confirmed,44,10,1,Central
2020-03-29,Confirmed,27,19,1,Eastern
2020-04-23,Confirmed,37,1,1,Southwest
2020-06-02,Confirmed,94,6,1,Northwest
2020-03-09,Probable,2,0,0,Northwest
2020-06-10,Confirmed,61,9,3,Northwest
2020-05-11,Probable,2,0,0,Eastern
2020-05-26,Confirmed,131,8,3,Northwest
2020-06-19,Confirmed,66,6,1,Northwest
2020-05-17,Confirmed,377,45,16,Northern
2020-06-15,Probable,8,0,0,Northwest
2020-05-12,Confirmed,120,8,1,Northwest
2020-05-16,Probable,14,0,1,Northern
2020-02-29,Probable,2,0,0,Northern
2020-06-19,Probable,1,0,0,Eastern
2020-03-12,Confirmed,48,2,0,Northern
2020-03-03,Confirmed,2,0,0,Northwest
2020-05-01,Confirmed,110,14,4,Eastern
2020-04-28,Confirmed,121,8,2,Central
2020-05-06,Probable,11,0,0,Northwest
2020-06-04,Probable,3,0,0,Northern
2020-06-10,Confirmed,192,9,2,Northern
2020-04-18,Confirmed,56,12,5,Northwest
2020-04-24,Probable,5,0,0,Eastern
2020-03-16,Confirmed,109,7,0,Northern
2020-06-06,Confirmed,66,6,1,Northwest
2020-06-14,Confirmed,46,6,2,Northwest
2020-03-20,Probable,1,0,0,Central
2020-05-15,Probable,20,0,0,Northern
2020-04-27,Confirmed,18,3,1,Southwest
2020-02-26,Confirmed,2,0,0,Central
2020-04-02,Probable,4,0,1,Eastern
2020-05-01,Probable,1,0,0,Southwest
2020-05-11,Confirmed,116,12,5,Northwest
2020-05-27,Probable,10,0,0,Central
2020-06-21,Confirmed,109,3,3,Northern
2020-05-19,Probable,12,0,0,Northwest
2020-03-27,Probable,1,0,0,Northwest
2020-02-29,Confirmed,1,0,0,Eastern
2020-06-03,Probable,2,0,0,Eastern
2020-03-01,Confirmed,2,0,0,Central
2020-05-07,Probable,4,0,0,Central
2020-04-16,Probable,7,0,0,Northwest
2020-06-01,Probable,1,0,0,Southwest
2020-03-30,Probable,1,0,0,Central
2020-05-04,Probable,2,0,0,Eastern
2020-06-15,Confirmed,49,1,0,Southwest
2020-05-22,Confirmed,40,6,2,Southwest
2020-05-25,Probable,6,0,0,Central
2020-05-31,Probable,2,0,0,Eastern
2020-05-05,Confirmed,107,11,6,Central
2020-05-02,Confirmed,75,7,6,Eastern
2020-02-25,Probable,3,0,0,Northern
2020-05-08,Confirmed,24,1,1,Southwest
2020-03-01,Confirmed,5,0,0,Northern
2020-05-10,Probable,1,0,0,Eastern
2020-04-24,Confirmed,26,1,3,Southwest
2020-05-28,Probable,4,0,0,Eastern
2020-06-17,Confirmed,59,3,1,Northwest
2020-05-24,Confirmed,90,11,1,Northwest
2020-06-17,Probable,3,0,0,Southwest
2020-05-05,Confirmed,535,57,26,Northern
2020-04-10,Confirmed,11,1,2,Southwest
2020-04-13,Confirmed,9,1,0,Southwest
2020-05-03,Confirmed,355,63,15,Northern
2020-04-26,Confirmed,80,5,0,Northwest
2020-05-25,Probable,4,1,0,Eastern
2020-04-29,Confirmed,70,14,6,Eastern
2020-04-30,Confirmed,104,5,6,Central
2020-05-22,Confirmed,61,7,3,Eastern
2020-04-30,Probable,35,0,2,Northern
2020-05-25,Confirmed,105,16,2,Central
2020-03-23,Probable,10,0,0,Northern
2020-05-21,Confirmed,58,8,0,Eastern
2020-05-18,Confirmed,244,8,2,Central
2020-05-09,Probable,1,0,0,Eastern
2020-05-07,Confirmed,31,0,0,Southwest
2020-04-20,Confirmed,480,65,17,Northern
2020-06-12,Probable,1,0,0,Southwest
2020-05-14,Probable,2,0,0,Northwest
2020-05-04,Probable,0,1,0,Southwest
2020-06-18,Confirmed,119,6,2,Northern
2020-05-30,Confirmed,79,6,1,Northwest
2020-06-07,Confirmed,52,3,3,Northwest
2020-04-04,Confirmed,181,33,1,Northern
2020-05-24,Probable,6,0,2,Northern
2020-03-29,Probable,2,0,0,Northwest
2020-05-09,Confirmed,104,14,2,Northwest
2020-05-12,Probable,2,0,0,Central
2020-02-18,Confirmed,1,0,0,Northern
2020-06-08,Confirmed,129,4,3,Central
2020-06-09,Confirmed,75,6,2,Eastern
2020-05-21,Probable,1,0,0,Central
2020-06-01,Confirmed,48,2,0,Southwest
2020-03-13,Probable,2,0,0,Northwest
2020-06-09,Confirmed,45,4,1,Southwest
2020-04-07,Confirmed,36,9,1,Eastern
2020-05-24,Probable,4,0,0,Central
2020-04-04,Confirmed,53,9,5,Central
2020-06-15,Probable,3,0,0,Northern
2020-05-16,Probable,2,0,0,Eastern
2020-04-08,Confirmed,118,16,2,Central
2020-04-11,Confirmed,30,8,1,Eastern
2020-04-17,Confirmed,86,5,3,Northwest
2020-03-10,Probable,1,0,0,Northwest
2020-04-22,Confirmed,20,0,1,Southwest
2020-05-03,Confirmed,16,1,2,Southwest
2020-05-15,Confirmed,160,9,3,Northwest
2020-06-24,Confirmed,40,3,1,Northwest
2020-04-19,Confirmed,15,2,1,Southwest
2020-05-10,Probable,9,0,0,Northwest
2020-06-08,Confirmed,38,4,1,Southwest
2020-05-31,Confirmed,33,2,2,Southwest
2020-06-14,Confirmed,98,12,1,Northern
2020-06-26,Confirmed,36,0,0,Southwest
2020-05-17,Confirmed,24,3,0,Southwest
2020-04-08,Confirmed,38,6,4,Eastern
2020-04-11,Confirmed,53,14,6,Central
2020-03-25,Confirmed,113,19,1,Northern
2020-04-10,Confirmed,72,9,2,Eastern
2020-04-09,Confirmed,83,15,9,Central
2020-06-14,Confirmed,53,4,3,Central
2020-06-11,Confirmed,50,4,1,Eastern
2020-04-06,Confirmed,275,40,5,Northern
2020-05-06,Probable,20,0,2,Northern
2020-02-23,Confirmed,2,0,0,Northern
2020-06-05,Confirmed,84,4,1,Northwest
2020-06-13,Confirmed,45,5,2,Northwest
2020-05-26,Confirmed,389,32,17,Northern
2020-06-30,Probable,1,0,0,Northwest
2020-03-28,Confirmed,12,2,2,Southwest
2020-06-10,Confirmed,184,7,2,Central
2020-06-07,Confirmed,40,3,2,Eastern
2020-04-12,Confirmed,61,17,9,Central
2020-04-16,Confirmed,15,2,1,Southwest
2020-04-15,Confirmed,43,9,3,Eastern
2020-05-10,Confirmed,106,9,3,Northwest
2020-04-27,Probable,10,0,0,Northwest
2020-04-25,Confirmed,69,2,2,Northwest
2020-06-26,Confirmed,17,3,0,Central
2020-06-23,Confirmed,113,5,1,Eastern
2020-03-30,Confirmed,36,7,0,Northwest
2020-04-25,Probable,2,0,0,Central
2020-04-23,Probable,9,0,0,Northwest
2020-05-11,Probable,2,0,0,Southwest
2020-03-19,Probable,1,0,0,Eastern
2020-06-01,Probable,8,0,0,Northwest
2020-05-22,Probable,12,0,0,Northwest
2020-06-26,Confirmed,43,4,1,Northern
2020-05-18,Probable,6,0,1,Eastern
2020-04-10,Probable,1,0,0,Southwest
2020-04-28,Confirmed,484,52,17,Northern
2020-06-20,Probable,2,0,0,Southwest
2020-06-04,Confirmed,95,4,0,Northwest
2020-06-19,Probable,2,0,0,Southwest
2020-06-12,Confirmed,71,3,1,Northwest
2020-04-29,Confirmed,477,58,15,Northern
2020-03-24,Probable,8,0,0,Central
2020-04-20,Probable,2,0,0,Eastern
2020-05-21,Confirmed,97,6,2,Northwest
2020-06-30,Confirmed,4,0,1,Northwest
2020-05-06,Confirmed,65,10,4,Northwest
2020-05-02,Confirmed,397,55,26,Northern
2020-05-31,Probable,6,1,0,Northern
2020-04-08,Probable,6,0,0,Eastern
2020-04-12,Confirmed,13,1,1,Southwest
2020-06-14,Confirmed,30,1,0,Southwest
2020-02-27,Confirmed,1,0,0,Northern
2020-06-06,Confirmed,36,4,0,Southwest
2020-06-06,Probable,11,0,0,Northwest
2020-02-19,Probable,1,0,0,Northern
2020-02-29,Confirmed,1,0,0,Northern
2020-04-08,Confirmed,61,10,0,Northwest
2020-06-03,Probable,4,0,0,Northern
2020-04-13,Probable,12,0,0,Northwest
2020-05-20,Probable,17,1,0,Northern
2020-03-02,Confirmed,7,0,0,Northern
2020-04-02,Probable,4,0,0,Northwest
2020-05-25,Probable,17,0,0,Northern
2020-04-01,Probable,11,0,0,Northwest
2020-06-01,Probable,15,0,0,Northern
2020-04-21,Confirmed,18,4,0,Southwest
2020-04-18,Confirmed,60,7,3,Eastern
2020-04-17,Confirmed,80,3,6,Central
2020-04-24,Probable,22,0,1,Northern
2020-03-17,Confirmed,30,1,0,Central
2020-03-16,Confirmed,46,3,0,Eastern
