"Event Date","Case Status","Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-05-07,Confirmed,16,3,8
2020-05-06,Confirmed,37,11,13
2020-05-06,Probable,3,0,1
2020-05-05,Confirmed,167,17,27
2020-05-05,Probable,5,0,0
2020-05-04,Confirmed,539,43,15
2020-05-04,Probable,8,0,0
2020-05-03,Confirmed,333,38,15
2020-05-03,Probable,5,0,1
2020-05-02,Confirmed,350,39,22
2020-05-02,Probable,10,2,1
2020-05-01,Confirmed,638,52,15
2020-05-01,Probable,28,0,0
2020-04-30,Confirmed,649,54,29
2020-04-30,Probable,25,0,0
2020-04-29,Confirmed,680,53,19
2020-04-29,Probable,16,0,1
2020-04-28,Confirmed,659,64,25
2020-04-28,Probable,26,0,0
2020-04-27,Confirmed,690,66,20
2020-04-27,Probable,24,2,0
2020-04-26,Confirmed,487,46,24
2020-04-26,Probable,17,0,3
2020-04-25,Confirmed,489,49,20
2020-04-25,Probable,38,1,3
2020-04-24,Confirmed,727,65,24
2020-04-24,Probable,44,0,1
2020-04-23,Confirmed,655,51,18
2020-04-23,Probable,35,0,2
2020-04-22,Confirmed,655,59,24
2020-04-22,Probable,39,0,0
2020-04-21,Confirmed,618,82,26
2020-04-21,Probable,24,2,2
2020-04-20,Confirmed,737,73,16
2020-04-20,Probable,52,1,2
2020-04-19,Confirmed,399,51,33
2020-04-19,Probable,28,1,0
2020-04-18,Confirmed,386,59,19
2020-04-18,Probable,19,1,0
2020-04-17,Confirmed,612,56,28
2020-04-17,Probable,38,0,1
2020-04-16,Confirmed,559,68,30
2020-04-16,Probable,16,0,0
2020-04-15,Confirmed,462,71,22
2020-04-15,Probable,20,0,0
2020-04-14,Confirmed,553,56,23
2020-04-14,Probable,29,0,1
2020-04-13,Confirmed,578,83,24
2020-04-13,Probable,39,2,1
2020-04-12,Confirmed,366,64,20
2020-04-12,Probable,34,0,1
2020-04-11,Confirmed,333,45,15
2020-04-11,Probable,29,0,0
2020-04-10,Confirmed,517,60,18
2020-04-10,Probable,30,0,0
2020-04-09,Confirmed,394,71,13
2020-04-09,Probable,21,0,0
2020-04-08,Confirmed,418,54,10
2020-04-08,Probable,31,0,1
2020-04-07,Confirmed,395,58,14
2020-04-07,Probable,17,0,0
2020-04-06,Confirmed,434,79,16
2020-04-06,Probable,34,0,0
2020-04-05,Confirmed,273,58,10
2020-04-05,Probable,25,0,0
2020-04-04,Confirmed,279,57,8
2020-04-04,Probable,14,0,0
2020-04-03,Confirmed,312,58,11
2020-04-03,Probable,17,1,0
2020-04-02,Confirmed,294,54,9
2020-04-02,Probable,16,0,0
2020-04-01,Confirmed,291,70,10
2020-04-01,Probable,27,0,1
2020-03-31,Confirmed,276,46,10
2020-03-31,Probable,12,0,1
2020-03-30,Confirmed,369,64,6
2020-03-30,Probable,18,0,0
2020-03-29,Confirmed,178,64,7
2020-03-29,Probable,8,0,0
2020-03-28,Confirmed,213,61,8
2020-03-28,Probable,5,0,0
2020-03-27,Confirmed,236,55,9
2020-03-27,Probable,4,0,0
2020-03-26,Confirmed,242,49,3
2020-03-26,Probable,11,0,1
2020-03-25,Confirmed,239,54,4
2020-03-25,Probable,7,0,0
2020-03-24,Confirmed,226,52,3
2020-03-24,Probable,14,0,0
2020-03-23,Confirmed,242,40,1
2020-03-23,Probable,16,0,0
2020-03-22,Confirmed,161,22,4
2020-03-22,Probable,6,0,0
2020-03-21,Confirmed,170,28,4
2020-03-21,Probable,8,0,0
2020-03-20,Confirmed,200,19,1
2020-03-20,Probable,7,0,0
2020-03-19,Confirmed,180,17,0
2020-03-19,Probable,7,0,0
2020-03-18,Confirmed,200,15,0
2020-03-18,Probable,7,0,0
2020-03-17,Confirmed,175,13,0
2020-03-17,Probable,10,0,0
2020-03-16,Confirmed,185,11,0
2020-03-16,Probable,6,0,0
2020-03-15,Confirmed,110,9,1
2020-03-15,Probable,6,0,0
2020-03-14,Confirmed,134,6,1
2020-03-14,Probable,3,0,0
2020-03-13,Confirmed,107,6,0
2020-03-13,Probable,4,0,0
2020-03-12,Confirmed,95,5,0
2020-03-12,Probable,3,0,0
2020-03-11,Confirmed,72,4,0
2020-03-11,Probable,3,0,0
2020-03-10,Confirmed,57,2,0
2020-03-10,Probable,2,0,0
2020-03-09,Confirmed,46,3,0
2020-03-09,Probable,1,0,0
2020-03-08,Confirmed,20,0,0
2020-03-08,Probable,1,0,0
2020-03-07,Confirmed,21,1,0
2020-03-07,Probable,1,0,0
2020-03-06,Confirmed,25,1,0
2020-03-05,Confirmed,13,1,0
2020-03-04,Confirmed,19,0,0
2020-03-03,Confirmed,13,0,0
2020-03-03,Probable,1,0,0
2020-03-02,Confirmed,14,0,0
2020-03-02,Probable,2,0,0
2020-03-01,Confirmed,11,0,0
2020-03-01,Probable,1,0,0
2020-02-29,Confirmed,4,0,0
2020-02-28,Confirmed,5,0,0
2020-02-27,Confirmed,1,0,0
2020-02-26,Confirmed,4,1,0
2020-02-26,Probable,1,0,0
2020-02-25,Probable,1,0,0
2020-02-24,Confirmed,5,0,0
2020-02-23,Confirmed,2,0,0
2020-02-23,Probable,1,0,0
2020-02-19,Confirmed,1,0,0
2020-02-18,Confirmed,2,1,0
2020-02-17,Probable,1,0,0
2020-02-16,Confirmed,1,0,0
