"﻿Report Date","Health District",Ethnicity,"Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-05-29,Southside,"Not Reported",168,26,14
2020-05-29,"Lord Fairfax","Hispanic or Latino",334,24,5
2020-05-29,"Eastern Shore","Not Hispanic or Latino",797,70,29
2020-05-29,Portsmouth,"Hispanic or Latino",9,2,0
2020-05-29,Fairfax,"Not Reported",2992,117,118
2020-05-29,Richmond,"Hispanic or Latino",361,36,2
2020-05-29,Chesapeake,"Not Reported",98,7,0
2020-05-29,Arlington,"Hispanic or Latino",678,154,14
2020-05-29,"West Piedmont","Not Hispanic or Latino",104,13,3
2020-05-29,Fairfax,"Not Hispanic or Latino",2708,611,231
2020-05-29,Piedmont,"Hispanic or Latino",19,0,0
2020-05-29,Crater,"Not Hispanic or Latino",284,56,9
2020-05-29,Chickahominy,"Not Hispanic or Latino",203,64,28
2020-05-29,"New River","Not Hispanic or Latino",64,14,1
2020-05-29,"Lord Fairfax","Not Reported",381,23,14
2020-05-29,Rappahannock,"Not Reported",494,23,1
2020-05-29,"Central Shenandoah","Not Reported",221,5,5
2020-05-29,"Central Virginia","Not Hispanic or Latino",76,12,3
2020-05-29,Lenowisco,"Not Hispanic or Latino",23,11,2
2020-05-29,"Cumberland Plateau","Not Hispanic or Latino",19,2,0
2020-05-29,"Western Tidewater","Not Hispanic or Latino",368,66,38
2020-05-29,"New River","Not Reported",33,0,0
2020-05-29,Chesterfield,"Not Reported",945,22,23
2020-05-29,Chesterfield,"Hispanic or Latino",252,9,0
2020-05-29,Hampton,"Not Hispanic or Latino",127,29,3
2020-05-29,Chesapeake,"Not Hispanic or Latino",362,74,14
2020-05-29,Peninsula,"Hispanic or Latino",54,10,1
2020-05-29,Arlington,"Not Reported",827,70,19
2020-05-29,Roanoke,"Not Hispanic or Latino",75,9,8
2020-05-29,"Lord Fairfax","Not Hispanic or Latino",606,72,31
2020-05-29,"Eastern Shore","Hispanic or Latino",154,5,3
2020-05-29,"Mount Rogers","Not Reported",19,2,0
2020-05-29,"Three Rivers","Not Hispanic or Latino",297,24,3
2020-05-29,"Thomas Jefferson","Not Reported",69,0,0
2020-05-29,"Three Rivers","Not Reported",166,12,5
2020-05-29,Arlington,"Not Hispanic or Latino",584,148,78
2020-05-29,Alleghany,"Not Hispanic or Latino",120,17,15
2020-05-29,Loudoun,"Not Reported",1228,7,8
2020-05-29,Fairfax,"Hispanic or Latino",5156,572,43
2020-05-29,Peninsula,"Not Reported",146,3,2
2020-05-29,Crater,"Hispanic or Latino",38,1,0
2020-05-29,Piedmont,"Not Hispanic or Latino",349,35,3
2020-05-29,Henrico,"Hispanic or Latino",184,17,4
2020-05-29,Alexandria,"Not Hispanic or Latino",572,97,35
2020-05-29,"Central Virginia","Hispanic or Latino",14,1,1
2020-05-29,Alleghany,"Not Reported",56,3,1
2020-05-29,"Cumberland Plateau","Hispanic or Latino",0,0,0
2020-05-29,"Western Tidewater","Hispanic or Latino",5,1,0
2020-05-29,Chesterfield,"Not Hispanic or Latino",321,54,29
2020-05-29,Pittsylvania-Danville,"Not Hispanic or Latino",64,20,3
2020-05-29,"Mount Rogers","Hispanic or Latino",127,0,0
2020-05-29,Richmond,"Not Reported",478,28,2
2020-05-29,Peninsula,"Not Hispanic or Latino",382,101,29
2020-05-29,Chesapeake,"Hispanic or Latino",34,5,1
2020-05-29,Southside,"Hispanic or Latino",2,1,0
2020-05-29,"Thomas Jefferson","Not Hispanic or Latino",351,68,19
2020-05-29,Norfolk,"Not Hispanic or Latino",290,58,6
2020-05-29,Portsmouth,"Not Reported",163,8,2
2020-05-29,Norfolk,"Not Reported",100,1,0
2020-05-29,"Three Rivers","Hispanic or Latino",42,0,0
2020-05-29,"Eastern Shore","Not Reported",104,0,0
2020-05-29,Alleghany,"Hispanic or Latino",19,4,0
2020-05-29,Henrico,"Not Reported",630,23,25
2020-05-29,Henrico,"Not Hispanic or Latino",864,154,104
2020-05-29,Loudoun,"Not Hispanic or Latino",598,97,50
2020-05-29,Hampton,"Not Reported",53,1,0
2020-05-29,"Rappahannock Rapidan","Not Hispanic or Latino",231,27,8
2020-05-29,Alexandria,"Not Reported",498,4,3
2020-05-29,Rappahannock,"Not Hispanic or Latino",446,71,14
2020-05-29,"Western Tidewater","Not Reported",253,3,1
2020-05-29,"Cumberland Plateau","Not Reported",14,0,0
2020-05-29,Alexandria,"Hispanic or Latino",871,80,6
2020-05-29,"Virginia Beach","Not Hispanic or Latino",467,80,21
2020-05-29,"Prince William","Hispanic or Latino",2400,323,29
2020-05-29,"Virginia Beach","Not Reported",160,6,1
2020-05-29,"Central Shenandoah","Hispanic or Latino",662,40,3
2020-05-29,Pittsylvania-Danville,"Hispanic or Latino",7,1,0
2020-05-29,"Mount Rogers","Not Hispanic or Latino",176,22,6
2020-05-29,Piedmont,"Not Reported",334,12,3
2020-05-29,Southside,"Not Hispanic or Latino",99,11,8
2020-05-29,"Thomas Jefferson","Hispanic or Latino",78,1,0
2020-05-29,Pittsylvania-Danville,"Not Reported",19,7,0
2020-05-29,Norfolk,"Hispanic or Latino",80,8,0
2020-05-29,Portsmouth,"Not Hispanic or Latino",122,33,9
2020-05-29,"West Piedmont","Not Reported",46,6,2
2020-05-29,Richmond,"Not Hispanic or Latino",363,82,18
2020-05-29,"West Piedmont","Hispanic or Latino",33,0,0
2020-05-29,"Prince William","Not Reported",3175,16,3
2020-05-29,"Rappahannock Rapidan","Not Reported",364,13,2
2020-05-29,Chickahominy,"Hispanic or Latino",26,2,0
2020-05-29,Lenowisco,"Not Reported",19,5,2
2020-05-29,"New River","Hispanic or Latino",12,1,0
2020-05-29,Crater,"Not Reported",381,33,9
2020-05-29,Chickahominy,"Not Reported",249,15,4
2020-05-29,Loudoun,"Hispanic or Latino",603,55,4
2020-05-29,"Rappahannock Rapidan","Hispanic or Latino",528,37,4
2020-05-29,Roanoke,"Not Reported",45,0,1
2020-05-29,Rappahannock,"Hispanic or Latino",508,54,2
2020-05-29,Lenowisco,"Hispanic or Latino",0,0,0
2020-05-29,"Virginia Beach","Hispanic or Latino",53,6,1
2020-05-29,"Prince William","Not Hispanic or Latino",986,200,85
2020-05-29,"Central Virginia","Not Reported",112,3,0
2020-05-29,"Central Shenandoah","Not Hispanic or Latino",608,73,22
2020-05-29,Hampton,"Hispanic or Latino",12,0,0
2020-05-29,Roanoke,"Hispanic or Latino",32,0,0
