"﻿Report Date","Health District","Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-05-07,Southside,144,26,10
2020-05-07,Chesapeake,311,68,9
2020-05-07,"Thomas Jefferson",328,60,13
2020-05-07,Roanoke,88,6,1
2020-05-07,"Eastern Shore",612,29,10
2020-05-07,"Mount Rogers",130,16,4
2020-05-07,Chickahominy,278,62,22
2020-05-07,"New River",80,12,1
2020-05-07,"Central Virginia",154,11,2
2020-05-07,Piedmont,346,26,3
2020-05-07,"Lord Fairfax",634,54,15
2020-05-07,Crater,268,63,14
2020-05-07,Hampton,131,28,3
2020-05-07,Alexandria,1060,127,29
2020-05-07,Fairfax,5116,846,218
2020-05-07,Richmond,473,81,17
2020-05-07,Arlington,1248,222,52
2020-05-07,"Rappahannock Rapidan",434,36,9
2020-05-07,Rappahannock,690,107,11
2020-05-07,Pittsylvania-Danville,55,20,2
2020-05-07,"Prince William",2836,297,42
2020-05-07,"Cumberland Plateau",28,2,0
2020-05-07,Portsmouth,193,37,8
2020-05-07,"Virginia Beach",454,83,17
2020-05-07,"West Piedmont",50,7,1
2020-05-07,"Three Rivers",306,25,5
2020-05-07,Alleghany,129,16,3
2020-05-07,Lenowisco,41,14,2
2020-05-07,Norfolk,270,48,5
2020-05-07,"Western Tidewater",462,53,24
2020-05-07,Henrico,1025,146,109
2020-05-07,"Central Shenandoah",974,56,22
2020-05-07,Loudoun,1043,105,26
2020-05-07,Chesterfield,788,61,32
2020-05-07,Peninsula,391,105,28
