Location,Offenders on‑site,Offenders in hospitals,Staff (includes both employees & contractors)
Appalachian Men’s CCAP,0,0,0
Augusta Correctional Center,0,0,0
Baskerville Correctional Center,0,0,0
Bland Correctional Center,0,0,0
Brunswick CCAP,0,0,0
Buckingham Correctional Center,0,0,0
Caroline Correctional Unit,0,0,0
Central Virginia Correctional Unit #13,11,0,0
Chesterfield Women’s CCAP,0,0,0
Coffeewood Correctional Center,0,0,0
Cold Springs CCAP,0,0,0
Cold Springs Correctional Unit #10,0,0,0
Deerfield Correctional Center (includes Deerfield Work Centers),0,0,1
Dillwyn Correctional Center,0,0,0
Fluvanna Correctional Center for Women,0,0,0
Green Rock Correctional Center,0,0,0
Greensville Correctional Center (includes Greensville Work Center),0,0,0
Halifax Correctional Unit,0,0,0
Harrisonburg Men’s CCAP,0,0,0
Haynesville Correctional Center,2,0,2
Haynesville Correctional Unit #17,0,0,0
Indian Creek Correctional Center,0,0,1
Keen Mountain Correctional Center,0,0,0
Lawrenceville Correctional Center,0,0,0
Lunenburg Correctional Center,0,0,0
Marion Correctional Treatment Center,0,0,0
Nottoway Correctional Center (includes Nottoway Work Center),0,0,0
Patrick Henry Correctional Unit,0,0,0
Pocahontas State Correctional Center,0,0,0
Red Onion State Prison,0,0,0
River North Correctional Center,0,0,0
Rustburg Correctional Unit,0,0,0
St. Brides Correctional Center,0,0,0
Stafford Men’s CCAP,0,0,0
State Farm Correctional Complex,0,0,2
Sussex I State Prison,0,0,0
Sussex II State Prison,2,2,1
Virginia Correctional Center for Women (includes State Farm Work Center),12,4,19
Wallens Ridge State Prison,0,0,0
Wise Correctional Unit,0,0,0
Probation & Parole — Eastern Region,n/a,n/a,4
Probation & Parole — Central Region,n/a,n/a,0
Probation & Parole — Western Region,n/a,n/a,0
Totals,27,6,30
