LOCATION,OFFENDERS ON‑SITE,OFFENDERS IN HOSPITALS,DEATH OF COVID‑19 POSITIVE OFFENDER,TOTAL POSITIVE OFFENDERS onsite + hospital + deaths + releases + recovered + transfers in - transfers out,STAFF active cases including employees & contractors
Appalachian Men’s CCAP,0,0,0,0,0
Augusta Correctional Center,0,0,0,0,0
Baskerville Correctional Center,0,0,0,0,1
Bland Correctional Center,0,0,0,0,0
Brunswick CCAP,0,0,0,0,1
Buckingham Correctional Center,44,3,3,152,9
Caroline Correctional Unit,0,0,0,0,0
Central Virginia Correctional Unit #13,0,0,0,57,3
Chesterfield Women’s CCAP,0,0,0,0,0
Coffeewood Correctional Center,0,0,0,0,0
Cold Springs CCAP,0,0,0,0,0
Cold Springs Correctional Unit #10,0,0,0,0,0
Deerfield Correctional Center (includes Deerfield Work Centers),0,1,1,78,1
Dillwyn Correctional Center,93,0,2,348,2
Fluvanna Correctional Center for Women,8,0,0,8,2
Green Rock Correctional Center,0,0,0,0,0
Greensville Correctional Center (includes Greensville Work Center),195,3,0,203,57
Halifax Correctional Unit,0,0,0,0,0
Harrisonburg Men’s CCAP,5,0,0,26,1
Haynesville Correctional Center,68,2,1,256,5
Haynesville Correctional Unit #17,0,0,0,0,0
Indian Creek Correctional Center,0,0,0,0,1
Keen Mountain Correctional Center,0,0,0,0,1
Lawrenceville Correctional Center,0,0,0,0,1
Lunenburg Correctional Center,0,0,0,0,0
Marion Correctional Treatment Center,0,0,0,0,0
Nottoway Correctional Center (includes Nottoway Work Center),1,0,0,1,2
Patrick Henry Correctional Unit,0,0,0,0,0
Pocahontas State Correctional Center,0,0,0,0,0
Red Onion State Prison,0,0,0,0,0
River North Correctional Center,0,0,0,0,0
Rustburg Correctional Unit,0,0,0,0,0
St. Brides Correctional Center,0,0,0,0,1
Stafford Men’s CCAP,0,0,0,0,0
State Farm Correctional Complex,21,1,0,22,22
Sussex I State Prison,2,0,0,2,6
Sussex II State Prison,8,0,1,73,4
Virginia Correctional Center for Women (includes State Farm Work Center),0,0,1,45,6
Wallens Ridge State Prison,0,0,0,0,1
Wise Correctional Unit,0,0,0,0,0
Probation & Parole — Eastern Region,n/a,n/a,n/a,n/a,0
Probation & Parole — Central Region,n/a,n/a,n/a,n/a,0
Probation & Parole — Western Region,n/a,n/a,n/a,n/a,0
Administration & Operations,n/a,n/a,n/a,n/a,0
TOTALS,455,10,9,1271,127
