"﻿Report Date","Health District","Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-05-25,Southside,255,37,21
2020-05-25,Chesapeake,449,82,14
2020-05-25,"Thomas Jefferson",422,68,19
2020-05-25,Roanoke,140,7,9
2020-05-25,"Eastern Shore",947,62,28
2020-05-25,"Mount Rogers",290,20,6
2020-05-25,Chickahominy,424,77,27
2020-05-25,"New River",97,13,1
2020-05-25,"Central Virginia",183,15,4
2020-05-25,Piedmont,645,44,6
2020-05-25,"Lord Fairfax",1128,103,45
2020-05-25,Crater,499,82,16
2020-05-25,Hampton,181,30,3
2020-05-25,Alexandria,1754,175,38
2020-05-25,Fairfax,9587,1235,339
2020-05-25,Richmond,1040,134,20
2020-05-25,Arlington,1897,368,101
2020-05-25,"Rappahannock Rapidan",1025,73,11
2020-05-25,Rappahannock,1249,137,16
2020-05-25,Pittsylvania-Danville,83,25,3
2020-05-25,"Prince William",5812,512,108
2020-05-25,"Cumberland Plateau",32,2,0
2020-05-25,Portsmouth,272,40,11
2020-05-25,"Virginia Beach",618,90,20
2020-05-25,"West Piedmont",148,15,5
2020-05-25,"Three Rivers",480,33,6
2020-05-25,Alleghany,179,24,16
2020-05-25,Lenowisco,42,15,4
2020-05-25,Norfolk,432,61,6
2020-05-25,"Western Tidewater",607,64,37
2020-05-25,Henrico,1492,177,118
2020-05-25,"Central Shenandoah",1398,110,28
2020-05-25,Loudoun,2047,150,52
2020-05-25,Chesterfield,1312,76,38
2020-05-25,Peninsula,561,113,32
