"﻿Report Date","Health District","Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-05-13,Southside,183,29,13
2020-05-13,Chesapeake,354,75,9
2020-05-13,"Thomas Jefferson",360,65,13
2020-05-13,Roanoke,116,7,1
2020-05-13,"Eastern Shore",719,34,12
2020-05-13,"Mount Rogers",203,17,4
2020-05-13,Chickahominy,314,69,24
2020-05-13,"New River",87,12,1
2020-05-13,"Central Virginia",167,15,2
2020-05-13,Piedmont,482,36,5
2020-05-13,"Lord Fairfax",770,72,28
2020-05-13,Crater,317,72,14
2020-05-13,Hampton,148,29,3
2020-05-13,Alexandria,1305,148,31
2020-05-13,Fairfax,6748,1014,269
2020-05-13,Richmond,592,102,18
2020-05-13,Arlington,1460,300,69
2020-05-13,"Rappahannock Rapidan",592,48,11
2020-05-13,Rappahannock,838,122,14
2020-05-13,Pittsylvania-Danville,58,21,2
2020-05-13,"Prince William",3792,376,72
2020-05-13,"Cumberland Plateau",28,2,0
2020-05-13,Portsmouth,213,39,9
2020-05-13,"Virginia Beach",519,85,18
2020-05-13,"West Piedmont",66,10,1
2020-05-13,"Three Rivers",350,28,5
2020-05-13,Alleghany,153,23,3
2020-05-13,Lenowisco,42,15,4
2020-05-13,Norfolk,327,52,5
2020-05-13,"Western Tidewater",491,56,27
2020-05-13,Henrico,1146,166,112
2020-05-13,"Central Shenandoah",1114,74,24
2020-05-13,Loudoun,1283,129,38
2020-05-13,Chesterfield,955,70,36
2020-05-13,Peninsula,454,108,30
