Event Date,Case Status,Number of Cases,Number of Hospitalizations,Number of Deaths
2020-05-03,Confirmed,7,0,2
2020-05-02,Confirmed,42,4,12
2020-05-02,Probable,1,1,1
2020-05-01,Confirmed,340,15,7
2020-05-01,Probable,6,0,1
2020-04-30,Confirmed,550,25,25
2020-04-30,Probable,8,0,0
2020-04-29,Confirmed,573,39,15
2020-04-29,Probable,9,0,0
2020-04-28,Confirmed,611,49,23
2020-04-28,Probable,18,0,0
2020-04-27,Confirmed,652,54,18
2020-04-27,Probable,17,1,0
2020-04-26,Confirmed,428,37,22
2020-04-26,Probable,16,0,3
2020-04-25,Confirmed,436,46,19
2020-04-25,Probable,34,1,2
2020-04-24,Confirmed,673,56,21
2020-04-24,Probable,39,0,1
2020-04-23,Confirmed,604,47,17
2020-04-23,Probable,26,0,2
2020-04-22,Confirmed,607,56,24
2020-04-22,Probable,35,0,0
2020-04-21,Confirmed,594,76,26
2020-04-21,Probable,25,2,2
2020-04-20,Confirmed,673,66,16
2020-04-20,Probable,42,0,2
2020-04-19,Confirmed,386,48,33
2020-04-19,Probable,23,1,0
2020-04-18,Confirmed,377,58,18
2020-04-18,Probable,17,1,0
2020-04-17,Confirmed,596,54,27
2020-04-17,Probable,29,0,1
2020-04-16,Confirmed,531,64,29
2020-04-16,Probable,14,0,0
2020-04-15,Confirmed,440,70,22
2020-04-15,Probable,17,0,0
2020-04-14,Confirmed,557,55,23
2020-04-14,Probable,29,1,1
2020-04-13,Confirmed,551,81,23
2020-04-13,Probable,35,2,1
2020-04-12,Confirmed,345,65,19
2020-04-12,Probable,32,0,1
2020-04-11,Confirmed,329,44,15
2020-04-11,Probable,25,0,0
2020-04-10,Confirmed,511,59,18
2020-04-10,Probable,30,0,0
2020-04-09,Confirmed,387,70,12
2020-04-09,Probable,20,0,0
2020-04-08,Confirmed,413,50,9
2020-04-08,Probable,33,0,1
2020-04-07,Confirmed,396,58,14
2020-04-07,Probable,19,0,0
2020-04-06,Confirmed,423,78,16
2020-04-06,Probable,30,0,0
2020-04-05,Confirmed,272,55,10
2020-04-05,Probable,21,0,0
2020-04-04,Confirmed,271,56,8
2020-04-04,Probable,14,0,0
2020-04-03,Confirmed,306,55,10
2020-04-03,Probable,15,1,0
2020-04-02,Confirmed,282,51,9
2020-04-02,Probable,15,0,0
2020-04-01,Confirmed,282,69,10
2020-04-01,Probable,17,0,1
2020-03-31,Confirmed,275,45,10
2020-03-31,Probable,9,0,1
2020-03-30,Confirmed,358,65,6
2020-03-30,Probable,15,0,0
2020-03-29,Confirmed,182,63,6
2020-03-29,Probable,7,0,0
2020-03-28,Confirmed,211,59,8
2020-03-28,Probable,4,0,0
2020-03-27,Confirmed,232,50,9
2020-03-27,Probable,3,0,0
2020-03-26,Confirmed,242,47,3
2020-03-26,Probable,12,0,1
2020-03-25,Confirmed,231,54,4
2020-03-25,Probable,6,0,0
2020-03-24,Confirmed,224,52,3
2020-03-24,Probable,10,0,0
2020-03-23,Confirmed,240,40,1
2020-03-23,Probable,14,0,0
2020-03-22,Confirmed,156,22,4
2020-03-22,Probable,6,0,0
2020-03-21,Confirmed,164,27,4
2020-03-21,Probable,6,0,0
2020-03-20,Confirmed,198,19,1
2020-03-20,Probable,3,0,0
2020-03-19,Confirmed,180,17,0
2020-03-19,Probable,3,0,0
2020-03-18,Confirmed,194,14,0
2020-03-18,Probable,6,0,0
2020-03-17,Confirmed,167,12,0
2020-03-17,Probable,6,0,0
2020-03-16,Confirmed,181,11,0
2020-03-16,Probable,4,0,0
2020-03-15,Confirmed,106,9,1
2020-03-15,Probable,4,0,0
2020-03-14,Confirmed,134,6,1
2020-03-14,Probable,3,0,0
2020-03-13,Confirmed,106,6,0
2020-03-13,Probable,4,0,0
2020-03-12,Confirmed,93,5,0
2020-03-12,Probable,2,0,0
2020-03-11,Confirmed,70,4,0
2020-03-11,Probable,2,0,0
2020-03-10,Confirmed,55,2,0
2020-03-10,Probable,1,0,0
2020-03-09,Confirmed,45,3,0
2020-03-09,Probable,1,0,0
2020-03-08,Confirmed,20,0,0
2020-03-08,Probable,1,0,0
2020-03-07,Confirmed,20,1,0
2020-03-06,Confirmed,24,1,0
2020-03-05,Confirmed,13,1,0
2020-03-04,Confirmed,16,0,0
2020-03-03,Confirmed,11,0,0
2020-03-03,Probable,1,0,0
2020-03-02,Confirmed,9,0,0
2020-03-02,Probable,2,0,0
2020-03-01,Confirmed,10,0,0
2020-03-01,Probable,1,0,0
2020-02-29,Confirmed,2,0,0
2020-02-28,Confirmed,5,0,0
2020-02-27,Confirmed,1,0,0
2020-02-26,Confirmed,3,1,0
2020-02-26,Probable,1,0,0
2020-02-24,Confirmed,2,0,0
2020-02-23,Confirmed,2,0,0
2020-02-19,Confirmed,1,0,0
2020-02-18,Confirmed,1,1,0
2020-02-16,Confirmed,1,0,0
