"﻿Report Date","Health District",Ethnicity,"Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-05-28,Southside,"Not Reported",167,26,14
2020-05-28,"Lord Fairfax","Hispanic or Latino",314,24,4
2020-05-28,"Eastern Shore","Not Hispanic or Latino",773,62,29
2020-05-28,Portsmouth,"Hispanic or Latino",7,2,0
2020-05-28,Fairfax,"Not Reported",2913,117,117
2020-05-28,Richmond,"Hispanic or Latino",350,34,2
2020-05-28,Chesapeake,"Not Reported",96,7,0
2020-05-28,Arlington,"Hispanic or Latino",667,153,12
2020-05-28,"West Piedmont","Not Hispanic or Latino",101,13,3
2020-05-28,Fairfax,"Not Hispanic or Latino",2667,605,226
2020-05-28,Piedmont,"Hispanic or Latino",18,0,0
2020-05-28,Crater,"Not Hispanic or Latino",274,54,9
2020-05-28,Chickahominy,"Not Hispanic or Latino",200,62,28
2020-05-28,"New River","Not Hispanic or Latino",63,13,1
2020-05-28,"Lord Fairfax","Not Reported",374,23,14
2020-05-28,Rappahannock,"Not Reported",494,21,1
2020-05-28,"Central Shenandoah","Not Reported",220,5,5
2020-05-28,"Central Virginia","Not Hispanic or Latino",76,12,3
2020-05-28,Lenowisco,"Not Hispanic or Latino",23,11,2
2020-05-28,"Cumberland Plateau","Not Hispanic or Latino",19,2,0
2020-05-28,"Western Tidewater","Not Hispanic or Latino",366,63,37
2020-05-28,"New River","Not Reported",32,0,0
2020-05-28,Chesterfield,"Not Reported",894,19,21
2020-05-28,Chesterfield,"Hispanic or Latino",238,9,0
2020-05-28,Hampton,"Not Hispanic or Latino",126,29,3
2020-05-28,Chesapeake,"Not Hispanic or Latino",353,74,13
2020-05-28,Peninsula,"Hispanic or Latino",50,10,1
2020-05-28,Arlington,"Not Reported",792,72,19
2020-05-28,Roanoke,"Not Hispanic or Latino",75,9,8
2020-05-28,"Lord Fairfax","Not Hispanic or Latino",591,71,30
2020-05-28,"Eastern Shore","Hispanic or Latino",154,5,3
2020-05-28,"Mount Rogers","Not Reported",20,2,0
2020-05-28,"Three Rivers","Not Hispanic or Latino",296,24,3
2020-05-28,"Thomas Jefferson","Not Reported",60,0,0
2020-05-28,"Three Rivers","Not Reported",166,12,5
2020-05-28,Arlington,"Not Hispanic or Latino",580,148,78
2020-05-28,Alleghany,"Not Hispanic or Latino",119,17,15
2020-05-28,Loudoun,"Not Reported",1149,6,8
2020-05-28,Fairfax,"Hispanic or Latino",5039,564,42
2020-05-28,Peninsula,"Not Reported",151,3,2
2020-05-28,Crater,"Hispanic or Latino",36,1,0
2020-05-28,Piedmont,"Not Hispanic or Latino",335,32,3
2020-05-28,Henrico,"Hispanic or Latino",161,17,4
2020-05-28,Alexandria,"Not Hispanic or Latino",567,97,35
2020-05-28,"Central Virginia","Hispanic or Latino",14,1,1
2020-05-28,Alleghany,"Not Reported",52,3,1
2020-05-28,"Cumberland Plateau","Hispanic or Latino",0,0,0
2020-05-28,"Western Tidewater","Hispanic or Latino",3,0,0
2020-05-28,Chesterfield,"Not Hispanic or Latino",315,52,30
2020-05-28,Pittsylvania-Danville,"Not Hispanic or Latino",63,20,3
2020-05-28,"Mount Rogers","Hispanic or Latino",126,0,0
2020-05-28,Richmond,"Not Reported",436,28,2
2020-05-28,Peninsula,"Not Hispanic or Latino",381,100,29
2020-05-28,Chesapeake,"Hispanic or Latino",32,5,1
2020-05-28,Southside,"Hispanic or Latino",2,1,0
2020-05-28,"Thomas Jefferson","Not Hispanic or Latino",347,67,19
2020-05-28,Norfolk,"Not Hispanic or Latino",277,54,6
2020-05-28,Portsmouth,"Not Reported",160,8,2
2020-05-28,Norfolk,"Not Reported",100,1,0
2020-05-28,"Three Rivers","Hispanic or Latino",42,0,0
2020-05-28,"Eastern Shore","Not Reported",107,0,0
2020-05-28,Alleghany,"Hispanic or Latino",15,4,0
2020-05-28,Henrico,"Not Reported",631,21,23
2020-05-28,Henrico,"Not Hispanic or Latino",832,146,104
2020-05-28,Loudoun,"Not Hispanic or Latino",589,96,50
2020-05-28,Hampton,"Not Reported",53,1,0
2020-05-28,"Rappahannock Rapidan","Not Hispanic or Latino",225,26,7
2020-05-28,Alexandria,"Not Reported",464,4,3
2020-05-28,Rappahannock,"Not Hispanic or Latino",434,70,14
2020-05-28,"Western Tidewater","Not Reported",252,3,1
2020-05-28,"Cumberland Plateau","Not Reported",14,0,0
2020-05-28,Alexandria,"Hispanic or Latino",856,79,6
2020-05-28,"Virginia Beach","Not Hispanic or Latino",463,79,20
2020-05-28,"Prince William","Hispanic or Latino",2354,320,29
2020-05-28,"Virginia Beach","Not Reported",147,6,1
2020-05-28,"Central Shenandoah","Hispanic or Latino",655,40,3
2020-05-28,Pittsylvania-Danville,"Hispanic or Latino",7,1,0
2020-05-28,"Mount Rogers","Not Hispanic or Latino",172,20,6
2020-05-28,Piedmont,"Not Reported",342,12,3
2020-05-28,Southside,"Not Hispanic or Latino",99,11,8
2020-05-28,"Thomas Jefferson","Hispanic or Latino",73,1,0
2020-05-28,Pittsylvania-Danville,"Not Reported",18,6,0
2020-05-28,Norfolk,"Hispanic or Latino",75,7,0
2020-05-28,Portsmouth,"Not Hispanic or Latino",117,32,9
2020-05-28,"West Piedmont","Not Reported",45,6,2
2020-05-28,Richmond,"Not Hispanic or Latino",347,76,17
2020-05-28,"West Piedmont","Hispanic or Latino",33,0,0
2020-05-28,"Prince William","Not Reported",3091,15,3
