FIPS,District,Region,Value,Class,Measure,Week
NULL,NULL,NULL,9,Median,Onset_PH,NULL
NULL,NULL,NULL,9.66999,Mean,Onset_PH,NULL
NULL,NULL,NULL,51,Mean,Age Group,NULL
NULL,NULL,NULL,106,Maximum,Age Group,NULL
NULL,NULL,Central,0,1/1/2020,Epi_Curve,NULL
NULL,NULL,Central,0,1/2/2020,Epi_Curve,NULL
NULL,NULL,Central,0,1/4/2020,Epi_Curve,NULL
NULL,NULL,Central,0,1/6/2020,Epi_Curve,NULL
NULL,NULL,Central,0,1/9/2020,Epi_Curve,NULL
NULL,NULL,Central,0,1/10/2020,Epi_Curve,NULL
NULL,NULL,Central,0,1/14/2020,Epi_Curve,NULL
NULL,NULL,Central,0,1/19/2020,Epi_Curve,NULL
NULL,NULL,Central,0,1/20/2020,Epi_Curve,NULL
NULL,NULL,Central,0,1/21/2020,Epi_Curve,NULL
NULL,NULL,Central,0,1/23/2020,Epi_Curve,NULL
NULL,NULL,Central,0,1/24/2020,Epi_Curve,NULL
NULL,NULL,Central,0,1/26/2020,Epi_Curve,NULL
NULL,NULL,Central,0,1/29/2020,Epi_Curve,NULL
NULL,NULL,Central,0,1/30/2020,Epi_Curve,NULL
NULL,NULL,Central,0,2/2/2020,Epi_Curve,NULL
NULL,NULL,Central,0,2/5/2020,Epi_Curve,NULL
NULL,NULL,Central,0,2/7/2020,Epi_Curve,NULL
NULL,NULL,Central,0,2/8/2020,Epi_Curve,NULL
NULL,NULL,Central,0,2/10/2020,Epi_Curve,NULL
NULL,NULL,Central,0,2/13/2020,Epi_Curve,NULL
NULL,NULL,Central,0,2/15/2020,Epi_Curve,NULL
NULL,NULL,Central,0,2/16/2020,Epi_Curve,NULL
NULL,NULL,Central,0,2/18/2020,Epi_Curve,NULL
NULL,NULL,Central,0,2/20/2020,Epi_Curve,NULL
NULL,NULL,Central,0,2/21/2020,Epi_Curve,NULL
NULL,NULL,Central,0,2/23/2020,Epi_Curve,NULL
NULL,NULL,Central,0,2/28/2020,Epi_Curve,NULL
NULL,NULL,Central,0,2/29/2020,Epi_Curve,NULL
NULL,NULL,Central,0,3/5/2020,Epi_Curve,NULL
NULL,NULL,Central,0,Minimum,Onset_PH,NULL
NULL,NULL,Central,0,Not Reported,Age Group,NULL
NULL,NULL,Central,1,2/26/2020,Epi_Curve,NULL
NULL,NULL,Central,1,3/3/2020,Epi_Curve,NULL
NULL,NULL,Central,1,3/6/2020,Epi_Curve,NULL
NULL,NULL,Central,1,3/8/2020,Epi_Curve,NULL
NULL,NULL,Central,2,0-9,Age Group,NULL
NULL,NULL,Central,2,4/4/2020,Epi_Curve,NULL
NULL,NULL,Central,5,3/16/2020,Epi_Curve,NULL
NULL,NULL,Central,8,Hispanic or Latino,Race,NULL
NULL,NULL,Central,8,Other,Race,NULL
NULL,NULL,Central,8.134146,Mean,Onset_PH,NULL
NULL,NULL,Central,9,3/21/2020,Epi_Curve,NULL
NULL,NULL,Central,9,Median,Onset_PH,NULL
NULL,NULL,Central,10,3/13/2020,Epi_Curve,NULL
NULL,NULL,Central,11,4/2/2020,Epi_Curve,NULL
NULL,NULL,Central,14,4/3/2020,Epi_Curve,NULL
NULL,NULL,Central,17,3/17/2020,Epi_Curve,NULL
NULL,NULL,Central,22,3/23/2020,Epi_Curve,NULL
NULL,NULL,Central,23,Maximum,Onset_PH,NULL
NULL,NULL,Central,24,3/19/2020,Epi_Curve,NULL
NULL,NULL,Central,26,3/28/2020,Epi_Curve,NULL
NULL,NULL,Central,31,Not Reported,Sex,NULL
NULL,NULL,Central,35,3/29/2020,Epi_Curve,NULL
NULL,NULL,Central,37,3/27/2020,Epi_Curve,NULL
NULL,NULL,Central,48,20-29,Age Group,NULL
NULL,NULL,Central,57,Mean,Age Group,NULL
NULL,NULL,Central,87,70-79,Age Group,NULL
NULL,NULL,Central,106,Maximum,Age Group,NULL
NULL,NULL,Central,110,60-69,Age Group,NULL
NULL,NULL,Central,287,Female,Sex,NULL
NULL,NULL,Central,372,Not Reported,Race,NULL
NULL,NULL,Eastern,0,1/1/2020,Epi_Curve,NULL
NULL,NULL,Eastern,0,1/2/2020,Epi_Curve,NULL
NULL,NULL,Eastern,0,1/3/2020,Epi_Curve,NULL
NULL,NULL,Eastern,0,1/4/2020,Epi_Curve,NULL
NULL,NULL,Eastern,0,1/6/2020,Epi_Curve,NULL
