"﻿Report Date","Health District","Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-05-14,Southside,193,30,13
2020-05-14,Chesapeake,362,76,9
2020-05-14,"Thomas Jefferson",364,65,13
2020-05-14,Roanoke,120,7,1
2020-05-14,"Eastern Shore",777,38,14
2020-05-14,"Mount Rogers",205,17,4
2020-05-14,Chickahominy,333,71,26
2020-05-14,"New River",88,12,1
2020-05-14,"Central Virginia",169,15,3
2020-05-14,Piedmont,486,36,5
2020-05-14,"Lord Fairfax",793,74,31
2020-05-14,Crater,344,76,14
2020-05-14,Hampton,156,29,3
2020-05-14,Alexandria,1349,152,32
2020-05-14,Fairfax,7035,1034,274
2020-05-14,Richmond,611,102,18
2020-05-14,Arlington,1499,305,70
2020-05-14,"Rappahannock Rapidan",612,52,11
2020-05-14,Rappahannock,873,123,14
2020-05-14,Pittsylvania-Danville,60,21,2
2020-05-14,"Prince William",4036,385,74
2020-05-14,"Cumberland Plateau",28,2,0
2020-05-14,Portsmouth,217,39,9
2020-05-14,"Virginia Beach",528,86,19
2020-05-14,"West Piedmont",67,10,2
2020-05-14,"Three Rivers",359,29,6
2020-05-14,Alleghany,157,23,4
2020-05-14,Lenowisco,42,15,4
2020-05-14,Norfolk,338,56,5
2020-05-14,"Western Tidewater",495,57,28
2020-05-14,Henrico,1174,168,112
2020-05-14,"Central Shenandoah",1136,78,24
2020-05-14,Loudoun,1339,131,44
2020-05-14,Chesterfield,1005,70,36
2020-05-14,Peninsula,463,108,30
