"﻿Report Date","Health District","Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-05-22,Southside,242,34,21
2020-05-22,Chesapeake,419,82,13
2020-05-22,"Thomas Jefferson",401,68,14
2020-05-22,Roanoke,140,7,9
2020-05-22,"Eastern Shore",917,59,27
2020-05-22,"Mount Rogers",262,20,6
2020-05-22,Chickahominy,386,77,26
2020-05-22,"New River",90,12,1
2020-05-22,"Central Virginia",182,15,4
2020-05-22,Piedmont,635,43,5
2020-05-22,"Lord Fairfax",1031,96,37
2020-05-22,Crater,474,81,14
2020-05-22,Hampton,169,30,3
2020-05-22,Alexandria,1657,175,37
2020-05-22,Fairfax,8831,1198,330
2020-05-22,Richmond,934,127,20
2020-05-22,Arlington,1795,346,91
2020-05-22,"Rappahannock Rapidan",934,71,11
2020-05-22,Rappahannock,1129,131,14
2020-05-22,Pittsylvania-Danville,73,24,3
2020-05-22,"Prince William",5307,496,91
2020-05-22,"Cumberland Plateau",32,2,0
2020-05-22,Portsmouth,251,40,11
2020-05-22,"Virginia Beach",591,90,19
2020-05-22,"West Piedmont",127,13,3
2020-05-22,"Three Rivers",451,33,6
2020-05-22,Alleghany,171,24,14
2020-05-22,Lenowisco,42,15,4
2020-05-22,Norfolk,388,59,6
2020-05-22,"Western Tidewater",576,60,31
2020-05-22,Henrico,1375,174,117
2020-05-22,"Central Shenandoah",1338,106,28
2020-05-22,Loudoun,1807,149,51
2020-05-22,Chesterfield,1261,75,37
2020-05-22,Peninsula,532,113,32
,Peninsula,532,113,32
,,,,
