Date,"Vent Patients","ICU Patients",PPE,"Total COVID-19 Patients","Surge Capacity",Capacity,"Beds Occupied"
2020-04-20,237,396,6,1296,19771.2,16476,10515
2020-05-09,198,367,0,1593,19771.2,16476,11778
2020-04-26,217,387,2,1436,19771.2,16476,11156
2020-05-22,207,366,0,1459,19771.2,16476,12287
2020-04-30,208,372,2,1550,19771.2,16476,11377
2020-04-18,230,398,6,1307,19771.2,16476,10379
2020-05-10,187,351,0,1555,19771.2,16476,11790
2020-04-22,244,419,3,1374,19771.2,16476,10957
2020-05-20,202,370,0,1536,19771.2,16476,12212
2020-05-24,192,354,0,1351,19771.2,16476,11904
2020-04-14,276,422,7,1282,19771.2,16476,10485
2020-05-07,203,371,0,1613,19771.2,16476,11793
2020-04-25,223,357,3,1405,19771.2,16476,11123
2020-04-17,224,400,6,1308,19771.2,16476,10889
2020-05-12,201,364,0,1529,19771.2,16476,11692
2020-05-05,189,361,0,1496,19771.2,16476,11750
2020-04-16,238,427,6,1337,19771.2,16476,10933
2020-05-08,199,378,0,1625,19771.2,16476,11841
2020-05-11,194,362,0,1504,19771.2,16476,11829
2020-05-18,194,361,0,1502,19771.2,16476,12087
2020-05-13,202,374,0,1526,19771.2,16476,11930
2020-05-04,192,348,0,1463,19771.2,16476,11459
2020-05-19,199,377,0,1497,19771.2,16476,12065
2020-05-25,182,349,0,1376,19771.2,16476,11968
2020-05-06,192,396,0,1594,19771.2,16476,11715
2020-05-16,189,381,0,1505,19771.2,16476,11999
2020-05-02,202,375,1,1426,19771.2,16476,11406
2020-04-28,217,376,2,1508,19771.2,16476,11299
2020-05-03,193,385,0,1413,19771.2,16476,11289
2020-05-21,191,351,0,1491,19771.2,16476,12226
2020-04-24,220,379,4,1399,19771.2,16476,10991
2020-05-14,201,355,0,1533,19771.2,16476,12116
2020-04-19,231,388,6,1319,19771.2,16476,10623
2020-04-21,251,403,4,1331,19771.2,16476,11011
2020-04-23,249,400,3,1379,19771.2,16476,11149
2020-04-29,222,387,1,1566,19771.2,16476,11324
2020-04-15,234,394,6,1298,19771.2,16476,10859
2020-05-01,193,366,2,1431,19771.2,16476,11295
2020-05-23,213,330,0,1384,19771.2,16476,12191
2020-05-17,195,379,0,1524,19771.2,16476,11926
2020-05-15,195,362,0,1511,19771.2,16476,12148
2020-04-27,217,389,2,1455,19771.2,16476,11043
