Date,Total COVID-19 Patients,ICU Patients,Vent Patients,PPE,Beds Occupied,Surge Capacity,Capacity
2020-05-07,1613,371,203,0,11793,19771.2,16476
2020-05-06,1594,396,192,0,11715,19771.2,16476
2020-05-05,1496,361,189,0,11750,19771.2,16476
2020-05-04,1463,348,192,0,11459,19771.2,16476
2020-05-03,1413,385,193,0,11289,19771.2,16476
2020-05-02,1426,375,202,1,11406,19771.2,16476
2020-05-01,1431,366,193,2,11295,19771.2,16476
2020-04-30,1550,372,208,2,11377,19771.2,16476
2020-04-29,1566,387,222,1,11324,19771.2,16476
2020-04-28,1508,376,217,2,11299,19771.2,16476
2020-04-27,1455,389,217,2,11043,19771.2,16476
2020-04-26,1436,387,217,2,11156,19771.2,16476
2020-04-25,1405,357,223,3,11123,19771.2,16476
2020-04-24,1399,379,220,4,10991,19771.2,16476
2020-04-23,1379,400,249,3,11149,19771.2,16476
2020-04-22,1374,419,244,3,10957,19771.2,16476
2020-04-21,1331,403,251,4,11011,19771.2,16476
2020-04-20,1296,396,237,6,10515,19771.2,16476
2020-04-19,1319,388,231,6,10623,19771.2,16476
2020-04-18,1307,398,230,6,10379,19771.2,16476
2020-04-17,1308,400,224,6,10889,19771.2,16476
2020-04-16,1337,427,238,6,10933,19771.2,16476
2020-04-15,1298,394,234,6,10859,19771.2,16476
2020-04-14,1282,422,276,7,10485,19771.2,16476
