LOCATION,OFFENDERS ON‑SITE,OFFENDERS IN HOSPITALS,DEATH OF COVID‑19 POSITIVE OFFENDER,TOTAL POSITIVE OFFENDERS onsite + hospital + deaths + releases + recovered + transfers in - transfers out,STAFF active cases including employees & contractors
Appalachian Men’s CCAP,0,0,0,0,0
Augusta Correctional Center,0,0,0,0,0
Baskerville Correctional Center,0,0,0,0,1
Bland Correctional Center,0,0,0,0,0
Brunswick CCAP,0,0,0,0,0
Buckingham Correctional Center,15,2,3,165,7
Caroline Correctional Unit,0,0,0,0,0
Central Virginia Correctional Unit #13,0,0,0,57,2
Chesterfield Women’s CCAP,0,0,0,0,0
Coffeewood Correctional Center,0,0,0,0,0
Cold Springs CCAP,0,0,0,0,0
Cold Springs Correctional Unit #10,0,0,0,0,0
Deerfield Correctional Center (includes Deerfield Work Centers),0,0,1,78,1
Dillwyn Correctional Center,2,0,2,347,1
Fluvanna Correctional Center for Women,0,0,0,8,2
Green Rock Correctional Center,0,0,0,0,1
Greensville Correctional Center (includes Greensville Work Center),211,4,0,240,34
Halifax Correctional Unit,0,0,0,0,0
Harrisonburg Men’s CCAP,0,0,0,26,0
Haynesville Correctional Center,3,0,1,256,0
Haynesville Correctional Unit #17,0,0,0,0,0
Indian Creek Correctional Center,1,0,0,1,0
Keen Mountain Correctional Center,0,0,0,0,1
Lawrenceville Correctional Center,40,1,0,41,1
Lunenburg Correctional Center,0,0,0,0,0
Marion Correctional Treatment Center,0,0,0,0,1
Nottoway Correctional Center (includes Nottoway Work Center),0,0,0,1,1
Patrick Henry Correctional Unit,0,0,0,0,0
Pocahontas State Correctional Center,0,0,0,0,0
Red Onion State Prison,0,0,0,0,0
River North Correctional Center,0,0,0,0,1
Rustburg Correctional Unit,0,0,0,0,0
St. Brides Correctional Center,0,0,0,0,0
Stafford Men’s CCAP,0,0,0,0,0
State Farm Correctional Complex,16,1,1,27,16
Sussex I State Prison,0,0,0,2,11
Sussex II State Prison,0,0,1,73,3
Virginia Correctional Center for Women (includes State Farm Work Center),0,0,1,45,4
Wallens Ridge State Prison,0,0,0,0,0
Wise Correctional Unit,0,0,0,0,0
Probation & Parole — Eastern Region,n/a,n/a,n/a,n/a,0
Probation & Parole — Central Region,n/a,n/a,n/a,n/a,0
Probation & Parole — Western Region,n/a,n/a,n/a,n/a,0
Administration & Operations,n/a,n/a,n/a,n/a,0
TOTALS,288,8,10,1367,89
