LOCATION,OFFENDERS ON‑SITE,OFFENDERS IN HOSPITALS,DEATH OF COVID‑19 POSITIVE OFFENDER,TOTAL POSITIVE OFFENDERS onsite + hospital + deaths + releases + recovered + transfers in - transfers out,STAFF active cases including employees & contractors
Appalachian Men’s CCAP,0,0,0,0,0
Augusta Correctional Center,0,0,0,0,1
Baskerville Correctional Center,0,0,0,0,1
Bland Correctional Center,0,0,0,0,0
Brunswick CCAP,0,0,0,0,0
Buckingham Correctional Center,44,2,3,113,8
Caroline Correctional Unit,0,0,0,0,0
Central Virginia Correctional Unit #13,1,0,0,57,2
Chesterfield Women’s CCAP,0,0,0,0,0
Coffeewood Correctional Center,0,0,0,0,0
Cold Springs CCAP,0,0,0,0,0
Cold Springs Correctional Unit #10,0,0,0,0,0
Deerfield Correctional Center (includes Deerfield Work Centers),20,1,1,78,3
Dillwyn Correctional Center,121,2,1,322,9
Fluvanna Correctional Center for Women,0,0,0,0,0
Green Rock Correctional Center,0,0,0,0,0
Greensville Correctional Center (includes Greensville Work Center),190,2,0,193,53
Halifax Correctional Unit,0,0,0,0,0
Harrisonburg Men’s CCAP,5,0,0,26,1
Haynesville Correctional Center,114,3,0,246,9
Haynesville Correctional Unit #17,0,0,0,0,0
Indian Creek Correctional Center,0,0,0,0,1
Keen Mountain Correctional Center,0,0,0,0,0
Lawrenceville Correctional Center,0,0,0,0,0
Lunenburg Correctional Center,0,0,0,0,0
Marion Correctional Treatment Center,0,0,0,0,0
Nottoway Correctional Center (includes Nottoway Work Center),0,0,0,0,4
Patrick Henry Correctional Unit,0,0,0,0,0
Pocahontas State Correctional Center,0,0,0,0,0
Red Onion State Prison,0,0,0,0,0
River North Correctional Center,0,0,0,0,1
Rustburg Correctional Unit,0,0,0,0,0
St. Brides Correctional Center,0,0,0,0,1
Stafford Men’s CCAP,0,0,0,0,0
State Farm Correctional Complex,19,1,0,20,17
Sussex I State Prison,0,0,0,0,3
Sussex II State Prison,23,1,1,71,7
Virginia Correctional Center for Women (includes State Farm Work Center),2,0,1,45,9
Wallens Ridge State Prison,0,0,0,0,2
Wise Correctional Unit,0,0,0,0,0
Probation & Parole — Eastern Region,n/a,n/a,n/a,n/a,0
Probation & Parole — Central Region,n/a,n/a,n/a,n/a,0
Probation & Parole — Western Region,n/a,n/a,n/a,n/a,0
Administration & Operations,n/a,n/a,n/a,n/a,0
TOTALS,539,12,7,1171,132
