Report Date,Health District,Race,Number of Cases,Number of Hospitalizations,Number of Deaths
2020-04-24,Central Virginia,Other,1,0,0
2020-04-24,Crater,Black or African American,77,24,4
2020-04-24,New River,White,37,6,0
2020-04-24,Southside,White,22,9,4
2020-04-24,Chickahominy,White,70,18,6
2020-04-24,Chesapeake,Not Reported,42,1,0
2020-04-24,Prince William,Other,230,41,3
2020-04-24,Thomas Jefferson,White,126,15,7
2020-04-24,Fairfax,Black or African American,188,54,5
2020-04-24,Western Tidewater,Black or African American,148,25,4
2020-04-24,Chickahominy,Black or African American,26,15,4
2020-04-24,Alleghany,Black or African American,4,1,0
2020-04-24,Southside,Not Reported,50,8,1
2020-04-24,Three Rivers,Other,6,1,0
2020-04-24,Central Shenandoah,Black or African American,31,2,1
2020-04-24,Fairfax,Other,838,191,13
2020-04-24,Eastern Shore,Other,4,0,0
2020-04-24,Rappahannock,Not Reported,188,23,2
2020-04-24,Loudoun,Not Reported,145,5,0
2020-04-24,Norfolk,Black or African American,83,17,1
2020-04-24,Chesapeake,Other,22,3,3
2020-04-24,New River,Black or African American,4,1,0
2020-04-24,Thomas Jefferson,Not Reported,16,0,0
2020-04-24,Lord Fairfax,Black or African American,10,2,0
2020-04-24,Three Rivers,White,32,5,0
2020-04-24,Prince William,White,295,59,9
2020-04-24,Richmond,White,62,7,1
2020-04-24,Western Tidewater,White,97,14,3
2020-04-24,New River,Not Reported,26,1,0
2020-04-24,Alexandria,Not Reported,193,13,3
2020-04-24,Lenowisco,White,25,11,1
2020-04-24,Peninsula,Other,11,6,1
2020-04-24,Alexandria,Black or African American,90,27,4
2020-04-24,Pittsylvania-Danville,White,20,11,2
2020-04-24,Roanoke,Black or African American,5,3,0
2020-04-24,Chesterfield,Not Reported,222,2,3
2020-04-24,Pittsylvania-Danville,Black or African American,14,4,0
2020-04-24,Western Tidewater,Other,10,1,0
2020-04-24,Piedmont,Black or African American,47,13,1
2020-04-24,Rappahannock Rapidan,Black or African American,3,0,0
2020-04-24,West Piedmont,Other,2,1,1
2020-04-24,Chesterfield,White,102,16,11
2020-04-24,West Piedmont,White,28,4,0
2020-04-24,Portsmouth,Black or African American,57,22,3
2020-04-24,Three Rivers,Black or African American,44,3,0
2020-04-24,Hampton,Other,4,1,0
2020-04-24,Norfolk,White,41,12,2
2020-04-24,Rappahannock Rapidan,White,67,10,2
2020-04-24,Thomas Jefferson,Other,21,2,0
2020-04-24,Cumberland Plateau,Black or African American,8,0,0
2020-04-24,Rappahannock,Other,17,10,0
2020-04-24,Roanoke,White,16,2,0
2020-04-24,Loudoun,Other,95,18,1
2020-04-24,Central Shenandoah,White,297,29,8
