Report Date,Health District,Number of Cases,Number of Hospitalizations,Number of Deaths
2020-04-16,Alexandria,275,32,4
2020-04-16,Alleghany,53,10,2
2020-04-16,Arlington,453,50,15
2020-04-16,Central Shenandoah,226,15,1
2020-04-16,Central Virginia,76,6,1
2020-04-16,Chesapeake,143,35,4
2020-04-16,Chesterfield,290,26,7
2020-04-16,Chickahominy,127,18,4
2020-04-16,Crater,101,12,6
2020-04-16,Cumberland Plateau,18,1,0
2020-04-16,Eastern Shore,23,10,1
2020-04-16,Fairfax,1375,271,31
2020-04-16,Hampton,77,19,1
2020-04-16,Henrico,497,58,57
2020-04-16,Lenowisco,27,9,1
2020-04-16,Lord Fairfax,155,14,0
2020-04-16,Loudoun,378,42,6
2020-04-16,Mount Rogers,50,13,4
2020-04-16,New River,45,7,0
2020-04-16,Norfolk,105,27,2
2020-04-16,Peninsula,294,86,13
2020-04-16,Piedmont,74,14,2
2020-04-16,Pittsylvania-Danville,27,16,1
2020-04-16,Portsmouth,62,23,4
2020-04-16,Prince William,660,76,12
2020-04-16,Rappahannock,226,45,5
2020-04-16,Rappahannock Rapidan,88,15,2
2020-04-16,Richmond,188,22,8
2020-04-16,Roanoke,24,4,0
2020-04-16,Southside,78,14,1
2020-04-16,Thomas Jefferson,196,35,4
2020-04-16,Three Rivers,54,7,1
2020-04-16,Virginia Beach,258,54,5
2020-04-16,West Piedmont,23,3,0
2020-04-16,Western Tidewater,143,25,3
