"﻿Report Date","Health District",Ethnicity,"Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-05-21,Southside,"Not Reported",152,23,14
2020-05-21,"Lord Fairfax","Hispanic or Latino",247,20,4
2020-05-21,"Eastern Shore","Not Hispanic or Latino",678,53,24
2020-05-21,Portsmouth,"Hispanic or Latino",6,2,0
2020-05-21,Fairfax,"Not Reported",2234,107,98
2020-05-21,Richmond,"Hispanic or Latino",270,30,1
2020-05-21,Chesapeake,"Not Reported",88,7,0
2020-05-21,Arlington,"Hispanic or Latino",524,134,9
2020-05-21,"West Piedmont","Not Hispanic or Latino",72,9,3
2020-05-21,Fairfax,"Not Hispanic or Latino",2307,574,189
2020-05-21,Piedmont,"Hispanic or Latino",16,0,0
2020-05-21,Crater,"Not Hispanic or Latino",237,51,7
2020-05-21,Chickahominy,"Not Hispanic or Latino",183,60,22
2020-05-21,"New River","Not Hispanic or Latino",55,12,1
2020-05-21,"Lord Fairfax","Not Reported",289,16,8
2020-05-21,Rappahannock,"Not Reported",381,21,1
2020-05-21,"Central Shenandoah","Not Reported",203,4,5
2020-05-21,"Central Virginia","Not Hispanic or Latino",68,11,2
2020-05-21,Lenowisco,"Not Hispanic or Latino",24,11,2
2020-05-21,"Cumberland Plateau","Not Hispanic or Latino",18,2,0
2020-05-21,"Western Tidewater","Not Hispanic or Latino",327,55,30
2020-05-21,"New River","Not Reported",31,0,0
2020-05-21,Chesterfield,"Not Reported",758,17,18
2020-05-21,Chesterfield,"Hispanic or Latino",187,5,0
2020-05-21,Hampton,"Not Hispanic or Latino",122,29,3
2020-05-21,Chesapeake,"Not Hispanic or Latino",300,69,12
2020-05-21,Peninsula,"Hispanic or Latino",44,10,1
2020-05-21,Arlington,"Not Reported",755,76,15
2020-05-21,Roanoke,"Not Hispanic or Latino",72,7,7
2020-05-21,"Lord Fairfax","Not Hispanic or Latino",469,57,25
2020-05-21,"Eastern Shore","Hispanic or Latino",142,5,3
2020-05-21,"Mount Rogers","Not Reported",20,2,0
2020-05-21,"Three Rivers","Not Hispanic or Latino",276,23,3
2020-05-21,"Thomas Jefferson","Not Reported",41,0,0
2020-05-21,"Three Rivers","Not Reported",137,10,3
2020-05-21,Arlington,"Not Hispanic or Latino",484,136,65
2020-05-21,Alleghany,"Not Hispanic or Latino",108,17,5
2020-05-21,Loudoun,"Not Reported",701,7,7
2020-05-21,Fairfax,"Hispanic or Latino",4136,500,30
2020-05-21,Peninsula,"Not Reported",101,3,2
2020-05-21,Crater,"Hispanic or Latino",26,1,0
2020-05-21,Piedmont,"Not Hispanic or Latino",294,29,3
2020-05-21,Henrico,"Hispanic or Latino",108,15,3
2020-05-21,Alexandria,"Not Hispanic or Latino",515,91,28
2020-05-21,"Central Virginia","Hispanic or Latino",14,1,1
2020-05-21,Alleghany,"Not Reported",50,3,1
2020-05-21,"Cumberland Plateau","Hispanic or Latino",0,0,0
2020-05-21,"Western Tidewater","Hispanic or Latino",3,0,0
2020-05-21,Chesterfield,"Not Hispanic or Latino",295,51,18
2020-05-21,Pittsylvania-Danville,"Not Hispanic or Latino",51,17,2
2020-05-21,"Mount Rogers","Hispanic or Latino",103,0,0
2020-05-21,Richmond,"Not Reported",298,17,1
2020-05-21,Peninsula,"Not Hispanic or Latino",374,100,28
2020-05-21,Chesapeake,"Hispanic or Latino",24,5,1
2020-05-21,Southside,"Hispanic or Latino",2,1,0
2020-05-21,"Thomas Jefferson","Not Hispanic or Latino",316,67,13
2020-05-21,Norfolk,"Not Hispanic or Latino",258,53,6
2020-05-21,Portsmouth,"Not Reported",133,8,2
2020-05-21,Norfolk,"Not Reported",68,1,0
2020-05-21,"Three Rivers","Hispanic or Latino",28,0,0
2020-05-21,"Eastern Shore","Not Reported",95,0,0
2020-05-21,Alleghany,"Hispanic or Latino",12,4,0
2020-05-21,Henrico,"Not Reported",516,25,23
2020-05-21,Henrico,"Not Hispanic or Latino",715,134,88
2020-05-21,Loudoun,"Not Hispanic or Latino",521,91,39
2020-05-21,Hampton,"Not Reported",35,1,0
2020-05-21,"Rappahannock Rapidan","Not Hispanic or Latino",167,25,7
2020-05-21,Alexandria,"Not Reported",345,5,3
2020-05-21,Rappahannock,"Not Hispanic or Latino",363,65,12
2020-05-21,"Western Tidewater","Not Reported",241,3,1
2020-05-21,"Cumberland Plateau","Not Reported",14,0,0
2020-05-21,Alexandria,"Hispanic or Latino",767,75,6
2020-05-21,"Virginia Beach","Not Hispanic or Latino",424,76,17
2020-05-21,"Prince William","Hispanic or Latino",1949,293,19
2020-05-21,"Virginia Beach","Not Reported",114,6,1
2020-05-21,"Central Shenandoah","Hispanic or Latino",592,35,2
2020-05-21,Pittsylvania-Danville,"Hispanic or Latino",5,1,0
2020-05-21,"Mount Rogers","Not Hispanic or Latino",131,17,6
2020-05-21,Piedmont,"Not Reported",316,12,2
2020-05-21,Southside,"Not Hispanic or Latino",81,10,7
2020-05-21,"Thomas Jefferson","Hispanic or Latino",37,1,0
2020-05-21,Pittsylvania-Danville,"Not Reported",15,5,0
2020-05-21,Norfolk,"Hispanic or Latino",51,5,0
2020-05-21,Portsmouth,"Not Hispanic or Latino",106,30,9
2020-05-21,"West Piedmont","Not Reported",28,4,0
2020-05-21,Richmond,"Not Hispanic or Latino",320,76,18
2020-05-21,"West Piedmont","Hispanic or Latino",16,0,0
2020-05-21,"Prince William","Not Reported",2339,16,2
2020-05-21,"Rappahannock Rapidan","Not Reported",295,10,1
2020-05-21,Chickahominy,"Hispanic or Latino",20,2,0
2020-05-21,Lenowisco,"Not Reported",20,4,2
2020-05-21,"New River","Hispanic or Latino",4,0,0
2020-05-21,Crater,"Not Reported",205,29,7
2020-05-21,Chickahominy,"Not Reported",181,15,4
2020-05-21,Loudoun,"Hispanic or Latino",478,49,3
2020-05-21,"Rappahannock Rapidan","Hispanic or Latino",437,35,3
2020-05-21,Roanoke,"Not Reported",38,0,1
