"﻿Report Date","Health District","Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-05-28,Southside,268,38,22
2020-05-28,Chesapeake,481,86,14
2020-05-28,"Thomas Jefferson",480,68,19
2020-05-28,Roanoke,147,9,9
2020-05-28,"Eastern Shore",1034,67,32
2020-05-28,"Mount Rogers",318,22,6
2020-05-28,Chickahominy,472,79,32
2020-05-28,"New River",106,14,1
2020-05-28,"Central Virginia",201,16,4
2020-05-28,Piedmont,695,44,6
2020-05-28,"Lord Fairfax",1279,118,48
2020-05-28,Crater,632,88,18
2020-05-28,Hampton,190,30,3
2020-05-28,Alexandria,1887,180,44
2020-05-28,Fairfax,10619,1286,385
2020-05-28,Richmond,1133,138,21
2020-05-28,Arlington,2039,373,109
2020-05-28,"Rappahannock Rapidan",1102,75,12
2020-05-28,Rappahannock,1419,143,16
2020-05-28,Pittsylvania-Danville,88,27,3
2020-05-28,"Prince William",6409,532,117
2020-05-28,"Cumberland Plateau",33,2,0
2020-05-28,Portsmouth,284,42,11
2020-05-28,"Virginia Beach",662,91,22
2020-05-28,"West Piedmont",179,19,5
2020-05-28,"Three Rivers",504,36,8
2020-05-28,Alleghany,186,24,16
2020-05-28,Lenowisco,42,16,4
2020-05-28,Norfolk,452,62,6
2020-05-28,"Western Tidewater",621,66,38
2020-05-28,Henrico,1624,184,131
2020-05-28,"Central Shenandoah",1468,118,30
2020-05-28,Loudoun,2318,156,63
2020-05-28,Chesterfield,1447,80,51
2020-05-28,Peninsula,582,113,32
