"Healthcare Provider","Doses Administered","Doses Received"
"Access Healthcare Multi-Specialty Group",361,600
"Alexandria Health Dept- King Street Center",17204,17315
"ALGHD-COVINGTON HEALTH DEPARTMENT",2431,1800
"Arlington County Public Health - DHS/CHS",18925,20125
"Augusta Correctional Center",1800,1600
"Augusta Health",16553,16715
"Augusta Health- Occupational Health",3391,3390
"Ballad Health JOHNSTON MEMORIAL HOSPITAL",10232,11625
"Ballad Health Norton Community Hospital",5148,5345
"Ballad Health-BRMC OP COV POD",1843,0
"Bath County Community Hospital",737,900
"Bay Internists",1082,900
"Bayview Volvo Medical Associates",4919,5550
"BH - Wellmont Ballad Health Tennessee",965,0
"BH - Wellmont Bristol Regional Medical Center TN",1333,0
"Blacksburg Pharmacy",1176,1375
"Bon Secours - Southampton Memorial Hospital",488,1300
"Bon Secours - Southside Medical Center",2572,3270
"Bon Secours DePaul Medical Center",1670,1753
"Bon Secours Mary Immaculate Hospital",2668,3620
"Bon Secours Maryview Washington - Occupational Health",2561,5427
"Bon Secours Memorial Regional Medical Center",4191,2630
"Bon Secours Rappahannock General Hospital-Kilmarnock",1187,290
"Bon Secours Richmond Community Hospital",318,700
"Bon Secours St. Francis Medical Center",3737,2660
"Bon Secours St. Mary's Hospital",11380,15916
"Bremo Pharmacy",4997,5900
"BRHD-CH/AL HEALTH DISTRICT",9569,12775
"BRHD-LOUISA COUNTY HD",504,0
"Buchanan General Hospital",742,1000
"Buford Road Pharmacy",1879,1600
"CareTeam Corporate Health- Danville",637,700
"Carilion Clinic Ortho Gen ION",547,0
"Carilion Franklin Memorial Hospital",2590,1540
"Carilion Giles Community Hospital",2398,2200
"Carilion New River Medical Center",4632,4400
"Carilion Roanoke Memorial Hospital",37799,40620
"Carilion Rockbridge Community Hospital.",1975,6450
"Carilion Tazewell Community Hospital",2262,1390
"Cedarfield Pharmacy",2853,3200
"CENTRA - BEDFORD MEMORIAL HOSPITAL",767,900
"Centra - Lynchburg General Hospital",14090,13420
"Centra - Southside Community Hospital",1541,2200
"Centra Health Pearson Cancer Center",529,975
"Centra Medical Group - ALTAVISTA MEDICAL CENTER",495,625
"Centra Medical Group - Amherst Family Physicians",517,625
"Centra Medical Group - Bedford",403,535
"Centra Medical Group - Brookneal Family Medical Center",390,535
"Centra Medical Group - Southside Pediatrics Center",1022,1750
"Central Virginia Correctional Unit #13",770,900
"Chesapeake Internists",616,600
"Chesapeake Regional Medical Center - Occupational Health",8499,12635
"Chesterfield County Employee Medical Center",5563,5998
CHFHD-CHESTERFIELDCOUNTYHD,7542,12860
"Children's Hospital of The King's Daughters",6183,10480
"Clinch Valley Medical Center",2281,3100
"CN Internal Medicine",769,700
"Commonshare Nonprofit Pharmacy",648,800
"Community Healthcare Center of the NRV- Christiansburg",1214,1590
"Cornerstone Private Practice",622,500
CPHD-BUCHANANCO-GRUNDY,1334,1480
CPHD-DICKENSONCOHE-CLINIC,773,1000
CPHD-RUSSELLCOHD-LEBANON,5783,5180
CPHD-TAZEWELLCO-TAZ,2115,2010
"Crewe Medical Center",737,1200
CRHD-PETERSBURGCITYHD,6258,11150
CSHD-AUGUSTA_STAUNTONHD,16367,16800
CSPHD-CHESAPEAKECITYHD,9299,8600
"CVFP - Forest Family Physicians",552,588
"CVFP - Walk In Care-Forest",1190,1085
"CVFP- Internal Medicine",687,294
CVHD-LYNCHBURGCITYHD,2611,4039
"CVHS - Buckingham",533,800
"CVS and Walgreens (includes LTCF & Community Administrations)",175734,223670
"DAILY PLANET HEALTH CARE FOR THE HOMELESS CLINIC",2020,1800
"DC Military Clinic",521,0
"Deerfield Correctional Center",1635,1500
"ELKTON FAMILY PHARMACY",265,600
"Emergency Services Solutions Inc.",2012,2065
"EMS - Chesterfield Fire and EMS",3296,3257
ESHD-ACCOMACKCOHD,2787,2855
"ESRH - Atlantic Community Health Center",952,350
"ESRH - Chincoteague Island Community Health",663,250
"ESRH - Eastville Community Health Center",1045,450
"ESRH - Onley Community Health Center",1110,3100
"EVMS Health Services - Occupational Health",2169,3900
"Fairfax County HD-Joseph Willard Health Center",88235,92193
"Fairfax County Public Safety Occupational Health Center",4356,5430
"Fairfax Pediatric Associates PC",534,0
"Family Medical Care of Smithfield",628,600
"Fauquier Hospital",4185,5475
"Fluvanna Correctional Center for Women",2277,2300
"Food City Pharmacy #820",355,1400
"Food City Pharmacy #823",245,600
"Food City Pharmacy #839",527,0
"Food City Pharmacy #858",531,700
"Food City Pharmacy #859",535,750
"Food City Pharmacy #890",352,1500
"Fort Norfolk Plaza Urgent Care & Primary Care",669,800
"FPN - Piedmont Family Practice",1486,1250
"FREDERICKSBURG CITY HD",9450,11940
"Gainesville Pharmacy",738,650
